I
1050 Generated by WorldEditor 2.2.0r2

1    253 0 0 7B9 Ellington
1302 gui_label 2D
100 15.24 1 0 0.00 0 1 0 01  41.92274410 -072.45677948    0    0 1 0 0 0 19  41.92791800 -072.45733900    0    0 1 0 0 0
110 2 0.00 0.0000 New Taxiway 24
111  41.92359709 -072.45633123
111  41.92353443 -072.45632641
111  41.92353642 -072.45624541
113  41.92359988 -072.45624756
110 2 0.00 0.0000 New Taxiway 23
111  41.92674513 -072.45671078
111  41.92668383 -072.45670434
111  41.92669149 -072.45656144
113  41.92675279 -072.45656852
110 3 0.00 0.0000 New Taxiway 22
111  41.92314277 -072.45641973
111  41.92315409 -072.45615930
111  41.92440922 -072.45625056
111  41.92440922 -072.45632264
111  41.92659481 -072.45659173
111  41.92660196 -072.45647961
111  41.92686533 -072.45651324
111  41.92685127 -072.45682893
111  41.92337364 -072.45645043
111  41.92337651 -072.45627857
111  41.92334586 -072.45627793
111  41.92334317 -072.45644671
111  41.92324432 -072.45643594
111  41.92325151 -072.45627664
111  41.92322421 -072.45627535
113  41.92321693 -072.45643296
110 3 0.00 0.0000 New Taxiway 21
111  41.92312813 -072.45563037
111  41.92313107 -072.45552074
111  41.92336671 -072.45553922
111  41.92336171 -072.45567046
113  41.92319838 -072.45563656
110 2 0.00 0.0000 New Taxiway 20
111  41.92321693 -072.45643296
111  41.92322421 -072.45627535
111  41.92325151 -072.45627664
113  41.92324432 -072.45643594
110 2 0.00 0.0000 New Taxiway 19
111  41.92334317 -072.45644671
111  41.92334586 -072.45627793
111  41.92337651 -072.45627857
113  41.92337364 -072.45645043
110 2 0.00 0.0000 New Taxiway 18
111  41.92361318 -072.45594563
111  41.92338716 -072.45592715
111  41.92339559 -072.45569118
111  41.92339651 -072.45566679
113  41.92362467 -072.45568378
110 2 0.00 0.0000 New Taxiway 17
111  41.92339152 -072.45554117
111  41.92336671 -072.45553922
111  41.92313107 -072.45552074
111  41.92297700 -072.45550866
111  41.92298840 -072.45520517
113  41.92340393 -072.45524178
110 1 0.00 0.0000 New Taxiway 15
111  41.92314277 -072.45641973
111  41.92321693 -072.45643296
111  41.92324432 -072.45643594
111  41.92334317 -072.45644671
111  41.92337364 -072.45645043
111  41.92685127 -072.45682893
111  41.92794123 -072.45694756
111  41.92792177 -072.45725386
111  41.92780062 -072.45724050
111  41.92781743 -072.45710211
111  41.92782356 -072.45705162
112  41.92779635 -072.45699217  41.92776761 -072.45698753
111  41.92779635 -072.45699217
111  41.92314381 -072.45648870
111  41.92291702 -072.45646970
112  41.92291702 -072.45646970  41.92287512 -072.45647399
111  41.92285962 -072.45650863
111  41.92285842 -072.45652966
111  41.92285047 -072.45666931
112  41.92285047 -072.45666931  41.92285406 -072.45670042
111  41.92287531 -072.45671030
111  41.92274971 -072.45669733
111  41.92275502 -072.45651897
111  41.92281419 -072.45540035
112  41.92281419 -072.45540035  41.92282729 -072.45522795
111  41.92291168 -072.45519381
111  41.92298840 -072.45520517
111  41.92297700 -072.45550866
111  41.92297653 -072.45552130
111  41.92294250 -072.45551833
111  41.92293697 -072.45560416
111  41.92305577 -072.45562400
111  41.92312813 -072.45563037
111  41.92319838 -072.45563656
111  41.92336171 -072.45567046
112  41.92336171 -072.45567046  41.92336745 -072.45570830
111  41.92339559 -072.45569118
111  41.92338716 -072.45592715
111  41.92335536 -072.45596496
111  41.92334813 -072.45598459
111  41.92317095 -072.45595183
111  41.92316936 -072.45603630
111  41.92316076 -072.45603589
111  41.92315848 -072.45615396
111  41.92315434 -072.45615345
113  41.92315409 -072.45615930
111  41.92305263 -072.45568455
111  41.92302110 -072.45567543
