I
1050 Generated by WorldEditor 2.1.0r1

1    298 1 0 KMEI Key Field / Meridian Rgnl
1302 city Meridian
1302 country USA
1302 datum_lat 32.3326111
1302 datum_lon -88.7518611
1302 faa_code MEI
1302 iata_code MEI
1302 icao_code KMEI
1302 state Mississippi
100 45.72 2 0 0.00 0 3 0 1  32.31771645 -088.75641169  305  150 3 8 0 0 19  32.34486550 -088.75118471  305  151 3 8 0 0
100 45.72 1 0 0.00 0 3 0 4  32.33099453 -088.75286338    0    0 2 0 0 0 22  32.34020096 -088.74239613   18    0 2 0 0 0
110 2 0.00 0.0000 New Taxiway 186
111  32.33370689 -088.74582698
111  32.33366675 -088.74572455
111  32.33390737 -088.74559181
113  32.33394648 -088.74569369
110 2 0.00 0.0000 New Taxiway 151
111  32.34214032 -088.75008300
111  32.34213663 -088.75038823
111  32.34212539 -088.75131903
111  32.34215708 -088.75150904
111  32.34175811 -088.75159774
111  32.34175432 -088.75153347
112  32.34175432 -088.75153347  32.34187282 -088.75148079
111  32.34188428 -088.75133897
111  32.34192900 -088.75041145
113  32.34193232 -088.75008190
110 1 0.00 0.0000 New Taxiway 85
111  32.34812991 -088.75049865
111  32.34813020 -088.75053951
111  32.34819604 -088.75053040
111  32.34819910 -088.75056000
111  32.34812374 -088.75056969
111  32.34812616 -088.75059145
111  32.34808102 -088.75059377
113  32.34807613 -088.75050154
110 2 0.00 0.0000 New Taxiway 84
111  32.34665172 -088.74986489
111  32.34665288 -088.74989286
111  32.34663713 -088.74989350
111  32.34663896 -088.74991674
111  32.34661269 -088.74991871
111  32.34661117 -088.74989772
111  32.34659373 -088.74989883
113  32.34659235 -088.74987162
110 1 0.00 0.0000 New Taxiway 82
111  32.34736117 -088.74756551
111  32.34736568 -088.74753857
111  32.34738344 -088.74750382
111  32.34740347 -088.74752055
111  32.34748218 -088.74754986
112  32.34748218 -088.74754986  32.34757058 -088.74759605
111  32.34756903 -088.74773161
111  32.34755353 -088.74859609
112  32.34755353 -088.74859609  32.34754297 -088.74886275
111  32.34750254 -088.74905619
112  32.34750254 -088.74905619  32.34749368 -088.74911515
111  32.34750045 -088.74917289
111  32.34751663 -088.74924696
112  32.34751663 -088.74924696  32.34752757 -088.74926819
111  32.34755712 -088.74926443
111  32.34770156 -088.74923740
112  32.34770156 -088.74923740  32.34771924 -088.74925729
111  32.34771175 -088.74930079
111  32.34772154 -088.74930371
111  32.34773570 -088.74944963
111  32.34770693 -088.74949938
111  32.34766513 -088.74949808
111  32.34775892 -088.74969006
111  32.34793159 -088.75068968
111  32.34783921 -088.75070931
111  32.34781462 -088.75053409
111  32.34785129 -088.75049941
111  32.34784271 -088.75036427
111  32.34780451 -088.75015568
111  32.34780053 -088.75008230
111  32.34779176 -088.75007101
111  32.34776940 -088.74993819
111  32.34777447 -088.74991340
111  32.34776511 -088.74985059
