I
1050 Generated by WorldEditor

1    649 1 0 KCNO Chino
100 46.02 1 1 0.00 0 2 0 08R  33.97351400 -117.64672800    0   61 2 0 0 0 26L  33.97370600 -117.62364200    0   67 2 0 0 0
100 46.02 1 0 0.00 0 2 0 03  33.97063100 -117.64177500    0  290 2 0 0 2 21  33.98028600 -117.63042200    0  107 2 0 0 2
100 46.02 1 0 0.00 0 3 0 08L  33.97572675 -117.64677781    0   61 2 0 0 0 26R  33.97586125 -117.63075619    0    0 3 0 0 0
102 H1  33.97827876 -117.63022798  89.40 11.90 11.90 1 0 0 0.00 0
110 1 0.00 0.0000 New Taxiway 72
111  33.97989255 -117.63864520
111  33.97967087 -117.63864416
111  33.97968487 -117.63681649
113  33.97990663 -117.63681742
110 1 0.00 0.0000 New Taxiway 63
111  33.98151149 -117.63865607
111  33.98152289 -117.63683395
111  33.98179733 -117.63683244
113  33.98178407 -117.63865634
110 1 0.00 0.0000 New Taxiway 52
111  33.98120221 -117.63649786
111  33.98106286 -117.63649786
111  33.98107369 -117.63503738
113  33.98121224 -117.63503668
110 1 0.00 0.0000 New Taxiway 27
111  33.97920284 -117.64106178
111  33.97921073 -117.64066467
111  33.97976284 -117.64067656
113  33.97976087 -117.64106891
110 1 0.00 0.0000 New Taxiway 26
111  33.97986932 -117.64103562
111  33.97987129 -117.64066705
111  33.98055551 -117.64067894
113  33.98055551 -117.64104513
110 1 0.00 0.0000 New Taxiway 21
111  33.98022442 -117.64276323
111  33.98022240 -117.64280349
111  33.97968463 -117.64279028
111  33.97968401 -117.64269857
111  33.97965892 -117.64270160
111  33.97965714 -117.64264606
111  33.97962798 -117.64264714
111  33.97962798 -117.64258764
111  33.98099222 -117.64260038
111  33.98099120 -117.64266017
111  33.98102257 -117.64266017
111  33.98102156 -117.64271264
111  33.98104989 -117.64271264
113  33.98105090 -117.64277487
110 1 0.00 0.0000 New Taxiway 20
111  33.97966182 -117.64314687
111  33.97966221 -117.64308945
111  33.97969185 -117.64308854
111  33.97969489 -117.64303261
111  33.97975112 -117.64303053
111  33.97978412 -117.64299686
111  33.98101617 -117.64300786
111  33.98101465 -117.64311329
111  33.98099488 -117.64311420
113  33.98099640 -117.64316004
110 1 0.00 0.0000 New Taxiway 19
111  33.97964287 -117.64348335
111  33.97964274 -117.64342567
111  33.97967246 -117.64342567
111  33.97967177 -117.64337316
111  33.97970010 -117.64337399
111  33.97970010 -117.64331232
111  33.98099222 -117.64332466
111  33.98099222 -117.64338634
111  33.98101779 -117.64338800
111  33.98101917 -117.64344301
111  33.98104820 -117.64344301
113  33.98104889 -117.64349635
110 1 0.00 0.0000 New Taxiway 18
111  33.98169742 -117.64319800
111  33.98127029 -117.64319585
111  33.98127614 -117.64253356
113  33.98169845 -117.64253265
110 1 0.00 0.0000 New Taxiway 17
111  33.98168871 -117.64419003
111  33.98126555 -117.64418478
111  33.98126881 -117.64351895
113  33.98169431 -117.64352329
110 1 0.00 0.0000 New Taxiway 16
111  33.98125151 -117.64450910
111  33.98168172 -117.64451208
111  33.98167663 -117.64517502
113  33.98124518 -117.64517564
110 1 0.00 0.0000 New Taxiway 15
111  33.98125285 -117.64549883
111  33.98167409 -117.64550699
111  33.98166905 -117.64616403
113  33.98124874 -117.64616957
110 1 0.00 0.0000 New Taxiway 14
111  33.98077247 -117.64736232
111  33.98077321 -117.64732158
111  33.98078150 -117.64628470
111  33.98106507 -117.64628540
111  33.98105152 -117.64732221
113  33.98105116 -117.64736506
110 1 0.00 0.0000 New Taxiway 13
111  33.97855369 -117.64569554
111  33.97911506 -117.64569024
111  33.97911362 -117.64588940
111  33.97960937 -117.64588539
111  33.97960604 -117.64638911
111  33.97910646 -117.64639468
111  33.97910482 -117.64649196
111  33.97889992 -117.64649239
111  33.97889920 -117.64661873
111  33.97884728 -117.64661884
111  33.97884407 -117.64697978
111  33.97910722 -117.64699008
111  33.97910504 -117.64735726
113  33.97853906 -117.64734564
110 2 0.00 44.3000 Concrete overlay
111  33.97483290 -117.64089518
111  33.97468316 -117.64089783
111  33.97453905 -117.64072518
111  33.97461792 -117.64061907
112  33.97463123 -117.64045037  33.97465232 -117.64039599
111  33.97471928 -117.64034620
111  33.97472609 -117.64022361
111  33.97494457 -117.64022782
111  33.97503053 -117.64035230
111  33.97496111 -117.64043338
112  33.97497693 -117.64065049  33.97493344 -117.64076492
113  33.97483598 -117.64076319
110 1 0.00 0.0000 New Taxiway 2
111  33.96901246 -117.62401517
111  33.96901736 -117.62308068
111  33.97125858 -117.62309885
113  33.97125858 -117.62403419
110 1 0.00 0.0000 New Taxiway 25
111  33.97945143 -117.64232930
111  33.97945387 -117.64156154
111  33.97959835 -117.64156006
113  33.97959223 -117.64232930
110 1 0.00 0.0000 New Taxiway 24
111  33.97975646 -117.64230812
111  33.97975673 -117.64157760
111  33.97989920 -117.64158028
113  33.97989363 -117.64230913
110 1 0.00 0.0000 New Taxiway 23
111  33.98004723 -117.64230913
111  33.98005614 -117.64158028
111  33.98019638 -117.64158699
113  33.98019082 -117.64231047
110 1 0.00 0.0000 New Taxiway 22
111  33.98035792 -117.64231373
111  33.98036089 -117.64158839
111  33.98050607 -117.64158839
113  33.98050015 -117.64231373
110 1 0.00 0.0000 New Taxiway 29
111  33.97973086 -117.64034965
111  33.97973420 -117.64001888
111  33.98055944 -117.64002390
113  33.98055944 -117.64035463
110 1 0.00 0.0000 New Taxiway 31
111  33.97968946 -117.63969254
111  33.97969305 -117.63939423
111  33.98057320 -117.63939638
113  33.98056782 -117.63969902
111  33.97948754 -117.64034376
111  33.97948999 -117.63984472
111  33.97921084 -117.63984176
113  33.97920716 -117.64033638
110 1 0.00 0.0000 New Taxiway 34
111  33.98095599 -117.63996246
111  33.98096033 -117.63947071
111  33.98215329 -117.63947332
111  33.98214895 -117.63998600
111  33.98181492 -117.63997292
