A
1000 Generated by Infinite Flight Airport Editing (World Parser)/AB

1     1827 0 0 YNHV New Haven
100   45.11   4   0 0.25 0 0 0 13  -22.72489591  131.14393426    0.00    0.00 0  0 0 0 31  -22.73207837  131.15142802    0.00    0.00 0  0 0 0
110   4 1.00 136.10 New Taxiway 1
111 -22.73462019  131.14897759 
112 -22.73350973  131.15019110 -22.73326296  131.15045865 
112 -22.73263723  131.15105107 -22.73255791  131.15112751 
111 -22.73251384  131.15119440 
111 -22.73317483  131.15197793 
112 -22.73295167  131.15228836 -22.73289148  131.15233582 
112 -22.73267259  131.15261468 -22.73263428  131.15266807 
111 -22.73255767  131.15268587 
112 -22.73213083  131.15219936 -22.73203780  131.15209850 
112 -22.73198855  131.15212223 -22.73198308  131.15214003 
112 -22.73160636  131.15324775 -22.73156630  131.15336067 
112 -22.73095764  131.15508914 -22.73086150  131.15544528 
111 -22.73082144  131.15561901 
112 -22.73080541  131.15543660 -22.73081343  131.15534973 
112 -22.73116595  131.15433341 -22.73121402  131.15418574 
112 -22.73160661  131.15304780 -22.73171878  131.15276115 
111 -22.73194311  131.15205754 
112 -22.73192709  131.15199673 -22.73190305  131.15197068 
111 -22.72452831  131.14425873 
112 -22.72372367  131.14323923 -22.72360734  131.14301852 
112 -22.72360734  131.14277678 -22.72367520  131.14267168 
112 -22.72396603  131.14247199 -22.72406297  131.14247199 
112 -22.72450892  131.14278729 -22.72459617  131.14290291 
111 -22.73238535  131.15104851 
112 -22.73256214  131.15098610 -22.73264437  131.15090141 
112 -22.73336965  131.15025572 -22.73354377  131.15006155 
112 -22.73399505  131.14951446 -22.73414882  131.14928400 
114 -22.73446087  131.14903883 -22.73453323  131.14899470 
110   4 1.00   0.00 New Taxiway 2
111 -22.72779043  131.14757586 
112 -22.72772080  131.14788535 -22.72769528  131.14791554 
112 -22.72769992  131.14794574 -22.72773937  131.14798851 
112 -22.72782988  131.14808412 -22.72782988  131.14811432 
111 -22.72784845  131.14811683 
111 -22.72828475  131.14801367 
112 -22.72831724  131.14807909 -22.72827547  131.14808664 
112 -22.72774865  131.14817470 -22.72772313  131.14817470 
112 -22.72766511  131.14821748 -22.72764422  131.14823006 
112 -22.72750961  131.14819483 -22.72744695  131.14815961 
112 -22.72741910  131.14798851 -22.72744927  131.14791554 
112 -22.72758388  131.14788283 -22.72760245  131.14788032 
112 -22.72765582  131.14775954 -22.72767671  131.14768909 
114 -22.72773241  131.14754064 -22.72775794  131.14749786 
14  -22.72419233  131.14412700    6 0 New Tower Viewpoint 3
15  -22.72450480  131.14410094 165.26 New Ramp Start 2
19  -22.72759548  131.14807909 0 New Windsock 1
51 12670 CTAF


130 Airport Boundary
111 -022.73462105  131.14897156
111 -022.72450829  131.14279175
111 -022.72396660  131.14247131
111 -022.72360802  131.14277649
111 -022.72372437  131.14323425
111 -022.73082161  131.15562439
113 -022.73317528  131.15197754
99
