I
1050 Generated by WorldEditor 2.1.0r1

1   2302 0 0 CYDC Princeton
100 22.86 1 0 0.00 0 0 0 04  49.46464251 -120.51909352    0    0 1 0 0 0 22  49.47110292 -120.50584984    0    0 1 0 0 0
110 1 0.00 0.0000 New Taxiway 1
111  49.46687121 -120.51474112
111  49.46717894 -120.51409390
111  49.46722542 -120.51454928
111  49.46744339 -120.51480498
111  49.46761694 -120.51500857
111  49.46780740 -120.51497590
111  49.46794312 -120.51470523
111  49.46825694 -120.51508381
111  49.46777897 -120.51607861
111  49.46774954 -120.51604774
111  49.46766478 -120.51621338
111  49.46763878 -120.51618374
111  49.46771942 -120.51601074
111  49.46765704 -120.51594455
111  49.46757669 -120.51611221
111  49.46755019 -120.51608248
111  49.46763238 -120.51591838
111  49.46746417 -120.51571081
111  49.46757607 -120.51547385
111  49.46755743 -120.51517920
111  49.46736752 -120.51496617
113  49.46714947 -120.51472169
110 2 0.00 0.0000 New Taxiway 10
111  49.46764568 -120.51636715
111  49.46745670 -120.51615918
111  49.46751171 -120.51603888
111  49.46755032 -120.51608207
111  49.46757669 -120.51611221
111  49.46763878 -120.51618374
111  49.46766478 -120.51621338
113  49.46770018 -120.51625374
130 Airport Boundary 1
111  49.47317143 -120.50357602
111  49.46874072 -120.51431571
111  49.46850849 -120.51516937
111  49.46815368 -120.51791894
111  49.46690657 -120.51858595
111  49.46632627 -120.51986523
111  49.46547016 -120.51984465
111  49.46392950 -120.52290538
111  49.46217698 -120.52072182
113  49.47139103 -120.50159864
120 Linear Feature 11
111  49.46744339 -120.51480498 4
115  49.46736752 -120.51496617
120 Linear Feature 6
111  49.46716395 -120.51461151 1
112  49.46716581 -120.51402025  49.46729891 -120.51371134
111  49.46716581 -120.51402025 1
115  49.46745765 -120.51340597
120 Linear Feature 3
111  49.46770197 -120.51522891 1
111  49.46716395 -120.51461151 1
112  49.46682962 -120.51471715  49.46668277 -120.51495387
111  49.46682962 -120.51471715 1
115  49.46650222 -120.51539884
14  49.46810337 -120.51572913  15.00 0 New Tower Viewpoint 17
1300  49.46813952 -120.51509708 145.00 tie_down props GA 4
1301 A general_aviation 
1300  49.46803231 -120.51532289 145.00 tie_down props GA 3
1301 A general_aviation 
1300  49.46790572 -120.51556641 145.00 tie_down props GA 2
1301 A general_aviation 
1300  49.46778437 -120.51583654 145.00 tie_down props GA 1
1301 A general_aviation 
1300  49.46764484 -120.51621749  50.00 hangar props Hangar 1-1
1301 A none 
1300  49.46754189 -120.51610675  50.00 hangar props Hangar 1-2
1301 A none 
19  49.46937900 -120.50858377 0 New Windsock 25
19  49.46687267 -120.51385837 0 New Windsock 24
19  49.46600095 -120.51805711 0 New Windsock 23
51 12320 CTAF
99
