I
1050 Generated by WorldEditor 2.2.0r2

1    993 0 0 CJE4 Snow Lake
100 22.86 1 0 0.00 0 0 0 03  54.89298495 -099.82323819    0    0 0 0 0 0 21  54.90057774 -099.81294360    0    0 0 0 0 0
110 1 0.00 0.0000 New Taxiway 53
111  54.89897705 -099.81721091
111  54.89844721 -099.81773743
112  54.89838797 -099.81725670  54.89861340 -099.81683606
111  54.89838797 -099.81725670
111  54.89868416 -099.81699916
112  54.89868745 -099.81673304  54.89863808 -099.81656993
111  54.89868745 -099.81673304
111  54.89862366 -099.81658480
111  54.89849164 -099.81628092
112  54.89834485 -099.81623759  54.89827080 -099.81629244
111  54.89834485 -099.81623759
111  54.89308155 -099.82342564
112  54.89308155 -099.82342564  54.89287861 -099.82355201
112  54.89291563 -099.82306085  54.89300750 -099.82295118
111  54.89291563 -099.82306085
111  54.90049825 -099.81277008
112  54.90049825 -099.81277008  54.90070229 -099.81270140
112  54.90065632 -099.81311091  54.90058228 -099.81329119
111  54.90065632 -099.81311091
111  54.89858381 -099.81594221
112  54.89857706 -099.81617925  54.89862643 -099.81631088
111  54.89857706 -099.81617925
111  54.89869897 -099.81649078
111  54.89876629 -099.81666284
114  54.89876629 -099.81666284  54.89901311 -099.81675154
130 Airport Boundary 55
111  54.89020028 -099.82660904
111  54.89307263 -099.82205542
111  54.90059907 -099.81192460
111  54.90296925 -099.80931605
111  54.90338669 -099.81030041
111  54.90069105 -099.81397940
111  54.89933134 -099.81546707
111  54.89896694 -099.81647102
111  54.89924945 -099.81739664
111  54.89779594 -099.81827238
111  54.89686650 -099.81936164
111  54.89699752 -099.81998817
111  54.89648982 -099.82093508
111  54.89601077 -099.82005224
113  54.89082428 -099.82807445
120 Linear Feature 54
111  54.89869897 -099.81649078 54
115  54.89862366 -099.81658480
14  54.89901234 -099.81728284  82.02 0 New Tower Viewpoint 18
1300  54.89881922 -099.81717752 121.11 tie_down props Tie-Down 4
1301 A general_aviation 
1300  54.89869581 -099.81730271 121.11 tie_down props Tie-Down 3
1301 A general_aviation 
1300  54.89857355 -099.81743386 121.11 tie_down props Tie-Down 2
1301 A general_aviation 
1300  54.89842729 -099.81747162  74.76 tie_down props Tie-Down 1
1301 A general_aviation 
18  54.89867296 -099.81609054 1 New Airport Beacon 17
19  54.89845014 -099.81640054 0 New Windsock 16
51 12280 Unicom
99
