A
1000 Generated by WorldEditor

1     17 1 0 KFMY Page Fld
100 45.72 1 0 0.25 0 2 1 05  26.58000800 -081.87109401  140    0 3 0 0 0 23  26.59183300 -081.85655800  122   31 2 0 0 0
100 45.72 1 0 0.25 0 2 0 13  26.59190800 -081.86820300  187   30 2 0 0 0 31  26.58313600 -081.85677200    0    0 2 0 0 0
110 2 0.00 0.0000 New Taxiway 29
111  26.58026222 -081.86694238 20
111  26.58057874 -081.86656454 20
111  26.58098308 -081.86698961 20
113  26.58065081 -081.86737374 20
110 2 0.00 0.0000 New Taxiway 28
111  26.58133376 -081.86489279 20
111  26.58109062 -081.86483159 20
111  26.58114445 -081.86455569 20
113  26.58138760 -081.86461087 20
110 2 0.00 0.0000 New Taxiway 27
111  26.58209162 -081.86409624 20
111  26.58209980 -081.86277449 20
111  26.58225084 -081.86277449 20
113  26.58224726 -081.86410139 20
110 2 0.00 0.0000 New Taxiway 27
111  26.58178111 -081.86416141 20
111  26.58180159 -081.86277640 20
111  26.58195262 -081.86277640 20
113  26.58194238 -081.86416752 20
110 2 0.00 0.0000 New Taxiway 26
111  26.58229052 -081.86448553 20
111  26.58163007 -081.86448190 20
111  26.58146677 -081.86431669 20
111  26.58148827 -081.86356062 20
111  26.58159552 -081.86356379 20
111  26.58157484 -081.86424344 20
111  26.58169775 -081.86437515 20
113  26.58229077 -081.86438002 20
110 1 0.00 0.0000 New Taxiway 25
111  26.58172812 -081.86226990 20
111  26.58173044 -081.86195503 20
111  26.58200040 -081.86196024 20
113  26.58200272 -081.86227510 20
110 1 0.00 0.0000 New Taxiway 23
111  26.58095584 -081.85871292 20
111  26.58095911 -081.85848947 20
111  26.58135607 -081.85850173 20
113  26.58135530 -081.85871636 20
110 1 0.00 0.0000 New Taxiway 22
111  26.58322931 -081.86242055 20
111  26.58322941 -081.86219285 20
111  26.58382142 -081.86219301 20
113  26.58382182 -081.86241965 20
110 1 0.00 0.0000 New Taxiway 22
