I
1050 Generated by WorldEditor 2.2.0r2

1   1008 1 0 F35 Possum Kingdom
1302 gui_label 2D
100 18.29 1 0 0.25 0 2 0 2  32.91918321 -098.43978354    0    0 1 0 0 0 20  32.92748100 -098.43398019    0    0 1 0 0 0
110 2 0.00 0.0000 Taxiway 21
111  32.92290672 -098.43812190
111  32.92278450 -098.43820725
111  32.92272613 -098.43809523
113  32.92285087 -098.43801072
110 2 0.00 0.0000 Taxiway 20
111  32.92277376 -098.43821475
111  32.92252627 -098.43838760
111  32.92245614 -098.43824803
113  32.92270382 -098.43807456
110 2 0.00 0.0000 Taxiway 19
111  32.92252003 -098.43839196
111  32.92239628 -098.43847839
111  32.92232652 -098.43833892
113  32.92244922 -098.43825105
110 2 0.00 0.0000 Taxiway 18
111  32.92239033 -098.43848254
111  32.92227178 -098.43856534
111  32.92220125 -098.43843070
113  32.92232166 -098.43834638
110 2 0.00 0.0000 Taxiway 17
111  32.92226135 -098.43857263
111  32.92214243 -098.43865568
111  32.92207443 -098.43852213
113  32.92219410 -098.43843618
110 2 0.00 0.0000 Taxiway 16
111  32.92213472 -098.43866106
111  32.92201462 -098.43874494
111  32.92194458 -098.43860569
113  32.92206536 -098.43852283
110 2 0.00 0.0000 Taxiway 15
111  32.92188695 -098.43883410
111  32.92181794 -098.43869361
111  32.92193666 -098.43861178
113  32.92200601 -098.43875095
110 2 0.00 0.0000 Taxiway 14
111  32.92187937 -098.43883940
111  32.92175788 -098.43892425
111  32.92170347 -098.43881416
113  32.92182379 -098.43872894
110 2 0.00 0.0000 Taxiway 13
111  32.92175064 -098.43892930
111  32.92163158 -098.43901245
111  32.92157602 -098.43890224
113  32.92169614 -098.43882012
110 2 0.00 0.0000 Taxiway 12
111  32.92162222 -098.43901900
111  32.92150433 -098.43910133
111  32.92143592 -098.43896511
113  32.92155482 -098.43888155
110 2 0.00 0.0000 Taxiway 11
111  32.92187798 -098.43940073
111  32.92170828 -098.43951981
111  32.92163830 -098.43938217
113  32.92180890 -098.43926352
110 2 0.00 0.0000 Taxiway 10
111  32.92205761 -098.43927970
111  32.92188509 -098.43940058
111  32.92181496 -098.43925930
113  32.92198689 -098.43913972
110 2 0.00 0.0000 Taxiway 9
111  32.92223485 -098.43915780
111  32.92206434 -098.43927689
111  32.92199440 -098.43913449
113  32.92216440 -098.43901625
110 2 0.00 0.0000 Taxiway 8
111  32.92241215 -098.43903114
111  32.92224146 -098.43915379
111  32.92217097 -098.43901169
113  32.92234203 -098.43889271
110 2 0.00 0.0000 Taxiway 7
111  32.92258513 -098.43890750
111  32.92242103 -098.43902229
111  32.92235289 -098.43888516
113  32.92251735 -098.43877079
110 2 0.00 0.0000 Taxiway 6
111  32.92277054 -098.43878585
111  32.92259792 -098.43890554
111  32.92252873 -098.43876288
113  32.92269885 -098.43864456
110 2 0.00 0.0000 Taxiway 5
111  32.92292754 -098.43866645
111  32.92277112 -098.43877674
111  32.92270424 -098.43864081
113  32.92286086 -098.43853193
110 2 0.00 0.0000 Taxiway 4
111  32.92311118 -098.43851037
111  32.92296498 -098.43861047
111  32.92290939 -098.43849812
113  32.92305472 -098.43839704
110 1 0.00 0.0000 Taxiway 3
111  32.92290541 -098.43729147
111  32.92290767 -098.43729577
112  32.92290767 -098.43729577  32.92287148 -098.43735116
112  32.92288619 -098.43748720  32.92291608 -098.43755999
111  32.92288619 -098.43748720
111  32.92294732 -098.43761178
111  32.92305542 -098.43783206
111  32.92394516 -098.43720701
111  32.92411535 -098.43754962
111  32.92322585 -098.43817879
112  32.92322585 -098.43817879  32.92320903 -098.43819310
