I
1050 Generated by WorldEditor 2.2.0r2

1     45 0 0 DE17 Sugar Hill
1302 gui_label 2D
100 30.48 3 0 0.00 0 1 0 01  38.77452201 -075.58311831    0    0 0 0 0 0 19  38.78071600 -075.58234000    0    0 0 0 0 0
110 2 0.00 0.0000 New Taxiway 63
111  38.77875618 -075.58228120
111  38.77863760 -075.58229235
111  38.77864230 -075.58236854
111  38.77846077 -075.58238846
111  38.77845642 -075.58230939
111  38.77837265 -075.58231727
111  38.77837056 -075.58228627
111  38.77845552 -075.58227790
111  38.77845235 -075.58221228
111  38.77862965 -075.58219965
111  38.77863367 -075.58226036
113  38.77875342 -075.58224856
110 2 0.00 0.0000 New Taxiway 63
111  38.77928272 -075.58213471
111  38.77919497 -075.58203178
111  38.77915608 -075.58208712
111  38.77907750 -075.58199419
111  38.77916307 -075.58187354
111  38.77923856 -075.58196575
111  38.77921116 -075.58200710
113  38.77929931 -075.58210973
110 2 0.00 0.0000 New Taxiway 63
111  38.77920570 -075.58224491
111  38.77908688 -075.58225057
111  38.77908943 -075.58232693
111  38.77890747 -075.58233844
111  38.77890534 -075.58225922
111  38.77882141 -075.58226322
111  38.77882019 -075.58223214
111  38.77890533 -075.58222771
111  38.77890400 -075.58216199
111  38.77908260 -075.58215755
111  38.77908491 -075.58221841
113  38.77920386 -075.58221217
110 2 0.00 0.0000 New Taxiway 62
111  38.77963289 -075.58195933
111  38.77964088 -075.58215510
111  38.77952863 -075.58215902
113  38.77952264 -075.58196674
110 3 0.00 0.0000 New Taxiway 61
111  38.77808439 -075.58253106
111  38.77806171 -075.58216785
111  38.77897745 -075.58204869
112  38.77897745 -075.58204869  38.77903560 -075.58203513
112  38.77910990 -075.58184365  38.77917862 -075.58178263
111  38.77910990 -075.58184365
111  38.77945700 -075.58182022
112  38.77945700 -075.58182022  38.77957878 -075.58184951
111  38.77973102 -075.58194910
113  38.78011465 -075.58225373
130 Airport Boundary 64
111  38.77445514 -075.58364897
111  38.77431767 -075.58226366
111  38.78073915 -075.58155841
113  38.78085698 -075.58291853
14  38.77894700 -075.58185148   8.00 0 New Tower Viewpoint 35
1300  38.77848784 -075.58229738 183.04 hangar props GA Hangar 4
1301 A none 
1300  38.77894159 -075.58224436 181.29 hangar props GA Hangar 3
1301 A none 
1300  38.77918937 -075.58200893 319.40 hangar props GA Hangar 2
1301 A none 
1300  38.77955645 -075.58206190 181.56 hangar props GA Hangar 1
1301 A none 
99
