I
1050 Generated by WorldEditor

1    808 1 0 SKFL GUSTAVO ARTUNDUAGA PAREDES
100 30.00 1 0 0.25 0 0 0 12  01.59216174 -075.57039243    0    0 2 0 0 0 30  01.58627063 -075.55824184    0    0 2 0 0 0
110 2 0.00 0.0000 New Taxiway 33
111  01.58754333 -075.55896357
111  01.58740323 -075.55897107
111  01.58739663 -075.55886875
113  01.58753701 -075.55886148
110 2 0.00 0.0000 New Taxiway 32
111  01.58763362 -075.55904290
111  01.58761585 -075.55876800
111  01.58779139 -075.55875935
113  01.58780557 -075.55903925
110 2 0.00 0.0000 New Taxiway 31
111  01.58865869 -075.55934805
111  01.58855597 -075.55939769
111  01.58852943 -075.55934587
113  01.58863516 -075.55929618
110 2 0.00 0.0000 New Taxiway 30
111  01.58832286 -075.55906703
111  01.58820699 -075.55898705
111  01.58824187 -075.55893668
111  01.58813070 -075.55885455
111  01.58817223 -075.55879927
111  01.58832286 -075.55890823
111  01.58835646 -075.55886650
113  01.58842830 -075.55892214
110 2 0.00 0.0000 New Taxiway 29
111  01.58837830 -075.55949678
111  01.58832981 -075.55952489
111  01.58828196 -075.55944103
113  01.58833190 -075.55941506
110 2 0.00 0.0000 New Taxiway 28
111  01.58823545 -075.55945873
111  01.58814039 -075.55951015
111  01.58803784 -075.55930532
113  01.58813450 -075.55926102
110 2 0.00 0.0000 New Taxiway 27
111  01.58838244 -075.55968672
111  01.58833013 -075.55958580
111  01.58842233 -075.55953782
113  01.58847465 -075.55963965
110 1 0.00 0.0000 New Taxiway 9
111  01.58876459 -075.55986796
111  01.58866210 -075.55966115
111  01.58880499 -075.55958903
113  01.58890781 -075.55980029
110 2 0.00 0.0000 New Taxiway 8
111  01.58969466 -075.56158549
111  01.58965561 -075.56149286
111  01.58990907 -075.56137660
113  01.58995164 -075.56146958
110 2 0.00 0.0000 New Taxiway 7
111  01.58894351 -075.56024664
111  01.58905269 -075.56019527
111  01.58897200 -075.56003495
111  01.58917982 -075.55994151
111  01.58968435 -075.56098867
113  01.58936673 -075.56113406
110 2 0.00 0.0000 New Taxiway 6
111  01.58947744 -075.56121117
111  01.58966196 -075.56112191
111  01.58973960 -075.56128145
111  01.58961058 -075.56134295
111  01.58958601 -075.56129136
113  01.58953004 -075.56131837
110 2 0.00 0.0000 New Taxiway 5
111  01.58851542 -075.56025914
111  01.58830789 -075.55984466
111  01.58858897 -075.55970684
113  01.58879503 -075.56012722
110 1 0.00 0.0000 New Taxiway 2
111  01.58683498 -075.55913375 53 102
112  01.58703798 -075.55924918  01.58715008 -075.55925337
111  01.58703798 -075.55924918 53 102
111  01.58744419 -075.55923831 53 102
111  01.58799688 -075.55922353
111  01.58803784 -075.55930532
111  01.58814039 -075.55951015
111  01.58830789 -075.55984466
111  01.58851542 -075.56025914
111  01.58879503 -075.56012722
111  01.58936484 -075.56132449 53 102
111  01.58869844 -075.56164305 53 102
111  01.58846872 -075.56229156
112  01.58846872 -075.56229156  01.58844450 -075.56244008 53 102
113  01.58848758 -075.56257189
111  01.58850499 -075.56156935
112  01.58850499 -075.56156935  01.58856912 -075.56138263 53 102
111  01.58855014 -075.56131218 53 102
111  01.58823677 -075.56066955 53 102
112  01.58809281 -075.56063769  01.58799314 -075.56068359
111  01.58809281 -075.56063769 53 102
111  01.58805545 -075.56065864 53 102
111  01.58782852 -075.56078588
112  01.58782852 -075.56078588  01.58771302 -075.56085947 53 102
111  01.58776829 -075.56104657
111  01.58820173 -075.56194202 53 102
112  01.58836270 -075.56197336  01.58843319 -075.56182625
113  01.58836270 -075.56197336 53 102
111  01.58796139 -075.56048204 53 102
112  01.58797088 -075.56009823  01.58786177 -075.55976153
111  01.58797088 -075.56009823
112  01.58797088 -075.56009823  01.58791639 -075.55996717 53 102
111  01.58758791 -075.55943959 53 102
112  01.58745295 -075.55940512  01.58734939 -075.55940944
111  01.58745295 -075.55940512 53 102
111  01.58714081 -075.55942011
112  01.58714081 -075.55942011  01.58701838 -075.55946054 53 102
111  01.58705838 -075.55957263
111  01.58750350 -075.56050103 53 102
112  01.58772470 -075.56059670  01.58786567 -075.56056536
113  01.58772470 -075.56059670 53 102
130 Airport Boundary 1
111  01.58804478 -075.56326399
111  01.58681989 -075.56066105
111  01.58651919 -075.56043295
111  01.58655554 -075.55985115
111  01.58606649 -075.55870078
111  01.58607958 -075.55759510
111  01.58627323 -075.55749327
111  01.58673323 -075.55807298
111  01.58687742 -075.55769132
111  01.58777255 -075.55725560
111  01.59028788 -075.56144361
111  01.59415362 -075.56790080
111  01.59291740 -075.56989982
111  01.59292467 -075.57017981
111  01.59300100 -075.57052889
111  01.59253211 -075.57081980
111  01.59144892 -075.57043071
111  01.59108180 -075.56974346
111  01.58964697 -075.56894601
113  01.58679619 -075.56416540
120 Linear Feature 26
111  01.58850499 -075.56156935 54 103
115  01.58869844 -075.56164305
120 Linear Feature 25
111  01.58796139 -075.56048204 54 103
115  01.58805545 -075.56065864
120 Linear Feature 24
111  01.58744419 -075.55923831 54 103
115  01.58745295 -075.55940512
120 Linear Feature 23
111  01.58824512 -075.56044370 51 101
112  01.58829927 -075.56043460  01.58832800 -075.56043721 51 101
115  01.58834688 -075.56045490
120 Linear Feature 22
111  01.58813700 -075.56050084 51 101
111  01.58824512 -075.56044370
112  01.58824512 -075.56044370  01.58828352 -075.56042154 51 101
115  01.58831199 -075.56037175
120 Linear Feature 21
111  01.58784761 -075.56147962 51 101
111  01.58761779 -075.56100542
112  01.58761779 -075.56100542  01.58754698 -075.56084644 51 101
115  01.58769396 -075.56074208
120 Linear Feature 20
111  01.58817544 -075.56023120 51 101
112  01.58813700 -075.56050084  01.58801037 -075.56061456
111  01.58813700 -075.56050084 51 101
111  01.58769396 -075.56074208
112  01.58769396 -075.56074208  01.58750766 -075.56078388 51 101
111  01.58744300 -075.56064109 51 101
115  01.58720185 -075.56015721
120 Linear Feature 19
111  01.58856632 -075.55999792 20
115  01.58829545 -075.56012703
120 Linear Feature 18
111  01.58871730 -075.56031586 20
111  01.58840096 -075.56047158 20
111  01.58824507 -075.56015228 20
111  01.58829545 -075.56012703 20
111  01.58820031 -075.55992684 20
111  01.58846848 -075.55980055 20
111  01.58854037 -075.55982055 20
111  01.58860469 -075.55979081 20
111  01.58865983 -075.55990361 20
111  01.58859334 -075.55993519 20
111  01.58856632 -075.55999792 20
111  01.58866393 -075.56007707 20
111  01.58871785 -075.56005290 20
111  01.58877391 -075.56017127 20
113  01.58871963 -075.56019876 20
120 Linear Feature 17
111  01.58875001 -075.56090920 20
115  01.58896991 -075.56080195
120 Linear Feature 16
111  01.58885480 -075.56055940 20
115  01.58863156 -075.56066581
120 Linear Feature 15
111  01.58886608 -075.56114771 20
111  01.58875001 -075.56090920 20
111  01.58863156 -075.56066581 20
111  01.58852472 -075.56044711 20
111  01.58874442 -075.56034150 20
111  01.58881810 -075.56039530 20
111  01.58886827 -075.56037524 20
111  01.58890084 -075.56044136 20
111  01.58885264 -075.56046727 20
111  01.58885480 -075.56055940 20
111  01.58893119 -075.56063006 20
111  01.58897926 -075.56060978 20
111  01.58901542 -075.56068266 20
111  01.58896487 -075.56070766 20
111  01.58896991 -075.56080195 20
111  01.58904141 -075.56086619 20
111  01.58909572 -075.56084310 20
111  01.58913323 -075.56091926 20
111  01.58908502 -075.56094589 20
111  01.58908718 -075.56104090 20
115  01.58886608 -075.56114771
120 Linear Feature 14
111  01.58909414 -075.56132779 51
112  01.58911160 -075.56127373  01.58910446 -075.56124637
111  01.58911160 -075.56127373 51
112  01.58907771 -075.56119759  01.58907688 -075.56119644
111  01.58907771 -075.56119759
112  01.58907771 -075.56119759  01.58906165 -075.56117201 51
115  01.58902432 -075.56117480
120 Linear Feature 13
111  01.58899642 -075.56137268 51
112  01.58901527 -075.56131358  01.58900576 -075.56128325
111  01.58901527 -075.56131358 51
111  01.58898138 -075.56124458
112  01.58898138 -075.56124458  01.58896117 -075.56121841 51
115  01.58892449 -075.56122279
120 Linear Feature 12
111  01.58886007 -075.56143531 51 101
115  01.58862147 -075.56155352
120 Linear Feature 11
111  01.58869264 -075.56117805 51 101
111  01.58874032 -075.56127353 51 101
111  01.58880715 -075.56140735
112  01.58880715 -075.56140735  01.58882782 -075.56144576 51 101
111  01.58886007 -075.56143531 51
111  01.58899642 -075.56137268 51
111  01.58909414 -075.56132779 51
111  01.58917709 -075.56128970
112  01.58917709 -075.56128970  01.58922139 -075.56126421 51
111  01.58921108 -075.56122739 51
111  01.58917713 -075.56114917 51
