I
1050 Generated by WorldEditor 2.0.0r4

1   4517 1 0 FALA Lanseria
100 45.00 1 0 0.00 1 3 0 07 -25.94829010  027.91543054    0    0 3 9 0 0 25 -25.93041725  027.93695668    0   69 3 9 0 0
102 H2 -25.94110692  027.92710614 317.24 19.90 17.90 2 0 0 0.00 0
102 H1 -25.93779111  027.92438652 338.52 9.40 9.20 2 0 0 0.00 0
110 2 0.00 0.0000 Hanger With Top
111 -25.93033004  027.93134671
111 -25.92965109  027.93216865
111 -25.92956829  027.93208551
111 -25.92985499  027.93174363
111 -25.92960929  027.93148123
111 -25.92964147  027.93147353
111 -25.92984613  027.93123236
111 -25.93008167  027.93147104
113 -25.93024965  027.93126090
110 2 0.00 0.0000 Hangar 4+5 (Grouped)
111 -25.93064423  027.92940853
111 -25.93065963  027.92940703
111 -25.93075953  027.92951227
111 -25.93022992  027.93015235
111 -25.93023429  027.93015826
111 -25.93031162  027.93006630
111 -25.93032791  027.93007837
111 -25.93076523  027.92954998
111 -25.93079128  027.92955049
111 -25.93087137  027.92945571
111 -25.93108693  027.92967140
111 -25.93100654  027.92977507
111 -25.93105846  027.92982907
111 -25.93065421  027.93031343
111 -25.93060758  027.93026516
111 -25.93057382  027.93030628
111 -25.93056176  027.93029645
111 -25.93043419  027.93044660
111 -25.93043699  027.93045178
111 -25.93040442  027.93048799
111 -25.93018757  027.93026879
111 -25.93016245  027.93029697
111 -25.93014886  027.93028402
111 -25.92997635  027.93048887
111 -25.92984572  027.93036844
113 -25.92986498  027.93034573
110 2 0.00 0.0000 Hangar 3 (Long)
111 -25.92975116  027.93022940
111 -25.92960867  027.93009312
111 -25.93039803  027.92914297
111 -25.93052362  027.92926358
113 -25.93054627  027.92928592
110 2 0.00 0.0000 Hanger 2 (Long)
111 -25.93106728  027.92924369
111 -25.93099667  027.92917636
111 -25.93098636  027.92916434
111 -25.93186668  027.92810810
113 -25.93194622  027.92818992
110 2 0.00 0.0000 Hangar 1 (Long)
111 -25.93087273  027.92904355
111 -25.93072701  027.92890081
111 -25.93072087  027.92889398
111 -25.93143750  027.92802942
111 -25.93134771  027.92793578
111 -25.93133157  027.92791999
111 -25.93137757  027.92786311
111 -25.93156706  027.92787356
111 -25.93166851  027.92790732
113 -25.93175292  027.92799174
110 2 0.00 0.0000 Hangar 8 (Long)
111 -25.93128411  027.92944431
111 -25.93112764  027.92928949
111 -25.93181316  027.92846783
111 -25.93180992  027.92846503
111 -25.93196245  027.92828049
111 -25.93211552  027.92843256
111 -25.93212141  027.92842543
111 -25.93215537  027.92846165
111 -25.93210741  027.92851665
111 -25.93207633  027.92848392
111 -25.93196855  027.92861498
111 -25.93205235  027.92870291
111 -25.93194160  027.92883267
111 -25.93188066  027.92877162
111 -25.93187089  027.92877110
113 -25.93185460  027.92875714
110 2 0.00 0.0000 Hangar 6+7 (Grouped)
111 -25.93300258  027.92795284
111 -25.93298552  027.92793503
111 -25.93300274  027.92791366
111 -25.93300938  027.92792098
111 -25.93304272  027.92788391
111 -25.93312065  027.92796883
111 -25.93330364  027.92775328
111 -25.93316174  027.92761361
111 -25.93317376  027.92759464
111 -25.93315244  027.92757093
111 -25.93338654  027.92728558
111 -25.93341347  027.92725330
111 -25.93352019  027.92735297
111 -25.93354751  027.92731915
111 -25.93361765  027.92738887
111 -25.93389271  027.92706667
111 -25.93413930  027.92731850
111 -25.93411036  027.92735462
111 -25.93411540  027.92736281
111 -25.93388931  027.92763358
111 -25.93388415  027.92762734
111 -25.93384914  027.92767299
111 -25.93388755  027.92771191
111 -25.93370991  027.92793492
111 -25.93369907  027.92792696
111 -25.93367215  027.92795919
111 -25.93369627  027.92798476
111 -25.93367271  027.92801012
111 -25.93361831  027.92795836
111 -25.93361254  027.92796570
111 -25.93361664  027.92797036
111 -25.93358334  027.92801179
111 -25.93355348  027.92803464
111 -25.93338019  027.92824459
111 -25.93337889  027.92824688
111 -25.93338071  027.92824948
111 -25.93337292  027.92825959
111 -25.93336474  027.92825035
111 -25.93333981  027.92828514
111 -25.93334137  027.92830131
111 -25.93339408  027.92835608
111 -25.93314881  027.92865158
113 -25.93275118  027.92824733
110 2 0.00 0.0000 Hangar 10 (Grouped + Concrete Top)
111 -25.93346027  027.92895596
111 -25.93348666  027.92892125
111 -25.93348181  027.92891676
111 -25.93369531  027.92865780
111 -25.93368535  027.92864613
111 -25.93372816  027.92859433
111 -25.93373220  027.92859942
111 -25.93375099  027.92857625
111 -25.93377361  027.92859530
111 -25.93397746  027.92835210
111 -25.93399685  027.92832666
111 -25.93398561  027.92831502
111 -25.93400538  027.92829088
111 -25.93401080  027.92829562
111 -25.93423976  027.92802001
111 -25.93417835  027.92796041
111 -25.93418564  027.92795106
111 -25.93423275  027.92799846
111 -25.93446192  027.92772806
111 -25.93445743  027.92772233
111 -25.93449513  027.92767617
111 -25.93451819  027.92765926
111 -25.93472708  027.92740267
111 -25.93476802  027.92737628
111 -25.93501925  027.92765254
111 -25.93476430  027.92795259
111 -25.93479454  027.92798052
111 -25.93480152  027.92801777
111 -25.93479024  027.92804007
111 -25.93462260  027.92829864
111 -25.93462501  027.92830758
111 -25.93456793  027.92831741
111 -25.93455740  027.92832741
112 -25.93455740  027.92832741 -25.93455166  027.92833379
111 -25.93454060  027.92832968
111 -25.93452013  027.92838659
111 -25.93436242  027.92858162
112 -25.93436242  027.92858162 -25.93433907  027.92860479
111 -25.93430287  027.92860749
111 -25.93429170  027.92860180
111 -25.93427263  027.92862042
111 -25.93424099  027.92861680
111 -25.93401253  027.92888564
111 -25.93400927  027.92888150
111 -25.93398089  027.92891409
111 -25.93397810  027.92891047
111 -25.93397392  027.92891823
111 -25.93396880  027.92891771
111 -25.93396368  027.92891461
111 -25.93374595  027.92917844
111 -25.93374270  027.92917482
113 -25.93371013  027.92921103
110 2 0.00 0.0000 Hangar 9 (Grouped)
111 -25.93127169  027.93004087
111 -25.93159292  027.93036939
111 -25.93152650  027.93045000
111 -25.93145499  027.93053677
111 -25.93138158  027.93062585
111 -25.93136574  027.93064508
111 -25.93144774  027.93072821
111 -25.93141478  027.93076665
111 -25.93139009  027.93074180
111 -25.93136172  027.93077671
111 -25.93137384  027.93078873
111 -25.93081061  027.93146543
111 -25.93078598  027.93146393
111 -25.93040139  027.93107905
111 -25.93038915  027.93106544
111 -25.93045523  027.93097987
111 -25.93068113  027.93071349
111 -25.93074142  027.93064376
111 -25.93071570  027.93059192
111 -25.93084513  027.93043280
111 -25.93090623  027.93043906
111 -25.93093356  027.93040688
111 -25.93094080  027.93041135
111 -25.93095417  027.93039868
113 -25.93095882  027.93040299
110 2 0.00 0.0000 Hangar 11
111 -25.93827734  027.92391853
111 -25.93827375  027.92391720
111 -25.93823962  027.92400109
111 -25.93819562  027.92401973
111 -25.93803726  027.92394716
111 -25.93808007  027.92382866
111 -25.93785270  027.92372879
111 -25.93781175  027.92383280
111 -25.93655680  027.92326965
111 -25.93674507  027.92276327
113 -25.93842658  027.92351959
110 2 0.00 0.0000 Hangar 12 (Top)
111 -25.93274359  027.92914228
111 -25.93248128  027.92945832
111 -25.93253263  027.92951402
111 -25.93232018  027.92976652
111 -25.93232990  027.92977539
111 -25.93224977  027.92987115
111 -25.93219409  027.92981224
111 -25.93199379  027.93006214
111 -25.93197313  027.93004350
111 -25.93193032  027.93009198
111 -25.93191452  027.93007960
111 -25.93154754  027.92970393
111 -25.93178141  027.92941322
111 -25.93178619  027.92941021
111 -25.93177351  027.92939472
111 -25.93177829  027.92939079
111 -25.93170990  027.92931729
111 -25.93199505  027.92897532
111 -25.93200612  027.92898996
111 -25.93201600  027.92898131
111 -25.93208648  027.92905732
111 -25.93227601  027.92883067
111 -25.93228636  027.92883019
111 -25.93229412  027.92884026
113 -25.93236635  027.92876398
110 2 0.00 0.0000 Hangar 13
111 -25.93274790  027.93043492
111 -25.93278921  027.93047886
111 -25.93256122  027.93075337
111 -25.93242975  027.93061820
111 -25.93242501  027.93062300
111 -25.93241078  027.93060862
111 -25.93238966  027.93063019
