I
1050 Generated by WorldEditor 2.3.0r2

1    328 0 0 CCP2 Exploits Valley (Botwood)
100 22.86 1 0 0.25 0 2 0 06  49.05206698 -055.45343624    0    0 1 0 0 1 24  49.06002443 -055.44195788    0    0 1 0 0 1
110 1 0.00 0.0000 New Taxiway 29
111  49.05988641 -055.44236723
112  49.05992853 -055.44261398  49.05996182 -055.44271144
111  49.05992853 -055.44261398
111  49.06023419 -055.44308772
111  49.06046892 -055.44345151
112  49.06046892 -055.44345151  49.06048346 -055.44346591
111  49.06055452 -055.44339967
111  49.06065115 -055.44326058
111  49.06095305 -055.44375005
111  49.06050794 -055.44433976
111  49.06025750 -055.44394910
111  49.06038060 -055.44376373
112  49.06038141 -055.44353979  49.06035193 -055.44346839
111  49.06038141 -055.44353979
111  49.06016394 -055.44319280
111  49.05986211 -055.44271122
112  49.05986211 -055.44271122  49.05980437 -055.44264383
113  49.05969662 -055.44263532
130 Airport Boundary 30
111  49.06033533 -055.44273983
111  49.06102426 -055.44383776
111  49.06051870 -055.44459364
111  49.05999127 -055.44373458
111  49.05931847 -055.44422215
111  49.05361179 -055.45248543
111  49.05358479 -055.45258395
111  49.05360710 -055.45283652
111  49.05349597 -055.45289235
111  49.05344162 -055.45297942
111  49.05332339 -055.45280626
111  49.05163636 -055.45526107
111  49.05080800 -055.45409656
111  49.05860770 -055.44288019
111  49.05848213 -055.44257951
111  49.05860709 -055.44239198
111  49.05875321 -055.44262607
111  49.06053469 -055.44005415
113  49.06131910 -055.44129759
120 Linear Feature 32
111  49.06023419 -055.44308772 4
115  49.06016394 -055.44319280
120 Linear Feature 31
111  49.06040094 -055.44347336 1
115  49.05982019 -055.44253635
1300  49.06032283 -055.44392269  44.35 tie_down props Apron 3
1301 A general_aviation 
1300  49.06040775 -055.44405589  44.35 tie_down props Apron 2
1301 A general_aviation 
1300  49.06049324 -055.44418030  44.35 tie_down props Apron 1
1301 A general_aviation 
19  49.05341773 -055.45277129 1 New Windsock 23
19  49.05859559 -055.44263125 1 New Windsock 22
51 12320 Exploits Valley (Botwood) Traffic
99
