I
1050 Generated by WorldEditor 2.2.0r2

1     28 0 0 DE25 Eagle Crest-Hudson
1302 gui_label 2D
100 30.48 3 0 0.00 0 0 0 14  38.77921544 -075.23871054    0    0 0 0 0 0 32  38.77310100 -075.22921800    0    0 0 0 0 0
110 2 0.00 0.0000 New Taxiway 5
111  38.77345273 -075.22887776
111  38.77403036 -075.22826851
111  38.77414024 -075.22844480
111  38.77377969 -075.22880631
111  38.77395290 -075.22909115
111  38.77378734 -075.22926279
113  38.77372920 -075.22932183
110 3 0.00 0.0000 New Taxiway 3
111  38.77839080 -075.23720547
111  38.77918403 -075.23694079
113  38.77917450 -075.23846375
110 2 0.00 0.0000 New Taxiway 2
111  38.77389124 -075.22941862
111  38.77396958 -075.22954751
111  38.77373126 -075.22980529
113  38.77364997 -075.22968299
110 2 0.00 0.0000 New Taxiway 2
111  38.77438951 -075.23026124
111  38.77452150 -075.23048189
111  38.77437860 -075.23063220
113  38.77424366 -075.23041814
110 3 0.00 0.0000 New Taxiway 1
111  38.77364997 -075.22968299
111  38.77373126 -075.22980529
111  38.77396958 -075.22954751
111  38.77441455 -075.23023430
111  38.77438951 -075.23026124
111  38.77424366 -075.23041814
111  38.77409992 -075.23057277
111  38.77318734 -075.22915230
111  38.77345273 -075.22887776
111  38.77372920 -075.22932183
111  38.77378734 -075.22926279
113  38.77389124 -075.22941862
130 Airport Boundary 4
111  38.77396324 -075.22787588
111  38.77544190 -075.23017173
111  38.77607716 -075.22954325
111  38.77657667 -075.23039871
111  38.77598440 -075.23101404
111  38.77962122 -075.23666075
111  38.77960968 -075.23905771
111  38.77882527 -075.23893934
113  38.77255949 -075.22933995
14  38.77603542 -075.23027481   8.00 0 New Tower Viewpoint 1
1300  38.77369969 -075.22875431 218.57 hangar props GA Hangar 4
1301 A none 
1300  38.77389609 -075.22958928 308.96 hangar props GA Hangar 3
1301 A none 
1300  38.77377344 -075.22972071 309.99 hangar props GA Hangar 2
1301 A none 
1300  38.77434013 -075.23038558 128.49 hangar props GA Hangar 1
1301 A none 
99
