A
1050 Generated by WorldEditor 1.7.1r1

1    418 1 0 3S2 Swans Field Airport
100 12.19 3 0 0.00 0 0 0 12  44.51572230 -070.40990991    0    0 0 0 0 0 30  44.51309941 -070.40400738    0    0 0 0 0 0
110 2 0.00 0.0000 New Taxiway 51
111  44.51386603 -070.40520002
111  44.51355550 -070.40442937
111  44.51364132 -070.40435360
113  44.51394962 -070.40512692
110 3 0.00 0.0000 New Taxiway 50
111  44.51314466 -070.40397739
111  44.51371585 -070.40350757
111  44.51417171 -070.40469367
112  44.51417171 -070.40469367  44.51425409 -070.40490932
112  44.51387972 -070.40562384  44.51391850 -070.40571159
113  44.51387972 -070.40562384
130 BND
111  44.51566332 -070.41009444
111  44.51292687 -070.40404436
111  44.51372962 -070.40336783
111  44.51445327 -070.40529761
111  44.51422787 -070.40619596
113  44.51586895 -070.40991144
14  44.51376852 -070.40479336 262.47 0 TWR
1300  44.51359078 -070.40376213 -150.21 tie_down props Ramp 03
1301 A general_aviation 
1300  44.51365435 -070.40392481 -150.21 tie_down props Ramp 02
1301 A general_aviation 
1300  44.51372110 -070.40408973 -150.21 tie_down props Ramp 01
1301 A general_aviation 
1300  44.51360827 -070.40453768 -149.82 hangar props Hangar 01-D
1301 A none 
1300  44.51368137 -070.40471374 -149.82 hangar props Hangar 01-C
1301 A none 
1300  44.51375606 -070.40489648 -149.82 hangar props Hangar 01-B
1301 A none 
1300  44.51383234 -070.40507700 -149.82 hangar props Hangar 01-A
1301 A none 
19  44.51397078 -070.40427520 0 WS
51 12290 Unicom
99
