I
1050 Generated by WorldEditor 2.1.0r1

1   1869 1 0 KLSV Nellis AFB
1302 city Las Vegas
1302 country USA
1302 datum_lat 36.2362000
1302 datum_lon -115.0342556
1302 iata_code LSV
1302 state Nevada
1302 transition_alt 
100 45.72 2 0 0.50 0 3 1 03L  36.22669283 -115.04680057    0  305 3 0 0 0 21R  36.24758217 -115.02415985    0  305 3 0 0 0
100 45.72 2 0 0.50 0 3 1 03R  36.22488345 -115.04425578    0  305 3 1 0 0 21L  36.24562795 -115.02177238    0  305 3 1 0 0
102 H1  36.25134053 -115.03290451   2.00 30.50 29.90 2 0 0 0.00 1
102 H2  36.24785698 -115.03297969   3.00 21.90 20.10 1 0 0 0.00 1
110 2 0.00 0.0000 prime HCA concrete
111  36.24713848 -115.01694794 53
111  36.24700121 -115.01695365
111  36.24651937 -115.01697373 53
111  36.24646073 -115.01697617 53
111  36.24618764 -115.01698755 53
111  36.24590980 -115.01699913 53
111  36.24590965 -115.01699379 53
111  36.24590676 -115.01688918
111  36.24589940 -115.01662266 53
111  36.24589597 -115.01649859 53
111  36.24614046 -115.01648778 53
111  36.24638784 -115.01647773 53
111  36.24663189 -115.01646783 53
111  36.24688112 -115.01645741 53
113  36.24712608 -115.01644717 53
110 2 0.00 0.0000 New Taxiway 15
111  36.25149138 -115.02849464
111  36.25144292 -115.02795669
111  36.25142841 -115.02795777 53
111  36.25141133 -115.02796032 53
111  36.25128384 -115.02783042 53
111  36.25126111 -115.02761596 53
111  36.25136587 -115.02745787 53
111  36.25154080 -115.02743459 53
111  36.25166829 -115.02756081 53
111  36.25168805 -115.02777650 53
111  36.25158428 -115.02793704 53
111  36.25156655 -115.02793979
111  36.25155266 -115.02794194
113  36.25159910 -115.02847993
110 2 0.00 0.0000 New Taxiway 14
111  36.25147223 -115.03083719
111  36.25129336 -115.03084332
111  36.25124394 -115.02931145
113  36.25142183 -115.02930165
110 2 0.00 0.0000 New Taxiway 13
111  36.25105797 -115.03181115
111  36.25105321 -115.03163533
111  36.25113011 -115.03163172
111  36.25109951 -115.03159201
111  36.25121554 -115.03144618
111  36.25104739 -115.03145457
111  36.25104232 -115.03127956
111  36.25121995 -115.03126976
111  36.25122617 -115.03143281
111  36.25169174 -115.03084766
111  36.25169480 -115.03084964
111  36.25169686 -115.03091021
111  36.25183376 -115.03090540 53
111  36.25210616 -115.03089584
111  36.25221382 -115.03089206
111  36.25221117 -115.03082140
111  36.25231155 -115.03081531
111  36.25234109 -115.03170290
111  36.25213131 -115.03170465 53
111  36.25214710 -115.03237456
111  36.25173643 -115.03239324
111  36.25172994 -115.03214410
111  36.25169518 -115.03214574
111  36.25169020 -115.03195454
111  36.25172495 -115.03195290
111  36.25172093 -115.03179846
111  36.25168618 -115.03180051
111  36.25168389 -115.03171289
111  36.25145592 -115.03199755
111  36.25137559 -115.03190896
111  36.25171279 -115.03148599
111  36.25171193 -115.03145290
111  36.25167737 -115.03145634
111  36.25167570 -115.03139202
111  36.25131571 -115.03183911
111  36.25123769 -115.03175062
111  36.25170445 -115.03116612
111  36.25170077 -115.03102479
111  36.25122030 -115.03162749
111  36.25123154 -115.03162696
113  36.25123630 -115.03180278
110 2 0.00 0.0000 New Taxiway 13
111  36.25106983 -115.03216287
111  36.25106507 -115.03198705
111  36.25124340 -115.03197868
113  36.25124816 -115.03215450
110 2 0.00 0.0000 New Taxiway 12
111  36.25120820 -115.03307704
111  36.25120346 -115.03290938
111  36.25119878 -115.03274391
111  36.25147296 -115.03273209
111  36.25147758 -115.03289812
113  36.25148223 -115.03306516
110 2 0.00 0.0000 New Taxiway 11
111  36.24926613 -115.03305157
111  36.24925625 -115.03268515 53
111  36.24953099 -115.03267290
113  36.24954088 -115.03303809 53
110 2 0.00 0.0000 New Taxiway 64
111  36.25071727 -115.03295365
111  36.25027648 -115.03297062
111  36.25027374 -115.03291970
113  36.25071362 -115.03290386
110 2 0.00 0.0000 New Taxiway 48
111  36.23073094 -115.02499911
111  36.23045716 -115.02500997
111  36.23044840 -115.02467600
113  36.23072218 -115.02466649
110 2 0.00 0.0000 New Taxiway 18
111  36.22389882 -115.05363340
111  36.22370512 -115.05350354
111  36.22378220 -115.05332346
113  36.22397887 -115.05345209
110 2 0.00 0.0000 New Taxiway 17
111  36.22439611 -115.05606554
111  36.22465088 -115.05578966
111  36.22482532 -115.05560077
111  36.22489136 -115.05552926
111  36.22503968 -115.05573708
111  36.22513313 -115.05586802
111  36.22524704 -115.05602762
111  36.22533357 -115.05614887
111  36.22545796 -115.05632315
111  36.22549192 -115.05637073
113  36.22499382 -115.05690702
110 2 0.00 0.0000 New Taxiway 16
111  36.22361769 -115.05551299
111  36.22340541 -115.05528807
111  36.22344981 -115.05522325
111  36.22349653 -115.05515506
111  36.22354071 -115.05509057
111  36.22358567 -115.05502493
111  36.22379796 -115.05524985
111  36.22374749 -115.05532351
111  36.22371924 -115.05536475
113  36.22369035 -115.05540693
110 2 0.00 0.0000 New Taxiway 16
111  36.22329749 -115.05596724 53
111  36.22308521 -115.05574232 53
111  36.22313239 -115.05567452
111  36.22322284 -115.05554455 53
111  36.22327140 -115.05547477 53
113  36.22348368 -115.05569969
110 2 0.00 0.0000 concrete pad SW
111  36.22851833 -115.05163840
111  36.22820537 -115.05120041
111  36.22820372 -115.05114733
111  36.22835691 -115.05098397
111  36.22848345 -115.05098101
111  36.22866245 -115.05097683
113  36.22886670 -115.05125963
110 2 0.00 0.0000 New Taxiway 58
111  36.24740126 -115.02385491
111  36.24737441 -115.02382053
111  36.24749940 -115.02368356
111  36.24752449 -115.02372176
111  36.24746683 -115.02378779
113  36.24745627 -115.02379980
110 2 0.00 0.0000 New Taxiway 57
111  36.24783344 -115.02446830
111  36.24780484 -115.02442683
111  36.24785771 -115.02437026
111  36.24785507 -115.02436699
111  36.24787662 -115.02434392
111  36.24787926 -115.02434720
111  36.24793643 -115.02428603
113  36.24796416 -115.02432642
110 2 0.00 0.0000 New Taxiway 54
111  36.24584254 -115.02199680
111  36.24581467 -115.02195814
111  36.24587101 -115.02189741
111  36.24586844 -115.02189423
111  36.24587303 -115.02188928
111  36.24585542 -115.02186473
111  36.24586374 -115.02185575
111  36.24588135 -115.02188031
111  36.24588927 -115.02187176
111  36.24589184 -115.02187495
111  36.24594670 -115.02181580
113  36.24597531 -115.02185628
110 2 0.00 0.0000 New Taxiway 52
111  36.24557964 -115.02148492
111  36.24556717 -115.02146536
111  36.24555533 -115.02147833
111  36.24554836 -115.02146924
111  36.24549229 -115.02153067
111  36.24546479 -115.02149065
111  36.24553319 -115.02141579
111  36.24552182 -115.02139851
111  36.24553069 -115.02138880
111  36.24554206 -115.02140608
111  36.24560232 -115.02134013
111  36.24563093 -115.02137878
111  36.24557794 -115.02143683
111  36.24558491 -115.02144593
111  36.24557638 -115.02145527
113  36.24558885 -115.02147483
110 2 0.00 0.0000 New Taxiway 41
111  36.22678476 -115.04727856
111  36.22675718 -115.04724146
111  36.22680392 -115.04719016
111  36.22680039 -115.04718507
111  36.22680677 -115.04717807
111  36.22679152 -115.04715625
111  36.22679886 -115.04714818
111  36.22681412 -115.04717000
111  36.22682120 -115.04716223
111  36.22682472 -115.04716732
111  36.22687512 -115.04711199
111  36.22689977 -115.04715200
111  36.22684613 -115.04721103
111  36.22685904 -115.04722849
111  36.22685061 -115.04723775
113  36.22683771 -115.04722030
110 2 0.00 0.0000 New Taxiway 40
111  36.22634296 -115.04667782
111  36.22631694 -115.04664056
111  36.22644284 -115.04650642
111  36.22646980 -115.04654421
111  36.22641442 -115.04661012
111  36.22643101 -115.04663148
111  36.22642320 -115.04664020
113  36.22640661 -115.04661884
110 2 0.00 0.0000 New Taxiway 39
111  36.22457009 -115.04418933
111  36.22454192 -115.04415151
111  36.22467219 -115.04401113
111  36.22469859 -115.04405041
111  36.22466531 -115.04408638
111  36.22464276 -115.04411506
111  36.22465906 -115.04413779
111  36.22464976 -115.04414806
111  36.22463346 -115.04412533
113  36.22460020 -115.04415678
110 2 0.00 0.0000 New Taxiway 38
111  36.22489398 -115.04463884
111  36.22495453 -115.04457355
111  36.22493823 -115.04455082
111  36.22494809 -115.04454020
111  36.22496438 -115.04456293
111  36.22502013 -115.04450282
111  36.22504595 -115.04454282
113  36.22492215 -115.04467666
110 2 0.00 0.0000 New Taxiway 26
111  36.22753082 -115.04183077
111  36.22750458 -115.04179313
111  36.22756023 -115.04172922
111  36.22757422 -115.04171449
111  36.22763735 -115.04165343
113  36.22766308 -115.04168979
110 2 0.00 0.0000 New Taxiway 25
111  36.22938266 -115.04446285
111  36.22935482 -115.04442597
111  36.22938385 -115.04439405
111  36.22938097 -115.04439107
111  36.22939201 -115.04437893
111  36.22936961 -115.04434671
111  36.22938016 -115.04433511
111  36.22940256 -115.04436733
111  36.22941256 -115.04435633
111  36.22941543 -115.04435931
111  36.22944408 -115.04432780
113  36.22947288 -115.04436766
110 2 0.00 0.0000 New Taxiway 24
111  36.22890481 -115.04381066
111  36.22899534 -115.04371471
111  36.22902160 -115.04375069
111  36.22898701 -115.04379197
111  36.22898260 -115.04379662
111  36.22900780 -115.04382885
111  36.22899762 -115.04383959
111  36.22897243 -115.04380736
111  36.22896887 -115.04381111
113  36.22893315 -115.04384407
110 2 0.00 0.0000 New Taxiway 14
111  36.22716552 -115.04134093
111  36.22713807 -115.04130319
111  36.22727242 -115.04115785
111  36.22729609 -115.04119102
111  36.22724103 -115.04126055
113  36.22722862 -115.04127473
110 2 0.00 0.0000 New Taxiway 6
111  36.24477227 -115.02778608
111  36.24474516 -115.02774899
111  36.24477403 -115.02771775
111  36.24477094 -115.02771329
111  36.24480083 -115.02768095
111  36.24480392 -115.02768541
111  36.24483495 -115.02765184
113  36.24486092 -115.02768822
110 2 0.00 0.0000 New Taxiway 5
111  36.24433104 -115.02718074
111  36.24430531 -115.02714629
111  36.24439434 -115.02704866
111  36.24442007 -115.02708567
111  36.24438345 -115.02712978
113  36.24437192 -115.02714163
110 1 0.00 0.0000 New Taxiway 68
111  36.22677323 -115.05179537
111  36.22678284 -115.05180868
112  36.22685465 -115.05181573  36.22688457 -115.05183428
111  36.22685465 -115.05181573
111  36.22651982 -115.05218389
111  36.22663997 -115.05234483
111  36.22670906 -115.05226464
111  36.22673239 -115.05229628
111  36.22667297 -115.05236448
111  36.22666285 -115.05241630
111  36.22668662 -115.05244959
111  36.22659332 -115.05255379
111  36.22656735 -115.05251996
111  36.22629932 -115.05281075
111  36.22632637 -115.05284751
111  36.22629062 -115.05288669
112  36.22620148 -115.05288142  36.22616489 -115.05283297
111  36.22620148 -115.05288142
111  36.22608758 -115.05272436
112  36.22608758 -115.05272436  36.22605721 -115.05266653
111  36.22607422 -115.05257331
113  36.22606625 -115.05256178
110 1 0.00 0.0000 New Taxiway 66
111  36.22911954 -115.04979151
112  36.22911954 -115.04979151  36.22908559 -115.04976164
111  36.22904635 -115.04981076
111  36.22880761 -115.05007006
112  36.22880870 -115.05009449  36.22881902 -115.05010764
111  36.22880870 -115.05009449
111  36.22885470 -115.05016102
