I
1050 Generated by WorldEditor 1.6.0r1

1    856 1 0 KPKB Mid-Ohio Valley Regional
1302 city Parkersburg
1302 country United States
1302 datum_lat 39.344972222
1302 datum_lon -81.439305556
1302 faa_code PKB
1302 iata_code PKB
1302 icao_code KPKB
1302 region_code K6
1302 state West Virginia
1302 transition_alt 18000
1302 transition_level 18000
1302 flatten 1
100 46.00 1 0 0.25 0 3 0 03  39.33696407 -081.44387939    0    0 3 8 0 0 21  39.35538840 -081.43428771  142    0 2 0 0 1
100 46.00 1 0 0.25 0 3 0 10  39.34327626 -081.44673443    0    0 2 0 0 1 28  39.34231465 -081.43259246    0    0 2 0 0 1
110 1 0.00 0.0000 New Taxiway 7
111  39.34376090 -081.43348621
111  39.34387334 -081.43348217
111  39.34386747 -081.43342751
111  39.34391168 -081.43342198
111  39.34391327 -081.43347479
111  39.34398955 -081.43346465
111  39.34398725 -081.43341368
111  39.34402503 -081.43341091
111  39.34402948 -081.43346096
111  39.34409563 -081.43344888
111  39.34409350 -081.43340334
111  39.34414222 -081.43339873
111  39.34414285 -081.43344225
111  39.34422190 -081.43343694
111  39.34421452 -081.43338933
111  39.34425475 -081.43338533
111  39.34426042 -081.43343597
111  39.34432875 -081.43342576
111  39.34432862 -081.43337862
111  39.34437269 -081.43337286
111  39.34437680 -081.43348658
111  39.34435947 -081.43349042
111  39.34436722 -081.43360701
111  39.34431326 -081.43361182
111  39.34430798 -081.43350195
111  39.34377777 -081.43356115
113  39.34376471 -081.43356995
110 1 0.00 0.0000 New Taxiway 6
111  39.34373299 -081.43306093
111  39.34378679 -081.43305519
111  39.34378212 -081.43297628
111  39.34381966 -081.43297201
111  39.34382481 -081.43305442
111  39.34390205 -081.43304366
111  39.34389535 -081.43296338
111  39.34393694 -081.43296030
111  39.34394185 -081.43303905
111  39.34401732 -081.43303138
111  39.34401041 -081.43295279
111  39.34404955 -081.43294706
111  39.34405692 -081.43302818
111  39.34413349 -081.43301877
111  39.34412548 -081.43294024
111  39.34416469 -081.43293471
111  39.34417032 -081.43301340
111  39.34424419 -081.43300796
111  39.34423813 -081.43292641
111  39.34428162 -081.43292272
111  39.34428818 -081.43300234
111  39.34432303 -081.43299941
111  39.34433041 -081.43311110
111  39.34429111 -081.43311519
111  39.34430219 -081.43320000
111  39.34426341 -081.43320373
111  39.34425080 -081.43311955
111  39.34417772 -081.43312647
111  39.34418744 -081.43321266
111  39.34414585 -081.43321881
111  39.34413910 -081.43313338
111  39.34406524 -081.43314090
111  39.34407277 -081.43322726
111  39.34403118 -081.43323033
111  39.34402543 -081.43314858
111  39.34395264 -081.43315513
111  39.34395910 -081.43323862
111  39.34391811 -081.43324400
111  39.34390844 -081.43316066
111  39.34383696 -081.43316855
111  39.34384087 -081.43325245
111  39.34380225 -081.43325552
111  39.34379419 -081.43317008
113  39.34373828 -081.43317381
110 2 0.00 180.0000 New Taxiway 12
111  39.33988608 -081.43250798
111  39.33978162 -081.43270897
111  39.33959756 -081.43255358
113  39.33969974 -081.43235421
110 2 0.00 180.0000 New Taxiway 11
111  39.34026682 -081.43282217
111  39.34010968 -081.43313594
111  39.33978703 -081.43287695
113  39.33994294 -081.43255490
110 2 0.00 180.0000 New Taxiway 10
111  39.34051663 -081.43302831
111  39.34037169 -081.43332352
111  39.34017572 -081.43315693
113  39.34031900 -081.43286522
110 2 0.00 180.0000 New Taxiway 9
111  39.34100357 -081.43343013
111  39.34083724 -081.43376030
111  39.34055358 -081.43353071
113  39.34072537 -081.43320056
110 1 0.00 0.0000 New Taxiway 5
