I
1000 Generated by WorldEditor

1      7 0 0 MYEN Normans Cay
100 18.29 1 0 0.25 0 0 0 03  24.59065340 -076.82207880    0    0 2 0 0 0 21  24.59808579 -076.81826662    0    0 2 0 0 0
110 2 0.00 0.0000 New Taxiway 5
111  24.59327529 -076.82022264
111  24.59320796 -076.82004538
111  24.59336098 -076.81997134
113  24.59342831 -076.82014635
110 2 0.00 0.0000 New Taxiway 4
111  24.59304169 -076.82034268
111  24.59297334 -076.82016318
111  24.59312024 -076.82009138
113  24.59318858 -076.82026639
110 1 0.00 0.0000 New Taxiway 3
111  24.59318450 -076.82068148
111  24.59304169 -076.82034268
111  24.59318858 -076.82026639
111  24.59327529 -076.82022264
111  24.59342831 -076.82014635
111  24.59345381 -076.82013625
112  24.59356296 -076.82037072  24.59361192 -076.82046608
113  24.59362621 -076.82045823
110 1 0.00 0.0000 New Taxiway 2
111  24.59490643 -076.81979968
112  24.59497376 -076.81955736  24.59493194 -076.81944292
111  24.59492786 -076.81942497
111  24.59510127 -076.81935766
112  24.59541240 -076.81953941  24.59563683 -076.81950799
113  24.59541240 -076.81953941
130 Airport Boundary 1
111  24.59041436 -076.82288273
111  24.58998887 -076.82181859
111  24.59307024 -076.81970538
111  24.59492317 -076.81883744
111  24.59804572 -076.81766004
113  24.59853983 -076.81857329
1300  24.59309761 -076.82025938 294.34 hangar props Hangar 02
1300  24.59334345 -076.82015729 294.78 hangar props Hangar 01
1300  24.59507543 -076.81953123 290.56 misc props GA 01
18  24.59422127 -076.81994646 1 New Airport Beacon 5
19  24.59045438 -076.82245041 1 WS
19  24.59806261 -076.81797757 1 WS
51 12280 UNICOM
99
