I
1050 Generated by WorldEditor 1.7.1r2

1    289 1 0 BGUQ Qaarsut Ummannaq
1302 city Uummannaq Qaarsut
1302 country Greenland
1302 datum_lat 70.7342306
1302 datum_lon -052.6962028
1302 iata_code JQA
1302 icao_code BGUQ
1302 state Kitaa
1302 transition_alt 10000
100 30.00 5 0 0.25 0 1 0 15  70.73622500 -052.70681940    0    0 0 0 0 1 33  70.73223610 -052.68558890    0    0 0 6 0 1
110 5 0.00 158.0000 Gravel
111  70.73367338 -052.69385916
111  70.73363618 -052.69383725 102
111  70.73355857 -052.69373314 102
111  70.73348736 -052.69374963 102
111  70.73314404 -052.69436065 102
111  70.73311316 -052.69482855 102
111  70.73318582 -052.69526893 102
111  70.73319672 -052.69563775 102
111  70.73312951 -052.69595152 102
111  70.73278256 -052.69645795 102
111  70.73242835 -052.69442671 102
111  70.73265723 -052.69406890 102
111  70.73287520 -052.69423404 102
111  70.73339108 -052.69334228 102
111  70.73344013 -052.69315511 102
111  70.73345893 -052.69296747 102
113  70.73347101 -052.69284685
130 Airport Boundary
111  70.73511092 -052.69076910
111  70.73503572 -052.69385835
111  70.73510263 -052.69513244
111  70.73504027 -052.69769402
111  70.73538142 -052.69935045
111  70.73565933 -052.70047486
111  70.73601272 -052.70210560
111  70.73612816 -052.70251352
111  70.73644764 -052.70421404
111  70.73666745 -052.70473305
111  70.73704529 -052.70658361
111  70.73702686 -052.70805238
111  70.73605553 -052.71164277
111  70.73594345 -052.71130545
111  70.73515936 -052.70770278
111  70.73547496 -052.70741377
111  70.73559014 -052.70678566
111  70.73510044 -052.70453448
111  70.73493422 -052.70431995
111  70.73481681 -052.70359207
111  70.73434921 -052.70203122
111  70.73457772 -052.70064399
111  70.73415342 -052.69831858
111  70.73374808 -052.69779841
111  70.73342512 -052.69602052
111  70.73255812 -052.69745495
111  70.73225480 -052.69723411
111  70.73187028 -052.69509608
111  70.73182000 -052.69402110
111  70.73181073 -052.69147361
111  70.73107874 -052.68618283
111  70.73095244 -052.68568680
111  70.73107330 -052.68395951
111  70.73248248 -052.68183382
111  70.73298003 -052.68477136
113  70.73502431 -052.68976017
21  70.73571347 -052.70567007 3 119.5900 6.00 16  PAPI-4R
21  70.73619999 -052.70475687 2 119.5900 6.00 16  PAPI-4L
21  70.73281975 -052.68684211 3 299.6100 6.00 34  PAPI-4R
21  70.73233009 -052.68767911 2 299.6100 6.00 34  PAPI-4L
14  70.73253166 -052.69616870  30.00 0 Tower
1300  70.73262625 -052.69491386 297.93 gate turboprops|props Gate
1301 B general_aviation 
1300  70.73303678 -052.69515607 112.62 tie_down turboprops|props Parking
1301 B none 
18  70.73253166 -052.69616870 1 Rotating Beacon
19  70.73565886 -052.70725459 1 Windsock
19  70.73182216 -052.68564161 1 Windsock
50 11950 Qaarsut AFIS
99
