I
1050 Generated by WorldEditor 2.2.0r2

1   1130 0 0 3S8 Grants Pass
100 22.86 1 0 0.25 0 2 0 13  42.51442509 -123.39261989    0    0 2 0 0 1 31  42.50582995 -123.38338610    0    0 2 0 0 1
110 2 0.00 0.0000 New Taxiway 12
111  42.50856114 -123.38413372
111  42.50882336 -123.38441638
111  42.50865036 -123.38471123
111  42.50862448 -123.38468387
111  42.50858968 -123.38474175
111  42.50840219 -123.38453830
111  42.50843541 -123.38448047
113  42.50839129 -123.38443239
110 2 0.00 0.0000 New Taxiway 10
111  42.50547620 -123.38484696
112  42.50547620 -123.38484696  42.50545940 -123.38485998
111  42.50543272 -123.38485750
111  42.50532869 -123.38502747
111  42.50515019 -123.38483868
111  42.50525203 -123.38465794
111  42.50539540 -123.38481168
113  42.50545751 -123.38479953
110 2 0.00 0.0000 New Taxiway 10
111  42.50552933 -123.38504381
111  42.50556853 -123.38508502
111  42.50552642 -123.38515599
111  42.50548774 -123.38511544
111  42.50546850 -123.38514765
111  42.50542420 -123.38509954
111  42.50550424 -123.38496142
111  42.50550938 -123.38496697
113  42.50554905 -123.38500983
110 2 0.00 0.0000 New Taxiway 10
111  42.50580380 -123.38517981
111  42.50569841 -123.38535692
111  42.50556359 -123.38521501
113  42.50567004 -123.38503217
110 2 0.00 0.0000 New Taxiway 10
111  42.50596714 -123.38535538
111  42.50587849 -123.38551184
111  42.50575382 -123.38538336
113  42.50584384 -123.38522613
110 2 0.00 0.0000 New Taxiway 10
111  42.50626179 -123.38585889
111  42.50608951 -123.38616006
111  42.50585211 -123.38592250
111  42.50603015 -123.38561277
111  42.50616524 -123.38575631
113  42.50618762 -123.38578008
110 2 0.00 0.0000 New Taxiway 10
111  42.50663065 -123.38624794
111  42.50646249 -123.38654269
111  42.50635341 -123.38642933
111  42.50652395 -123.38613257
113  42.50657543 -123.38618822
110 2 0.00 0.0000 New Taxiway 10
111  42.50686516 -123.38621021
111  42.50676373 -123.38639293
111  42.50670163 -123.38632643
113  42.50680101 -123.38614653
110 2 0.00 0.0000 New Taxiway 9
111  42.50695693 -123.38658859
111  42.50694276 -123.38661491
111  42.50697452 -123.38664671
111  42.50689796 -123.38678378
111  42.50687338 -123.38675918
111  42.50685449 -123.38679290
111  42.50673499 -123.38666635
111  42.50685646 -123.38645518
111  42.50686050 -123.38645943
111  42.50689066 -123.38649137
113  42.50687975 -123.38651087
110 2 0.00 0.0000 New Taxiway 9
111  42.50698654 -123.38697698
111  42.50694938 -123.38704479
111  42.50696600 -123.38706168
111  42.50681769 -123.38731635
111  42.50664361 -123.38713787
111  42.50678037 -123.38689763
