I
1050 Generated by WorldEditor 2.1.0r1

1    325 1 0 EERI Ridali
1302 city Suurküla
1302 country Estonia
1302 datum_lat 57.939722222
1302 datum_lon 26.98
1302 icao_code EERI
1302 region_code EE
1302 state Põlva County
1302 transition_alt 5000
100 60.00 3 0 0.35 0 0 0 18  57.94516436  026.98145495    0    0 1 0 0 0 36  57.93430909  026.97896538    0    0 1 0 0 0
110 2 0.00 0.0000 New Taxiway 82
111  57.93642807  026.97437826
111  57.93635025  026.97437994
111  57.93635025  026.97462101
113  57.93642807  026.97461932
110 2 0.00 0.0000 New Taxiway 81
111  57.93559812  026.97613341
111  57.93559273  026.97636508
111  57.93592180  026.97639596
113  57.93592719  026.97616429
110 2 0.00 0.0000 New Taxiway 79
111  57.93687394  026.97572089
111  57.93677372  026.97584401
111  57.93677372  026.97586043
111  57.93688048  026.97596303
111  57.93711940  026.97593879
111  57.93725509  026.97581099
111  57.93725501  026.97580049
113  57.93712231  026.97569832
110 2 0.00 0.0000 New Taxiway 79
111  57.93686196  026.97531458
111  57.93676174  026.97543771
111  57.93666758  026.97544367
111  57.93666736  026.97545691
111  57.93676153  026.97545094
111  57.93686849  026.97555673
111  57.93710270  026.97552800
111  57.93720292  026.97541308
111  57.93720183  026.97539256
113  57.93709726  026.97529612
110 2 0.00 0.0000 New Taxiway 79
111  57.93686087  026.97494727
111  57.93675956  026.97504372
111  57.93675956  026.97505808
111  57.93685542  026.97515453
111  57.93706131  026.97513195
111  57.93715499  026.97503551
111  57.93715499  026.97501909
113  57.93705913  026.97493291
110 1 0.00 0.0000 Asphalt
111  57.93637051  026.97545994
111  57.93637091  026.97548047
111  57.93637444  026.97566114
111  57.93637777  026.97569592
111  57.93645039  026.97568908
113  57.93644676  026.97545139
110 5 0.00 0.0000 Gravel
111  57.93598513  026.97440579
111  57.93595507  026.97439841
111  57.93594853  026.97465450
112  57.93607562  026.97496069  57.93622017  026.97498586
111  57.93607562  026.97496069
111  57.93619037  026.97495984
112  57.93619037  026.97495984  57.93631586  026.97497461
111  57.93630932  026.97516914
111  57.93630671  026.97562715
112  57.93630671  026.97562715  57.93630409  026.97574042
111  57.93631586  026.97582661
112  57.93662935  026.97578180  57.93663327  026.97577934
111  57.93662673  026.97562667
111  57.93646228  026.97564525
111  57.93637444  026.97566114
112  57.93634069  026.97558037  57.93634200  026.97551388
111  57.93634069  026.97558037
