I
1050 Generated by WorldEditor 2.1.0r1

1    728 1 0 UTAM Mary
1302 city Mary
1302 country Turkmenistan
1302 datum_lat 37.6216667
1302 datum_lon 61.8966667
1302 iata_code MYP
1302 icao_code UTAM
1302 state Mary Region
1302 transition_alt 4000
1302 transition_level FL050
100 45.00 2 0 0.40 0 3 0 18L  37.63287371  061.89727947    0    0 3 1 0 0 36R  37.60758554  061.89812107    0    0 3 1 0 0
100 45.00 2 0 0.00 1 3 0 18R  37.64171191  061.89528956    0    0 3 7 0 0 36L  37.60749316  061.89639826    0    0 3 1 1 0
110 2 0.00 0.0000 New Taxiway 108
111  37.60695782  061.90057408
111  37.60695775  061.90018437
111  37.60730431  061.90017629
111  37.60730349  061.90014758
111  37.60722767  061.90014857
111  37.60692853  061.90014806
111  37.60692743  061.90091275
111  37.60710559  061.90089782
111  37.60710956  061.90116969
111  37.60722654  061.90116998
111  37.60723159  061.90136504
111  37.60743538  061.90135140
111  37.60743394  061.90116944
111  37.60752544  061.90116238
111  37.60752850  061.90144725
111  37.60758591  061.90144291
111  37.60758506  061.90122189
111  37.60793391  061.90121016
111  37.60793142  061.90110068
111  37.60806408  061.90109417
111  37.60806039  061.90076839
111  37.60732237  061.90078823
113  37.60731705  061.90058092
110 2 0.00 0.0000 New Taxiway 134
111  37.61527021  061.90090605
111  37.61527200  061.90096572
111  37.61531927  061.90096347
113  37.61531748  061.90090380
110 2 0.00 0.0000 New Taxiway 134
111  37.61520354  061.90090769
111  37.61520533  061.90096736
111  37.61525260  061.90096511
113  37.61525081  061.90090544
110 2 0.00 0.0000 New Taxiway 133
111  37.61501472  061.90087993
111  37.61501372  061.90090180
111  37.61650595  061.90083557
113  37.61650508  061.90081371
110 1 0.00 0.0000 New Taxiway 107
111  37.60947808  061.89773176
111  37.60947717  061.89764090
111  37.60796578  061.89768467
111  37.60796734  061.89772212
111  37.60802231  061.89771987
111  37.60802260  061.89776639
111  37.60807415  061.89776493
111  37.60807542  061.89781013
111  37.60813275  061.89780877
111  37.60813378  061.89792002
111  37.60763095  061.89795067
111  37.60761397  061.89748254
111  37.60745563  061.89748782
111  37.60745496  061.89753233
111  37.60738361  061.89753413
111  37.60738482  061.89745769
111  37.60729651  061.89745471
111  37.60729185  061.89778287
111  37.60724140  061.89784117
111  37.60710850  061.89784300
111  37.60707840  061.89794679
111  37.60695560  061.89805102
112  37.60695560  061.89805102  37.60692328  061.89814240
111  37.60695958  061.89821168
111  37.60719338  061.89843580
111  37.60728908  061.89845146
111  37.60729677  061.89849159
111  37.60720422  061.90002761
111  37.60723125  061.90004081
111  37.60722767  061.90014857
111  37.60730349  061.90014758
111  37.60730431  061.90017629
111  37.60695775  061.90018437
111  37.60695782  061.90057408
111  37.60731705  061.90058092
111  37.60732237  061.90078823
111  37.60806039  061.90076839
111  37.60806408  061.90109417
111  37.60889269  061.90106288
111  37.60889363  061.90130430
111  37.60900156  061.90129890
111  37.60900078  061.90114023
111  37.60919003  061.90113447
111  37.60919649  061.90137414
111  37.60929015  061.90137420
111  37.60929418  061.90155210
111  37.61019318  061.90145259
111  37.61019887  061.90165647
111  37.61030461  061.90163495
111  37.61030042  061.90127201
111  37.61035998  061.90106822
111  37.61046779  061.90107928
111  37.61048983  061.90113448
111  37.61059249  061.90112258
111  37.61059637  061.90105815
111  37.61118176  061.90102174
111  37.61121590  061.90098630
111  37.61146783  061.90097551
112  37.61146783  061.90097551  37.61152394  061.90099978
111  37.61154526  061.90104599
111  37.61154251  061.90093329
111  37.61154148  061.90089068
111  37.61154051  061.90085077
111  37.61153045  061.90043712
111  37.61144604  061.90043959
111  37.61143500  061.89986780
111  37.61002762  061.89992253
111  37.61002862  061.89977740
111  37.60888945  061.89975793
111  37.60887683  061.89913446
111  37.60802884  061.89915463
111  37.60801676  061.89878530
111  37.60826245  061.89852875
111  37.60970764  061.89846461
111  37.60971148  061.89838043
111  37.61251632  061.89830159
113  37.61249972  061.89762770
110 1 0.00 0.0000 New Taxiway 105
111  37.63194980  061.89677088
112  37.63176552  061.89689187  37.63164807  061.89691738
111  37.63176552  061.89689187
111  37.63147536  061.89691769
111  37.63142698  061.89698827
111  37.63021224  061.89702911
111  37.63018468  061.89685420
111  37.63014900  061.89682027
111  37.63015720  061.89719003
111  37.62970672  061.89719285
111  37.62971351  061.89709514
111  37.62976472  061.89709073
111  37.62976722  061.89704022
111  37.62983826  061.89699291
111  37.62986752  061.89699475
111  37.62992613  061.89692283
111  37.62994108  061.89692099
111  37.62993982  061.89678753
111  37.62995853  061.89678651
111  37.62995574  061.89669371
112  37.62995574  061.89669371  37.62950588  061.89674594
112  37.62925922  061.89707542  37.62898646  061.89711622
111  37.62925922  061.89707542
111  37.62630418  061.89716133
111  37.62630770  061.89732269
111  37.62582381  061.89731754
111  37.62587015  061.89721511
111  37.62590913  061.89720820
111  37.62590534  061.89716648
111  37.62164625  061.89730849
111  37.62165053  061.89747980
111  37.62124157  061.89747595
111  37.62124047  061.89736872
111  37.62128879  061.89735530
111  37.62128983  061.89731630
111  37.61509348  061.89751675
111  37.61511054  061.89820814
111  37.61525861  061.89821231
112  37.61525861  061.89821231  37.61552361  061.89827433
111  37.61555300  061.89859845
111  37.61556827  061.89956742
111  37.61544537  061.89963549
111  37.61476353  061.89968195
111  37.61477183  061.90016145
111  37.61481494  061.90015523
111  37.61486265  061.90196660
111  37.61678687  061.90190000
111  37.61685751  061.90176115
111  37.61685023  061.90111653
111  37.61681108  061.90082416
111  37.61680893  061.90020862
111  37.61634528  061.90020004
111  37.61631473  061.90011913
111  37.61623028  061.90011809
112  37.61623028  061.90011809  37.61609067  061.90009067
111  37.61596155  061.89981695
111  37.61594599  061.89941152
112  37.61594599  061.89941152  37.61636224  061.89894478
111  37.61667210  061.89839765
111  37.61676151  061.89836538
112  37.61676151  061.89836538  37.61689595  061.89819566
111  37.61701765  061.89814323
111  37.63144767  061.89765841
111  37.63149797  061.89773348
111  37.63288829  061.89770523
111  37.63332534  061.89754905
111  37.63331026  061.89699398
111  37.63286659  061.89686098
112  37.63286659  061.89686098  37.63280299  061.89619500
112  37.63206925  061.89653778  37.63188931  061.89685118
113  37.63206925  061.89653778
111  37.61669232  061.89816421
112  37.61669232  061.89816421  37.61632002  061.89869687
111  37.61595238  061.89913162
111  37.61593970  061.89862500
112  37.61593970  061.89862500  37.61595831  061.89828425
113  37.61625487  061.89818771
110 2 0.00 0.0000 New Taxiway 97
111  37.60914886  061.89668517
111  37.61253287  061.89657278
112  37.61253287  061.89657278  37.61318180  061.89671475
112  37.61267557  061.89758512  37.61219081  061.89777604
111  37.61267557  061.89758512
111  37.61255072  061.89758789
111  37.61249972  061.89762770
111  37.61251632  061.89830159
111  37.61256677  061.89834053
111  37.61267703  061.89833480
112  37.61267703  061.89833480  37.61304157  061.89839355
111  37.61308131  061.89885738
111  37.61308960  061.89922660
112  37.61308960  061.89922660  37.61308056  061.89973574
111  37.61264720  061.89979697
111  37.61151589  061.89983872
111  37.61153045  061.90043712
111  37.61154051  061.90085077
111  37.61154148  061.90089068
111  37.61154251  061.90093329
111  37.61154526  061.90104599
111  37.61155489  061.90144231
111  37.61467885  061.90131924
111  37.61462724  061.89875711
