A
1000 Generated by WorldEditor

1    165 1 0 BGSF Kangerlussuaq
100 60.05 1 0 1.00 0 3 0 10  67.00563144 -050.74302141    0  149 3 5 0 1 28  67.01758268 -050.68641121    0   50 3 6 1 1
110 2 0.00 12.0000 New Taxiway 34
111  67.01137044 -050.69507102
111  67.01165691 -050.69380266
111  67.01196100 -050.69425296
111  67.01195840 -050.69426447
113  67.01167453 -050.69552132
110 2 0.00 12.0000 New Taxiway 34
111  67.01083561 -050.69740904
111  67.01120365 -050.69572908
111  67.01134067 -050.69592414
111  67.01137776 -050.69574872
111  67.01148991 -050.69590990
113  67.01108330 -050.69775726
110 2 0.00 12.0000 New Taxiway 34
111  67.01250787 -050.69223516
111  67.01256961 -050.69195330
111  67.01272864 -050.69217516
113  67.01266689 -050.69245703
110 2 0.00 12.0000 New Taxiway 34
111  67.01254905 -050.69205658
111  67.01261079 -050.69177471
111  67.01286015 -050.69211903
113  67.01279841 -050.69240090
110 2 0.00 12.0000 New Taxiway 34
111  67.01242882 -050.69266207
111  67.01249056 -050.69238020
111  67.01273993 -050.69272452
113  67.01267819 -050.69300638
110 2 0.00 12.0000 New Taxiway 34
111  67.01090723 -050.69652236
111  67.01096897 -050.69624050
111  67.01113531 -050.69647937
113  67.01107357 -050.69676123
110 2 0.00 12.0000 New Taxiway 34
111  67.01044424 -050.69816000
111  67.01055345 -050.69764393
111  67.01087564 -050.69809092
113  67.01076642 -050.69860699
110 2 0.00 12.0000 New Taxiway 33
111  67.00951853 -050.70334350
111  67.00963586 -050.70279747
111  67.00992248 -050.70320118
113  67.00980515 -050.70374721
110 2 0.00 12.0000 New Taxiway 33
111  67.00916382 -050.70444136
111  67.00922986 -050.70413224
111  67.00938370 -050.70434767
113  67.00931766 -050.70465678
110 2 0.00 12.0000 New Taxiway 33
111  67.00950284 -050.70519469
111  67.00940419 -050.70505673
111  67.00956742 -050.70429161
113  67.00966607 -050.70442957
110 2 0.00 12.0000 New Taxiway 33
111  67.00958929 -050.70504374
111  67.00960981 -050.70485049
111  67.00967682 -050.70489713
113  67.00965630 -050.70509038
110 2 0.00 12.0000 New Taxiway 33
111  67.00961833 -050.70509892
111  67.00958497 -050.70491778
111  67.00964778 -050.70484195
113  67.00968114 -050.70502309
110 2 0.00 12.0000 New Taxiway 33
111  67.00627602 -050.70903068
111  67.00638638 -050.70851379
111  67.00687907 -050.70920314
113  67.00676872 -050.70972003
110 2 0.00 12.0000 New Taxiway 33
111  67.00606237 -050.71176384
111  67.00614568 -050.71113681
111  67.00633960 -050.71130566
113  67.00625628 -050.71193270
110 2 0.00 12.0000 New Taxiway 33
111  67.00612699 -050.71107299
111  67.00622996 -050.71029807
111  67.00646960 -050.71050675
113  67.00636663 -050.71128167
110 2 0.00 12.0000 New Taxiway 33
111  67.00768396 -050.71800051
111  67.00774738 -050.71769923
111  67.00786572 -050.71786248
113  67.00780230 -050.71816376
110 2 0.00 12.0000 New Taxiway 33
111  67.00787393 -050.71709757
111  67.00793735 -050.71679628
111  67.00805569 -050.71695953
113  67.00799227 -050.71726081
110 2 0.00 12.0000 New Taxiway 33
111  67.00806523 -050.71619631
111  67.00812864 -050.71589503
111  67.00824698 -050.71605828
113  67.00818357 -050.71635956
110 2 0.00 12.0000 New Taxiway 33
111  67.00825320 -050.71529845
111  67.00831661 -050.71499717
111  67.00843496 -050.71516042
113  67.00837154 -050.71546170
110 2 0.00 12.0000 New Taxiway 33
111  67.00844582 -050.71439888
111  67.00850924 -050.71409760
111  67.00862758 -050.71426085
113  67.00856417 -050.71456213
110 2 0.00 12.0000 New Taxiway 33
111  67.00882642 -050.71259802
111  67.00888984 -050.71229674
111  67.00900818 -050.71245999
113  67.00894477 -050.71276127
110 2 0.00 12.0000 New Taxiway 33
111  67.00901838 -050.71169503
111  67.00908180 -050.71139375
111  67.00920014 -050.71155700
113  67.00913673 -050.71185828
110 2 0.00 12.0000 New Taxiway 33
111  67.00920769 -050.71079204
111  67.00927110 -050.71049076
111  67.00938944 -050.71065400
113  67.00932603 -050.71095528
110 2 0.00 12.0000 New Taxiway 33
111  67.00939766 -050.70989243
111  67.00946107 -050.70959115
111  67.00957941 -050.70975440
113  67.00951600 -050.71005568
110 2 0.00 12.0000 New Taxiway 33
111  67.00958829 -050.70899622
111  67.00965170 -050.70869494
111  67.00977004 -050.70885818
113  67.00970663 -050.70915947
110 2 0.00 12.0000 New Taxiway 33
111  67.00860769 -050.70764011
111  67.00867110 -050.70733883
111  67.00878945 -050.70750207
113  67.00872603 -050.70780336
