A
1000 Generated by WorldEditor

1     27 1 0 KOKB Oceanside Muni
100 22.86 1 0 0.25 0 2 1 06  33.21716524 -117.35699523  108    0 2 0 0 0 24  33.21862387 -117.34710700    0    0 2 0 0 1
110 1 0.00 0.0000 New Taxiway 55
112  33.21724162 -117.35214281  33.21723943 -117.35213959
112  33.21724923 -117.35210149  33.21725218 -117.35209904
112  33.21731146 -117.35211880  33.21731416 -117.35212233
112  33.21730367 -117.35215896  33.21730041 -117.35216199
111  33.21730367 -117.35215896
114  33.21730367 -117.35215896  33.21730052 -117.35216150
110 1 0.00 0.0000 New Taxiway 14
111  33.21729363 -117.34911162
111  33.21731445 -117.34899284
111  33.21734571 -117.34899997
111  33.21735908 -117.34891512
111  33.21761172 -117.34896575
111  33.21760867 -117.34899104
111  33.21766806 -117.34900149
113  33.21764046 -117.34917742
110 1 0.00 0.0000 New Taxiway 11
111  33.21690591 -117.35068421
111  33.21692027 -117.35057628
111  33.21746565 -117.35057823
113  33.21745961 -117.35069422
110 1 0.00 0.0000 New Taxiway 11
111  33.21690585 -117.35098127
111  33.21691371 -117.35087334
111  33.21741885 -117.35087607
113  33.21741232 -117.35098740
110 2 0.00 220.0000 New Taxiway 9
111  33.21715984 -117.35564897
112  33.21715553 -117.35565182  33.21715391 -117.35565359
111  33.21715281 -117.35565655
113  33.21715098 -117.35564199
110 2 0.00 220.0000 New Taxiway 6
111  33.21717551 -117.35547450
111  33.21718090 -117.35546273
112  33.21718204 -117.35547188  33.21718427 -117.35547762
113  33.21718665 -117.35547918
110 1 0.00 0.0000 New Taxiway 13
111  33.21717504 -117.34952890
111  33.21718943 -117.34940913
111  33.21722272 -117.34941462
111  33.21723117 -117.34935504
111  33.21760530 -117.34942712
113  33.21757917 -117.34960829
110 1 0.00 0.0000 New Taxiway 12
111  33.21696640 -117.35038537
111  33.21700619 -117.35021341
111  33.21750052 -117.35022805
113  33.21750358 -117.35039818
110 2 0.00 220.0000 New Taxiway 5
111  33.21741927 -117.35162341
112  33.21688254 -117.35128507  33.21678330 -117.35108025
111  33.21671189 -117.35102352
111  33.21753864 -117.34813883
111  33.21766832 -117.34815832
111  33.21774903 -117.34759837
113  33.21793544 -117.34763474
110 2 0.00 220.0000 New Taxiway 4
111  33.21762935 -117.35450136
112  33.21771320 -117.35452106  33.21773115 -117.35452456
112  33.21773648 -117.35454831  33.21773538 -117.35456058
112  33.21771550 -117.35469232  33.21771404 -117.35470064
112  33.21768365 -117.35471269  33.21766240 -117.35470918
113  33.21760252 -117.35469673
110 2 0.00 220.0000 New Taxiway 3
111  33.21783057 -117.34837587
111  33.21793320 -117.34763526
111  33.21800847 -117.34763248
112  33.21806054 -117.34793968  33.21813086 -117.34804419
112  33.21815921 -117.34812515  33.21817479 -117.34816782
113  33.21815367 -117.34827137
110 2 0.00 220.0000 New Taxiway 1
111  33.21706502 -117.35697278
112  33.21696023 -117.35699026  33.21693496 -117.35701358
111  33.21699578 -117.35674326
112  33.21704015 -117.35678575  33.21707739 -117.35679423
113  33.21709346 -117.35677522
110 1 0.35 220.0000 xxx
111  33.21849360 -117.34728808
112  33.21843692 -117.34725543  33.21840543 -117.34726050
112  33.21832300 -117.34735075  33.21829242 -117.34741699
111  33.21822269 -117.34825185
111  33.21815577 -117.34823621
111  33.21811568 -117.34802768
111  33.21799577 -117.34784952
111  33.21800847 -117.34763248
112  33.21807266 -117.34748570  33.21810930 -117.34744191
112  33.21822931 -117.34728707  33.21825716 -117.34725203
112  33.21839985 -117.34711977  33.21843868 -117.34709131
114  33.21852306 -117.34708579  33.21852444 -117.34708685
110 1 0.35 223.4300 xxx
111  33.21849360 -117.34728808
112  33.21843692 -117.34725543  33.21840543 -117.34726050
112  33.21832300 -117.34735075  33.21829242 -117.34741699
111  33.21822269 -117.34825185
111  33.21815543 -117.34823621
111  33.21811558 -117.34802762
111  33.21799577 -117.34784952
111  33.21800847 -117.34763248
112  33.21807266 -117.34748570  33.21810930 -117.34744191
112  33.21822931 -117.34728707  33.21825716 -117.34725203
112  33.21839985 -117.34711977  33.21843868 -117.34709131
114  33.21852306 -117.34708579  33.21852444 -117.34708685
110 2 0.35 170.0000 xxx
111  33.21815662 -117.34957137
112  33.21810186 -117.34951565  33.21807033 -117.34950877
111  33.21803772 -117.34952891
111  33.21806538 -117.34933906
112  33.21812042 -117.34936927  33.21815589 -117.34937794
113  33.21818819 -117.34935404
110 2 0.35 220.0000 xxx
111  33.21655044 -117.35701423
111  33.21785361 -117.34816723
111  33.21822284 -117.34825130
111  33.21694845 -117.35707195
111  33.21698309 -117.35713641
113  33.21652991 -117.35713927
110 2 0.35 80.0000 xxx
111  33.21652974 -117.35713903
111  33.21785361 -117.34816723
111  33.21822284 -117.34825130
111  33.21694772 -117.35707269
113  33.21698191 -117.35713463
110 2 0.35 220.0000 xxx
111  33.21689445 -117.35468316
111  33.21737105 -117.35142588
111  33.21762598 -117.35150469
113  33.21693096 -117.35471707
110 2 0.35 220.0000 xxx
111  33.21704244 -117.35301554
111  33.21737105 -117.35142588
111  33.21762598 -117.35150469
113  33.21713554 -117.35305055
110 1 0.35 220.0000 xxx
111  33.21838958 -117.34802365
112  33.21833315 -117.34788455  33.21826709 -117.34787024
111  33.21823851 -117.34799027
112  33.21826680 -117.34769905  33.21829739 -117.34771707
114  33.21843206 -117.34773562  33.21847329 -117.34771230
110 1 0.35 170.0000 xxx
111  33.21838958 -117.34802365
112  33.21833315 -117.34788455  33.21826709 -117.34787024
111  33.21823851 -117.34799027
112  33.21826680 -117.34769905  33.21829739 -117.34771707
114  33.21843206 -117.34773562  33.21847329 -117.34771230
110 2 0.35 220.0000 xxx
111  33.21766158 -117.35292403
112  33.21761157 -117.35287925  33.21756137 -117.35287408
111  33.21754923 -117.35291235
111  33.21757400 -117.35274149
112  33.21762937 -117.35278665  33.21766640 -117.35279233
113  33.21768481 -117.35276658
110 2 0.35 220.0000 xxx
111  33.21766158 -117.35292403
112  33.21761157 -117.35287925  33.21756137 -117.35287408
111  33.21754923 -117.35291235
