I
1050 Generated by WorldEditor 1.6.0r1

1    398 1 0 EGHC Lands End
100 18.00 1 0 0.00 1 3 0 07  50.10147248 -005.67861211    0    0 1 0 0 1 25  50.10412788 -005.66985004   59    0 1 0 0 0
100 18.00 1 0 0.00 1 3 0 16  50.10598358 -005.67260171  101    0 1 0 0 1 34  50.09943624 -005.66852513    0    0 1 0 0 0
100 17.98 3 0 0.00 0 0 0 12  50.10271077 -005.67532495   62    0 1 0 0 0 30  50.10105493 -005.66910683    0    0 1 0 0 0
100 17.98 3 0 0.00 0 0 0 02  50.10102239 -005.67432078    0    0 1 0 0 0 20  50.10489010 -005.67217656    0    0 1 0 0 0
102 H1  50.10257338 -005.66891291 191.26 15.19 15.30 2 0 0 0.00 1
110 1 0.00 64.7100 New Taxiway 30
111  50.10139909 -005.67855822
111  50.10135691 -005.67852799
111  50.10143561 -005.67825662
112  50.10147858 -005.67815455  50.10149678 -005.67812973
113  50.10154233 -005.67809042
110 1 0.00 158.2300 TURN RWY 16
111  50.10595340 -005.67271838
111  50.10593487 -005.67278672
112  50.10572313 -005.67265107  50.10570551 -005.67263383
113  50.10565984 -005.67253763
110 1 0.00 64.7100 TURN RWY 25
111  50.10420117 -005.66990462
111  50.10424279 -005.66993583
111  50.10415230 -005.67023100
112  50.10411353 -005.67029521  50.10408532 -005.67032453
113  50.10406994 -005.67033533
110 1 0.00 149.8626 New Taxiway 28
111  50.10213909 -005.66796847
111  50.10216658 -005.66797298
111  50.10221479 -005.66784035
111  50.10224895 -005.66787144
111  50.10219051 -005.66801902
111  50.10249791 -005.66832275
111  50.10246716 -005.66840627
111  50.10244348 -005.66838264
111  50.10244673 -005.66837345
111  50.10213661 -005.66807438
113  50.10216026 -005.66800753
110 1 0.00 158.2300 TURN RWY 34
111  50.09946556 -005.66841014
111  50.09948285 -005.66834362
111  50.09966611 -005.66845256
112  50.09971151 -005.66850206  50.09973203 -005.66853537
113  50.09975823 -005.66859086
110 2 0.00 148.0696 Terminal Building
111  50.10258553 -005.66814912
111  50.10251234 -005.66833701
111  50.10249791 -005.66832275
111  50.10219051 -005.66801902
111  50.10224895 -005.66787144
113  50.10226248 -005.66783676
110 1 0.00 147.6335 Fire Station, Airport Offices 
111  50.10218008 -005.66780456
111  50.10220510 -005.66784988
111  50.10216369 -005.66796193
111  50.10213452 -005.66793113
111  50.10212827 -005.66794849
111  50.10198036 -005.66780462
113  50.10203224 -005.66765804
110 1 0.00 144.0773 HANGAR 1
111  50.10144384 -005.66830400
111  50.10136076 -005.66820670
111  50.10120796 -005.66802771
111  50.10135942 -005.66772171
113  50.10158706 -005.66800461
110 1 0.00 143.0226 HANGAR 2
111  50.10159458 -005.66798888
111  50.10136691 -005.66770497
111  50.10149708 -005.66742824
113  50.10173115 -005.66770338
110 3 0.00 2270.0000 TAX B
111  50.10237725 -005.66891945
112  50.10234566 -005.66918629  50.10234326 -005.66925558
112  50.10238287 -005.66935065  50.10240788 -005.66940133
112  50.10247136 -005.66944999  50.10249946 -005.66946980
111  50.10247136 -005.66944999
112  50.10247136 -005.66944999  50.10249434 -005.66946619
112  50.10372090 -005.67020829  50.10404801 -005.67040615
111  50.10372090 -005.67020829
112  50.10372090 -005.67020829  50.10379381 -005.67025239
111  50.10381519 -005.67026678
112  50.10386975 -005.67028668  50.10388771 -005.67028918
111  50.10390768 -005.67029060
111  50.10385838 -005.67045135
112  50.10383547 -005.67039136  50.10382161 -005.67035294
111  50.10378885 -005.67033696
111  50.10370192 -005.67028288
111  50.10244972 -005.66950870
111  50.10212411 -005.66952880
111  50.10172988 -005.66924574
111  50.10186688 -005.66894889
111  50.10231493 -005.66931882
112  50.10229817 -005.66919287  50.10229956 -005.66912877
112  50.10231842 -005.66900649  50.10232073 -005.66898488
112  50.10231898 -005.66891480  50.10231417 -005.66888429
111  50.10230246 -005.66885262
113  50.10234372 -005.66888949
110 2 0.00 234.9451 Main Apron
111  50.10147339 -005.66895942
112  50.10148470 -005.66892904  50.10148733 -005.66891674
111  50.10148789 -005.66889488
111  50.10131625 -005.66868888
111  50.10131168 -005.66869891
111  50.10121443 -005.66859312
111  50.10124209 -005.66853532
111  50.10129007 -005.66858463
111  50.10129877 -005.66856695
111  50.10125156 -005.66851427
111  50.10132443 -005.66836101
111  50.10130072 -005.66833514
111  50.10136076 -005.66820670
111  50.10144384 -005.66830400
111  50.10158706 -005.66800461
111  50.10159458 -005.66798888
111  50.10173115 -005.66770338
111  50.10175738 -005.66764853
111  50.10189074 -005.66771743
111  50.10198036 -005.66780462
111  50.10212827 -005.66794849
111  50.10213909 -005.66796847
111  50.10216026 -005.66800753
111  50.10213661 -005.66807438
111  50.10244673 -005.66837345
111  50.10244348 -005.66838264
111  50.10246716 -005.66840627
111  50.10254821 -005.66848716
111  50.10254077 -005.66850589
111  50.10263439 -005.66861366
111  50.10267002 -005.66866969
111  50.10268172 -005.66867109
111  50.10269897 -005.66873462
111  50.10269298 -005.66874844
111  50.10265131 -005.66904056
112  50.10263192 -005.66910096  50.10261729 -005.66912556
111  50.10260653 -005.66912108
111  50.10237725 -005.66891945
111  50.10234372 -005.66888949
111  50.10230246 -005.66885262
111  50.10187900 -005.66847409
111  50.10182422 -005.66849628
111  50.10177819 -005.66858259
111  50.10166361 -005.66881284
113  50.10155025 -005.66904703
110 1 0.00 233.8600 TAX A
111  50.10119640 -005.66948720
111  50.10123168 -005.66944248
111  50.10134853 -005.66921092
111  50.10147339 -005.66895942
111  50.10155025 -005.66904703
111  50.10142112 -005.66930077
111  50.10135792 -005.66942495
112  50.10133117 -005.66951588  50.10133149 -005.66955439
113  50.10135717 -005.66958606
130 Airport Boundary 48
111  50.10093813 -005.67876201
111  50.10185137 -005.67580251
111  50.10047291 -005.67476152
111  50.10062319 -005.67409469
111  50.10071826 -005.67356058
111  50.10095870 -005.67252431
112  50.10097421 -005.67188960  50.10097909 -005.67163109
111  50.10093992 -005.67135398
111  50.10051004 -005.67014231
111  50.10038989 -005.67011294
111  50.10026973 -005.67008357
111  50.10021785 -005.67003132
111  50.10021466 -005.66992627
111  50.10024320 -005.66973214
111  50.10024000 -005.66958750
111  50.10018064 -005.66948078
111  50.09909289 -005.66887870
111  50.09887741 -005.66863216
111  50.09893671 -005.66828732
111  50.09862705 -005.66804126
111  50.09885088 -005.66695930
111  50.09891338 -005.66682908
111  50.09902682 -005.66682794
111  50.09914150 -005.66664333
111  50.09918421 -005.66634654
111  50.09927818 -005.66532806
111  50.09935076 -005.66497571
111  50.09941914 -005.66492507
111  50.09978984 -005.66523721
111  50.09997948 -005.66663717
111  50.10002705 -005.66690763
111  50.10001041 -005.66764000
111  50.10032982 -005.66831901
111  50.10053198 -005.66838695
111  50.10063594 -005.66828768
111  50.10080855 -005.66852443
111  50.10111410 -005.66862158
111  50.10117578 -005.66833707
111  50.10119480 -005.66802073
111  50.10125362 -005.66758110
111  50.10135476 -005.66734029
111  50.10158230 -005.66717979
111  50.10194315 -005.66732917
111  50.10226217 -005.66771889
111  50.10271840 -005.66816933
111  50.10269660 -005.66847978
111  50.10291213 -005.66919411
111  50.10353136 -005.66973437
111  50.10378887 -005.66906237
111  50.10451028 -005.66966618
111  50.10563577 -005.67076443
112  50.10639688 -005.67159034  50.10644321 -005.67170820
112  50.10631724 -005.67301131  50.10626115 -005.67315198
112  50.10289099 -005.67563181  50.10281783 -005.67567363
111  50.10269028 -005.67596799
111  50.10163465 -005.67943032
111  50.10154241 -005.67941543
113  50.10094261 -005.67889430
120 HOLD A
111  50.10134853 -005.66921092 4
115  50.10142112 -005.66930077
120 HOLD B1
111  50.10370192 -005.67028288 4
115  50.10372090 -005.67020829
120 Linear Feature 11
111  50.10181427 -005.66999652 1
111  50.10136075 -005.66971488 1
112  50.10129024 -005.66959047  50.10126682 -005.66949460 1
115  50.10128673 -005.66944535
120 Linear Feature 27
111  50.10234217 -005.67572584 1
111  50.10257145 -005.67497754 1
112  50.10257140 -005.67484700  50.10256640 -005.67478228
111  50.10257140 -005.67484700
112  50.10257140 -005.67484700  50.10256788 -005.67480148 1
112  50.10255825 -005.67475234  50.10255486 -005.67473655
111  50.10255825 -005.67475234
112  50.10255825 -005.67475234  50.10255682 -005.67474568 1
115  50.10255589 -005.67474215
120 Linear Feature 26
111  50.10287823 -005.67396479 1
111  50.10266073 -005.67467683 1
112  50.10261901 -005.67473910  50.10258377 -005.67477308 1
116  50.10255825 -005.67475234  50.10255471 -005.67474179
120 Linear Feature 25
111  50.10138097 -005.66847973 20
111  50.10137592 -005.66847437 20
115  50.10132746 -005.66857419
120 Linear Feature 24
111  50.10219051 -005.66801902 20
111  50.10188908 -005.66773034 20
111  50.10178966 -005.66767806 20
111  50.10173384 -005.66771757 20
115  50.10131964 -005.66856759
120 Linear Feature 23
111  50.10214243 -005.66818063 20
111  50.10219435 -005.66803845 20
111  50.10188505 -005.66774296 20
111  50.10179041 -005.66769245 20
111  50.10173684 -005.66773046 20
111  50.10167393 -005.66786062 20
111  50.10152637 -005.66816599 20
111  50.10138203 -005.66846467 20
115  50.10138523 -005.66846817
120 Linear Feature 21
111  50.10215026 -005.66818753 20
111  50.10216898 -005.66813616 20
111  50.10232235 -005.66828927 20
115  50.10230787 -005.66832834
120 Linear Feature 20
111  50.10267037 -005.66886417 20
111  50.10269153 -005.66872032 20
111  50.10263806 -005.66863435 20
111  50.10253787 -005.66851160 20
111  50.10245486 -005.66843120 20
111  50.10246265 -005.66840834 20
111  50.10217335 -005.66812514 20
115  50.10219989 -005.66805220
120 Linear Feature 19
111  50.10266170 -005.66886065 20
111  50.10268178 -005.66872249 20
111  50.10263256 -005.66864380 20
111  50.10253611 -005.66852644 20
111  50.10244324 -005.66843542 20
111  50.10245178 -005.66841343 20
111  50.10233056 -005.66829647 20
115  50.10231617 -005.66833751
120 Linear Feature 18
111  50.10211402 -005.66825990 1
115  50.10210525 -005.66828376
120 Linear Feature 18
111  50.10231636 -005.66844270 1
115  50.10230759 -005.66846656
120 Linear Feature 17
112  50.10262253 -005.66879186  50.10257370 -005.66874240 20
112  50.10249415 -005.66884419  50.10247340 -005.66890675 20
112  50.10253297 -005.66903915  50.10258521 -005.66908039 20
114  50.10265450 -005.66898077  50.10267256 -005.66892685 20
120 Linear Feature 17
