A
1000 Generated by Infinite Flight Airport Editing (World Parser)

1       41 0 0 SFDH Dunnose Head
100   29.87   3   0 0.00 0 0 0 07  -51.75446504 -060.42062624    0.00    0.00 1  0 0 0 25  -51.75251192 -060.41290054    0.00    0.00 1  0 0 0
100   29.87   3   0 0.00 0 0 0 11  -51.75265344 -060.41826707    0.00    0.00 1  0 0 0 29  -51.75395330 -060.41344865    0.00    0.00 1  0 0 0
100   29.87   3   0 0.00 0 0 0 02  -51.75063103 -060.41386775    0.00    0.00 1  0 0 0 20  -51.75486726 -060.41696048    0.00    0.00 1  0 0 0
130 DUN BDRY
111 -51.75566459 -060.42101638 
111 -51.75512678 -060.41927944 
111 -51.75598727 -060.41568977 
111 -51.75505507 -060.41285278 
111 -51.75340579 -060.41163693 
111 -51.75164895 -060.41302647 
111 -51.75035821 -060.41238960 
111 -51.74985626 -060.41447392 
111 -51.75132627 -060.41551608 
111 -51.75164895 -060.41887416 
111 -51.75319067 -060.41945313 
113 -51.75401531 -060.42205854 
18  -51.75186408 -060.41719512 1 DUN BCN
19  -51.75189287 -060.41629172 0 WINDSOCK

99
