I
1050 Generated by WorldEditor 2.3.0r2

1    120 0 0 CCZ5 Thorburn
100 12.19 5 0 0.00 0 0 0 05  45.55841656 -062.59742015    0    0 0 0 0 0 23  45.56359414 -062.59378680    0    0 0 0 0 0
110 5 0.00 0.0000 New Taxiway 69
111  45.55857957 -062.59738549
111  45.55850260 -062.59748426
112  45.55850260 -062.59748426  45.55841727 -062.59759020
112  45.55842340 -062.59726441  45.55852547 -062.59719511
111  45.55842340 -062.59726441
113  45.55853483 -062.59725058
110 2 0.00 0.0000 New Taxiway 67
111  45.56362344 -062.59493865
111  45.56348872 -062.59501953
111  45.56343644 -062.59484361
111  45.56346699 -062.59482537
113  45.56357084 -062.59476339
110 2 0.00 0.0000 New Taxiway 66
111  45.56352219 -062.59446233
111  45.56369326 -062.59435220
111  45.56375735 -062.59454551
113  45.56358628 -062.59465564
110 1 0.00 0.0000 New Taxiway 65
111  45.56334050 -062.59404563
112  45.56331758 -062.59414106  45.56332498 -062.59418300
111  45.56331758 -062.59414106
111  45.56339085 -062.59437941
111  45.56351138 -062.59442972
111  45.56352219 -062.59446233
111  45.56358628 -062.59465564
111  45.56361292 -062.59473661
111  45.56357084 -062.59476339
111  45.56346699 -062.59482537
111  45.56327464 -062.59419854
112  45.56327464 -062.59419854  45.56325940 -062.59415276
113  45.56320548 -062.59413163
130 Airport Boundary 68
111  45.55876456 -062.59694076
111  45.55806525 -062.59532141
111  45.55953363 -062.59442530
111  45.55959982 -062.59388688
111  45.55905879 -062.59236615
111  45.56071066 -062.59122353
111  45.56026700 -062.59035456
111  45.56154004 -062.58817955
111  45.56158001 -062.58784560
111  45.56170391 -062.58771430
111  45.56389359 -062.59345845
111  45.56501019 -062.59256236
111  45.56499868 -062.59299807
111  45.56520876 -062.59331869
111  45.56525193 -062.59386538
111  45.56486918 -062.59404626
111  45.56420152 -062.59533282
111  45.56380438 -062.59555889
111  45.56338566 -062.59545065
111  45.56266140 -062.59622819
111  45.56238081 -062.59635150
111  45.56233525 -062.59680705
111  45.56112656 -062.59707764
111  45.56081499 -062.59610251
111  45.56022099 -062.59639984
111  45.55876098 -062.59757325
111  45.55830577 -062.59766443
113  45.55806012 -062.59741865
1300  45.56356853 -062.59455006 -154.70 hangar props Hangar 2
1301 A none 
1300  45.56351220 -062.59481987 112.78 hangar props Hangar 1
1301 A none 
19  45.56317646 -062.59461064 1 New Windsock 37
51 12280 Thornburn Traffic
99
