I
1050 Generated by WorldEditor 2.0.0r4

1      5 0 0 EVRS Spilve
1302 city Riga
1302 country Latvia
1302 datum_lat 56.991944444
1302 datum_lon 24.074444444
1302 icao_code EVRS
1302 region_code EV
1302 state Riga (city)
1302 transition_alt 5000
100 23.00 1 0 0.25 0 0 0 14  56.99574720  024.07001110    0    0 2 0 0 0 32  56.98811390  024.07868890  200  199 2 0 0 0
110 2 0.00 107.0000 New Taxiway 23
111  56.99552917  024.07238700
111  56.99569848  024.07266827
111  56.99568579  024.07284708
111  56.99561435  024.07299068
111  56.99559066  024.07295708
111  56.99546262  024.07319822
111  56.99562847  024.07346530
111  56.99575016  024.07322415
111  56.99573002  024.07318851
111  56.99581377  024.07302811
111  56.99589947  024.07300217
111  56.99611895  024.07336679
111  56.99610262  024.07350816
111  56.99604096  024.07365907
111  56.99616101  024.07385387
111  56.99622266  024.07370295
111  56.99629291  024.07365579
111  56.99650128  024.07400195
112  56.99650050  024.07429872  56.99645483  024.07440352
111  56.99650050  024.07429872
111  56.99624932  024.07482693
111  56.99636663  024.07499688
111  56.99661781  024.07446867
112  56.99661781  024.07446867  56.99667718  024.07438064
111  56.99676561  024.07444108
111  56.99678650  024.07447579
111  56.99688469  024.07425360
111  56.99669180  024.07394549
111  56.99669029  024.07383735
111  56.99681360  024.07359001
111  56.99673568  024.07344792
111  56.99661237  024.07369525
111  56.99654948  024.07371815
111  56.99598278  024.07281291
111  56.99598957  024.07268995
111  56.99608548  024.07247196
111  56.99597453  024.07221012
111  56.99584665  024.07246165
111  56.99577091  024.07247447
113  56.99561955  024.07223271
110 2 0.00 107.0000 New Taxiway 22
111  56.99717030  024.06908277
112  56.99717030  024.06908277  56.99735107  024.06912469
111  56.99742235  024.06940010
111  56.99786953  024.07113640
111  56.99800654  024.07099665
111  56.99789617  024.07052153
112  56.99789617  024.07052153  56.99785050  024.07033288
111  56.99789807  024.07025951
111  56.99798180  024.07020012
112  56.99808456  024.07036083  56.99811500  024.07047262
111  56.99808456  024.07036083
111  56.99829387  024.07118181
111  56.99844230  024.07109098
111  56.99823298  024.07022807
112  56.99781435  024.06981932  56.99748895  024.06976343
111  56.99781435  024.06981932
112  56.99781435  024.06981932  56.99772491  024.06978788
111  56.99766592  024.06966211
111  56.99752511  024.06915904
112  56.99752511  024.06915904  56.99747563  024.06898087
113  56.99749545  024.06883595
110 2 0.00 107.0000 New Taxiway 21
111  56.99416567  024.07359322
111  56.99425908  024.07362617
111  56.99449504  024.07399995
111  56.99450836  024.07411872
111  56.99464918  024.07430386
111  56.99467582  024.07428989
111  56.99470817  024.07431784
111  56.99477857  024.07414667
111  56.99475193  024.07411872
111  56.99475764  024.07405235
111  56.99461112  024.07386721
111  56.99454071  024.07385673
111  56.99435042  024.07350391
113  56.99435885  024.07337330
110 2 0.00 107.0000 New Taxiway 20
111  56.99378472  024.07402335
111  56.99387089  024.07405235
111  56.99427240  024.07500250
111  56.99435232  024.07486976
111  56.99396413  024.07394755
113  56.99397358  024.07381190
110 2 0.00 107.0000 New Taxiway 19
111  56.99345038  024.07440319
111  56.99353598  024.07444359
111  56.99376433  024.07549503
111  56.99386709  024.07541469
111  56.99363303  024.07431434
113  56.99364757  024.07417916
110 2 0.00 107.0000 New Taxiway 18
111  56.99308553  024.07481771
111  56.99316682  024.07489770
111  56.99320869  024.07573606
111  56.99331525  024.07570113
111  56.99326958  024.07473352
113  56.99330715  024.07456592
110 2 0.00 107.0000 New Taxiway 17
111  56.97833024  024.07606398
111  56.97815105  024.07629968
111  56.97825076  024.07655582
113  56.97842995  024.07632012
110 2 0.00 107.0000 New Taxiway 16
111  56.97757512  024.07478577
111  56.97733051  024.07437110
111  56.97720981  024.07461513
113  56.97745531  024.07502393
110 2 0.00 107.0000 New Taxiway 15
111  56.97900496  024.07418215
111  56.97897800  024.07386789
111  56.97864975  024.07396683
113  56.97867353  024.07428399
110 2 0.00 107.0000 New Taxiway 14
111  56.97812252  024.07311271
111  56.97805909  024.07324074
111  56.97820292  024.07348850
113  56.97826635  024.07336047
110 2 0.00 107.0000 New Taxiway 13
111  56.97831646  024.07369548
111  56.97853358  024.07407763
111  56.97860335  024.07394669
113  56.97838623  024.07356453
110 2 0.00 107.0000 New Taxiway 12
111  56.97851260  024.07264208
111  56.97837305  024.07288360
111  56.97852825  024.07319132
113  56.97866780  024.07294981
110 2 0.00 107.0000 New Taxiway 11
111  56.97947909  024.07521225
111  56.97929832  024.07526463
111  56.97932210  024.07556434
113  56.97950288  024.07550906
110 2 0.00 107.0000 New Taxiway 10
111  56.97962340  024.07311423
111  56.97949336  024.07314915
111  56.97957107  024.07410068
113  56.97970585  024.07406285
110 1 0.00 107.0000 asphalt main
111  56.99766447  024.06829269
111  56.99744526  024.06764374
111  56.99738762  024.06770493
112  56.99717299  024.06767906  56.99707975  024.06758124
111  56.99717299  024.06767906
111  56.99694747  024.06791364
112  56.99694747  024.06791364  56.99692083  024.06817565
111  56.99679324  024.06833579
112  56.98475462  024.08205212  56.98463143  024.08219782
111  56.98475462  024.08205212
112  56.98475462  024.08205212  56.98461191  024.08222092
111  56.98432647  024.08215980
111  56.98192724  024.08152537
111  56.98187967  024.08149918
111  56.98114230  024.08076585
111  56.98033833  024.07985795
112  56.98033833  024.07985795  56.98007382  024.07955764
111  56.97996250  024.07916247
111  56.97940115  024.07672107
111  56.97947251  024.07661340
111  56.97945189  024.07621766
111  56.97951057  024.07608963
111  56.97961840  024.07607799
111  56.97971354  024.07596450
111  56.97975319  024.07584520
111  56.97984040  024.07546400
111  56.97984674  024.07535342
111  56.97973503  024.07397608
111  56.97952227  024.07402943
111  56.97945659  024.07321969
111  56.97966935  024.07316634
111  56.97956254  024.07184959
111  56.97973697  024.07181321
111  56.97973110  024.07174082
111  56.97955667  024.07177719
111  56.97948519  024.07177719
111  56.97942652  024.07171608
111  56.97939322  024.07121268
111  56.97879857  024.07132326
111  56.97880967  024.07173064
111  56.97855436  024.07175974
111  56.97850996  024.07110212
112  56.97773594  024.07124537  56.97757701  024.07124537
111  56.97753317  024.07093867
111  56.97744822  024.06905821
111  56.97728107  024.06902805
111  56.97709200  024.07047610
111  56.97683717  024.07038057
111  56.97678784  024.07075263
111  56.97661521  024.07072749
111  56.97655001  024.07122939
111  56.97610927  024.07128932
111  56.97611258  024.07137037
