I
1050 Generated by WorldEditor 2.2.0r2

1   2227 0 0 S83 Shoshone County
1302 gui_label 2D
100 22.86 1 0 0.00 0 2 0 07  47.54713714 -116.19984018    0    0 1 0 0 0 25  47.54747700 -116.17833400  101    0 1 0 0 0
110 2 0.00 0.0000 New Taxiway 41
111  47.54799623 -116.18712320
111  47.54799608 -116.18715985
111  47.54807326 -116.18716271
111  47.54807156 -116.18733478
111  47.54799371 -116.18733432
111  47.54799328 -116.18736725
111  47.54798732 -116.18736672
113  47.54799013 -116.18712361
110 2 0.00 0.0000 New Taxiway 40
111  47.54798734 -116.18742520
111  47.54806888 -116.18742680
111  47.54806631 -116.18760267
113  47.54798459 -116.18760178
110 2 0.00 0.0000 New Taxiway 39
111  47.54799262 -116.18690922
111  47.54813172 -116.18691084
111  47.54813087 -116.18710569
113  47.54799038 -116.18710252
110 2 0.00 0.0000 New Taxiway 38
111  47.54807850 -116.18685960
111  47.54799325 -116.18685479
111  47.54799536 -116.18667210
113  47.54807992 -116.18667825
110 2 0.00 0.0000 New Taxiway 37
111  47.54800836 -116.18631898
111  47.54800777 -116.18635764
111  47.54799902 -116.18635691
111  47.54800600 -116.18575378
111  47.54818177 -116.18575985
111  47.54817836 -116.18608336
111  47.54801045 -116.18607494
111  47.54801047 -116.18612868
111  47.54808786 -116.18613253
113  47.54808546 -116.18632116
110 2 0.00 0.0000 New Taxiway 36
111  47.54801265 -116.18518026
111  47.54810737 -116.18518048
111  47.54810666 -116.18536288
113  47.54801057 -116.18535945
110 2 0.00 0.0000 New Taxiway 35
111  47.54811386 -116.18508831
111  47.54801376 -116.18508466
111  47.54801569 -116.18491731
113  47.54811599 -116.18491707
110 2 0.00 0.0000 New Taxiway 34
111  47.54839616 -116.18470922
111  47.54822707 -116.18471074
112  47.54822707 -116.18471074  47.54817583 -116.18470467
111  47.54815478 -116.18467757
111  47.54815558 -116.18452767
112  47.54822912 -116.18451033  47.54827626 -116.18450729
111  47.54822912 -116.18451033
113  47.54839821 -116.18451185
110 2 0.00 0.0000 New Taxiway 33
111  47.54816456 -116.18760968
111  47.54816602 -116.18744498
111  47.54833623 -116.18744674
113  47.54833504 -116.18761046
110 2 0.00 0.0000 New Taxiway 32
111  47.54796420 -116.18796915
111  47.54797871 -116.18796951
111  47.54806355 -116.18797217
111  47.54806121 -116.18819086
113  47.54796130 -116.18818674
110 2 0.00 0.0000 New Taxiway 31
111  47.54796950 -116.18825650
111  47.54823656 -116.18826224
111  47.54823443 -116.18848787
111  47.54796772 -116.18847926
111  47.54796756 -116.18853222
111  47.54795763 -116.18853243
111  47.54796087 -116.18821904
113  47.54796933 -116.18821923
110 2 0.00 0.0000 New Taxiway 30
111  47.54794028 -116.18971066
111  47.54798198 -116.18971004
111  47.54802606 -116.18970988
111  47.54802568 -116.18976662
111  47.54803783 -116.18976715
111  47.54803712 -116.18985022
111  47.54802512 -116.18985082
111  47.54802482 -116.18989598
113  47.54793868 -116.18989597
110 2 0.00 0.0000 New Taxiway 29
111  47.54790760 -116.18882623
111  47.54790878 -116.18870912
111  47.54810990 -116.18871217
113  47.54810990 -116.18883217
110 2 0.00 0.0000 New Taxiway 28
111  47.54781799 -116.18814024
111  47.54780724 -116.18813972
111  47.54785814 -116.18491102
113  47.54787078 -116.18491153
110 5 0.00 0.0000 New Taxiway 27
111  47.54774925 -116.18490668
111  47.54775517 -116.18450405
111  47.54790037 -116.18450497
112  47.54790037 -116.18450497  47.54797125 -116.18440628
111  47.54806859 -116.18450603
111  47.54815570 -116.18450658
111  47.54815558 -116.18452767
111  47.54815478 -116.18467757
111  47.54815399 -116.18482668
112  47.54815399 -116.18482668  47.54806603 -116.18484946
111  47.54801569 -116.18491731
111  47.54787078 -116.18491153
111  47.54785814 -116.18491102
111  47.54781497 -116.18490965
113  47.54778400 -116.18490867
110 5 0.00 0.0000 New Taxiway 26
112  47.54785501 -116.18910368  47.54791234 -116.18909636
111  47.54785501 -116.18910368
112  47.54783577 -116.18914498  47.54783221 -116.18916712
111  47.54783577 -116.18914498
111  47.54783423 -116.18951701
112  47.54792463 -116.18961789  47.54796306 -116.18963370
111  47.54792463 -116.18961789
111  47.54798127 -116.18961937
111  47.54798198 -116.18971004
111  47.54794028 -116.18971066
111  47.54780826 -116.18969999
112  47.54780826 -116.18969999  47.54774599 -116.18967363
111  47.54774535 -116.18961461
113  47.54775091 -116.18919388
110 1 0.00 0.0000 New Taxiway 25
111  47.54798293 -116.18774499
111  47.54813538 -116.18774099
112  47.54813538 -116.18774099  47.54815673 -116.18773748
111  47.54816295 -116.18769860
111  47.54816456 -116.18760968
111  47.54833504 -116.18761046
111  47.54835704 -116.18761056
111  47.54836212 -116.18803740
111  47.54811015 -116.18802300
111  47.54811021 -116.18783283
111  47.54798033 -116.18784275
111  47.54797871 -116.18796951
111  47.54796420 -116.18796915
111  47.54796130 -116.18818674
111  47.54796087 -116.18821904
111  47.54795763 -116.18853243
111  47.54796756 -116.18853222
111  47.54796772 -116.18847926
111  47.54823443 -116.18848787
111  47.54831159 -116.18848937
111  47.54826491 -116.18856663
111  47.54830206 -116.18865564
112  47.54823222 -116.18873293  47.54820734 -116.18875115
111  47.54823222 -116.18873293
111  47.54822912 -116.18902967
111  47.54814479 -116.18902836
111  47.54814435 -116.18911406
111  47.54785501 -116.18910368
112  47.54785501 -116.18910368  47.54779769 -116.18911101
111  47.54775091 -116.18919388
111  47.54774535 -116.18961461
112  47.54780826 -116.18969999  47.54787053 -116.18972634
111  47.54780826 -116.18969999
111  47.54794028 -116.18971066
111  47.54793868 -116.18989597
111  47.54793853 -116.18991383
111  47.54819981 -116.18991979
111  47.54819845 -116.19000303
111  47.54819473 -116.19028705
111  47.54772933 -116.19026597
111  47.54769645 -116.19026448
111  47.54766524 -116.19026374
111  47.54768492 -116.18892597
112  47.54768492 -116.18892597  47.54767918 -116.18889021
112  47.54764524 -116.18883186  47.54762648 -116.18880511
111  47.54764524 -116.18883186
112  47.54764524 -116.18883186  47.54761633 -116.18879064
112  47.54755426 -116.18874535  47.54752964 -116.18872976
111  47.54755426 -116.18874535
111  47.54748875 -116.18874422
112  47.54748875 -116.18874422  47.54745306 -116.18877024
112  47.54740315 -116.18890882  47.54738169 -116.18899584
111  47.54740315 -116.18890882
111  47.54740909 -116.18847061
112  47.54740909 -116.18847061  47.54743603 -116.18854912
112  47.54748996 -116.18862417  47.54751659 -116.18865050
111  47.54748996 -116.18862417
111  47.54755645 -116.18862600
112  47.54755645 -116.18862600  47.54759725 -116.18861652
112  47.54764888 -116.18854386  47.54767139 -116.18850851
111  47.54764888 -116.18854386
112  47.54764888 -116.18854386  47.54767133 -116.18850237
112  47.54769724 -116.18840541  47.54770837 -116.18835925
111  47.54769724 -116.18840541
111  47.54773186 -116.18602194
112  47.54773186 -116.18602194  47.54772541 -116.18596975
112  47.54769174 -116.18589109  47.54767252 -116.18585650
111  47.54769174 -116.18589109
112  47.54769174 -116.18589109  47.54762261 -116.18576665
112  47.54745044 -116.18594789  47.54740901 -116.18613104
111  47.54745044 -116.18594789
111  47.54745708 -116.18552613
