I
1050 Generated by WorldEditor 1.7.0r3

1   2033 0 0 KICR Winner Regl
100 23.00 2 0 0.25 0 2 0 13  43.39409923 -099.84731685    0    0 2 0 0 1 31  43.38537332 -099.83533122    0    0 2 0 0 1
100 46.00 3 0 0.25 0 0 0 03  43.38810950 -099.84671138    0    0 0 0 0 0 21  43.39411001 -099.84040486    0    0 0 0 0 0
110 2 0.00 0.0000 New Taxiway 3
111  43.38562088 -099.83578147
111  43.38556521 -099.83585154
111  43.38549189 -099.83575281
111  43.38546638 -099.83578617
111  43.38544261 -099.83575028
111  43.38541880 -099.83578797
111  43.38539482 -099.83575253
111  43.38531955 -099.83585145
111  43.38529411 -099.83581612
111  43.38513712 -099.83603702
111  43.38501666 -099.83620651
111  43.38487237 -099.83600712
111  43.38499301 -099.83584160
111  43.38529819 -099.83542287
113  43.38555847 -099.83547796
110 2 0.00 0.0000 New Taxiway 2
111  43.39402742 -099.84741499
111  43.39372392 -099.84783641
111  43.39360402 -099.84800290
111  43.39345910 -099.84780734
111  43.39357915 -099.84764056
111  43.39373805 -099.84741979
111  43.39371620 -099.84738357
111  43.39378800 -099.84728999
111  43.39376375 -099.84725204
111  43.39378607 -099.84722200
111  43.39376526 -099.84718928
111  43.39378686 -099.84715520
111  43.39371375 -099.84705393
111  43.39375488 -099.84699345
113  43.39406492 -099.84722077
110 1 0.00 0.0000 New Taxiway 4
111  43.38774118 -099.84466580
111  43.38773984 -099.84486249
111  43.38709958 -099.84485364
113  43.38710250 -099.84465716
110 2 0.00 0.0000 New Taxiway 1
111  43.38807991 -099.84410928
111  43.38807141 -099.84467027
111  43.38774118 -099.84466580
111  43.38710250 -099.84465716
111  43.38708110 -099.84465687
111  43.38709411 -099.84408107
111  43.38763509 -099.84409750
111  43.38766163 -099.84404253
111  43.38768958 -099.84406099
111  43.38770956 -099.84400288
111  43.38772525 -099.84400799
111  43.38773425 -099.84398530
111  43.38774843 -099.84399174
111  43.38825984 -099.84260010
111  43.38823245 -099.84257301
111  43.38826811 -099.84248193
111  43.38823930 -099.84244817
111  43.38825625 -099.84241477
111  43.38811257 -099.84221858
111  43.38783053 -099.84183346
111  43.38760132 -099.84152047
111  43.38788616 -099.84112053
111  43.38842774 -099.84185889
111  43.38844844 -099.84182877
111  43.38849755 -099.84189552
111  43.38853423 -099.84184098
111  43.38856011 -099.84187264
111  43.38859627 -099.84182006
111  43.38862256 -099.84185681
111  43.38900229 -099.84132691
111  43.38916221 -099.84110374
111  43.38914098 -099.84107123
111  43.38921630 -099.84096853
111  43.38919302 -099.84093649
111  43.38921356 -099.84091152
111  43.38918956 -099.84087550
111  43.38921314 -099.84084305
111  43.38915046 -099.84075729
111  43.38922011 -099.84066652
111  43.38953419 -099.84116662
111  43.38949126 -099.84122138
111  43.38942931 -099.84113730
111  43.38940534 -099.84117264
111  43.38937028 -099.84112373
111  43.38935080 -099.84115440
111  43.38932739 -099.84112409
111  43.38925352 -099.84122962
111  43.38922821 -099.84119781
111  43.38906901 -099.84141628
111  43.38858789 -099.84207652
111  43.38861642 -099.84211480
111  43.38847039 -099.84231107
111  43.38849131 -099.84234771
111  43.38844331 -099.84240817
