I
1050 Generated by WorldEditor 2.1.0r1

1   1237 0 0 KVIQ Neillsville Muni
100 18.29 1 0 0.25 0 1 0 10  44.55859315 -090.51876113    0    0 1 0 0 0 28  44.55767182 -090.50576541    0    0 1 0 0 0
110 2 0.00 0.0000 New Taxiway 1
111  44.55577343 -090.51556372
111  44.55579028 -090.51555531
111  44.55578520 -090.51553805
111  44.55590043 -090.51547854
111  44.55590481 -090.51549439
111  44.55592758 -090.51548281
111  44.55599956 -090.51572506
113  44.55584213 -090.51581001
110 3 0.00 0.0000 New Taxiway 6
111  44.55506745 -090.51705162
111  44.55498398 -090.51705185
111  44.55498456 -090.51687843
113  44.55506556 -090.51688030
110 2 0.00 0.0000 New Taxiway 5
111  44.55522745 -090.51704897
111  44.55506745 -090.51705162
111  44.55506556 -090.51688030
113  44.55522859 -090.51687178
110 3 0.00 0.0000 New Taxiway 4
111  44.55498529 -090.51666491
111  44.55506666 -090.51666576
111  44.55506657 -090.51681796
113  44.55498477 -090.51681908
110 2 0.00 0.0000 New Taxiway 3
111  44.55516309 -090.51683099
111  44.55506656 -090.51683137
111  44.55506657 -090.51681796
111  44.55506666 -090.51666576
113  44.55516084 -090.51666257
110 3 0.00 0.0000 New Taxiway 2
111  44.55506754 -090.51634716
111  44.55498490 -090.51634900
111  44.55498454 -090.51619166
113  44.55506905 -090.51619233
110 2 0.00 0.0000 New Taxiway 1
111  44.55518204 -090.51634716
111  44.55506754 -090.51634716
111  44.55506905 -090.51619233
113  44.55518242 -090.51619073
110 2 0.00 0.0000 New Taxiway
111  44.55534862 -090.51646779
111  44.55543099 -090.51646928
111  44.55543059 -090.51639773
111  44.55555745 -090.51639761
111  44.55555781 -090.51657583
111  44.55543252 -090.51657559
111  44.55543207 -090.51652237
113  44.55534827 -090.51652288
110 2 0.00 0.0000 New Taxiway 8
111  44.55506014 -090.51596228
111  44.55509815 -090.51596233
111  44.55509857 -090.51601110
111  44.55513657 -090.51601047
111  44.55513652 -090.51607228
111  44.55509879 -090.51607146
111  44.55509858 -090.51611916
111  44.55506107 -090.51611890
111  44.55506078 -090.51608303
113  44.55506023 -090.51603733
110 2 0.00 0.0000 New Taxiway 7
111  44.55498520 -090.51647608
111  44.55499542 -090.51649379
111  44.55506417 -090.51649652
111  44.55506381 -090.51642553
111  44.55520100 -090.51642417
111  44.55520107 -090.51659788
111  44.55506144 -090.51659787
111  44.55506181 -090.51654735
111  44.55499672 -090.51654885
113  44.55498563 -090.51656269
110 2 0.00 0.0000 New Taxiway 6
111  44.55484789 -090.51646396
111  44.55484824 -090.51650889
111  44.55472724 -090.51650752
111  44.55472756 -090.51630116
111  44.55484889 -090.51630154
113  44.55484790 -090.51638282
110 2 0.00 0.0000 New Taxiway 5
111  44.55492958 -090.51618083
111  44.55484814 -090.51617980
111  44.55484712 -090.51624188
111  44.55469102 -090.51624055
111  44.55469173 -090.51604436
111  44.55484805 -090.51604670
111  44.55484778 -090.51613771
113  44.55493008 -090.51613599
110 2 0.00 0.0000 New Taxiway 4
111  44.55556445 -090.51634379
111  44.55541341 -090.51634579
111  44.55541326 -090.51630888
111  44.55541337 -090.51625223
111  44.55541310 -090.51617233
113  44.55556445 -090.51617178
110 2 0.00 0.0000 New Taxiway 3
111  44.55543395 -090.51574514
111  44.55556469 -090.51574460
111  44.55556547 -090.51592480
111  44.55543403 -090.51592534
111  44.55543187 -090.51588427
113  44.55543281 -090.51582421
110 2 0.00 0.0000 New Taxiway 2
111  44.55534712 -090.51669827
111  44.55542902 -090.51669894
111  44.55543127 -090.51662910
111  44.55555737 -090.51663163
111  44.55555786 -090.51679929
111  44.55543019 -090.51679708
111  44.55543082 -090.51674950
113  44.55534651 -090.51674668
110 1 0.00 0.0000 New Taxiway 2
111  44.55854340 -090.51876898
111  44.55816020 -090.51880816
111  44.55814696 -090.51861319
111  44.55840281 -090.51843212
112  44.55840281 -090.51843212  44.55846322 -090.51838511
111  44.55846228 -090.51826260
113  44.55848903 -090.51825696
110 1 0.00 0.0000 New Taxiway 3
111  44.55763843 -090.50634038
112  44.55763843 -090.50634038  44.55762230 -090.50615052
111  44.55754593 -090.50613075
111  44.55725455 -090.50601177
111  44.55724412 -090.50582980
111  44.55763286 -090.50577066
113  44.55767793 -090.50633430
110 2 0.00 0.0000 New Taxiway 2
111  44.55610061 -090.51515150
111  44.55612237 -090.51514137
111  44.55611625 -090.51511763
111  44.55625349 -090.51504341
111  44.55632264 -090.51529661
113  44.55616568 -090.51538615
110 1 0.00 0.0000 New Taxiway 4
111  44.55492903 -090.51574464
112  44.55492903 -090.51574464  44.55492973 -090.51562274
111  44.55499914 -090.51557196
111  44.55547344 -090.51530790
111  44.55553712 -090.51526933
111  44.55561579 -090.51522170
111  44.55560573 -090.51518936
111  44.55558827 -090.51520046
111  44.55555131 -090.51507481
111  44.55564726 -090.51502536
111  44.55569155 -090.51515628
111  44.55570450 -090.51513647
112  44.55570450 -090.51513647  44.55574264 -090.51507568
111  44.55572260 -090.51497366
111  44.55552334 -090.51428411
111  44.55764589 -090.51306735
111  44.55798380 -090.51287102
112  44.55798380 -090.51287102  44.55808842 -090.51278552
111  44.55807456 -090.51256335
111  44.55810483 -090.51255485
111  44.55817083 -090.51340239
111  44.55814905 -090.51340477
112  44.55814905 -090.51340477  44.55808467 -090.51298610
111  44.55786099 -090.51306714
111  44.55767881 -090.51317172
111  44.55573821 -090.51428553
112  44.55573821 -090.51428553  44.55568406 -090.51432111
