I
1050 Generated by WorldEditor 2.1.0r1

1    442 1 0 YPTN Tindal (Military)
1302 city 
1302 country Australia
1302 datum_lat -14.521111111
1302 datum_lon 132.377777778
1302 faa_code 
1302 iata_code KTR
1302 icao_code YPTN
1302 region_code YB
1302 state Northern Territory
1302 transition_alt 10000
1302 transition_level 11000
100 45.11 1 0 0.00 0 3 0 14 -14.51219877  132.36885845    0    0 3 1 0 0 32 -14.53087231  132.38557651    0    0 3 0 0 0
102 H1 -14.52064711  132.38461832 359.07 11.90 11.90 15 0 0 0.00 0
102 H2 -14.52032218  132.38417215   0.00 11.90 11.90 15 0 0 0.00 0
110 2 0.00 84.0000 New Taxiway 32
111 -14.51072596  132.38549167
111 -14.51070849  132.38555495
111 -14.51069848  132.38555173
111 -14.51078452  132.38523393
111 -14.51079529  132.38523716
111 -14.51083411  132.38524879
111 -14.51100677  132.38530052
111 -14.51104885  132.38531313
111 -14.51098084  132.38556583
111 -14.51096015  132.38555981
111 -14.51093851  132.38555351
113 -14.51076496  132.38550302
110 2 0.00 84.0000 New Taxiway 32
111 -14.51146628  132.38709531
111 -14.51151938  132.38713165
111 -14.51151338  132.38714054
111 -14.51124620  132.38695964
111 -14.51125243  132.38695001
111 -14.51127504  132.38691511
111 -14.51137541  132.38676022
111 -14.51139928  132.38672338
111 -14.51161186  132.38686682
111 -14.51158471  132.38690944
113 -14.51148714  132.38706256
110 2 0.00 84.0000 New Taxiway 32
111 -14.51303761  132.38662456
111 -14.51305428  132.38664388
111 -14.51302170  132.38667123
111 -14.51304029  132.38669501
111 -14.51315166  132.38683747
111 -14.51317237  132.38686396
111 -14.51322202  132.38682274
111 -14.51322840  132.38683135
111 -14.51298036  132.38703933
111 -14.51297338  132.38703027
111 -14.51295034  132.38700045
111 -14.51283772  132.38685475
111 -14.51282195  132.38683433
113 -14.51280897  132.38681689
110 2 0.00 84.0000 New Taxiway 32
111 -14.51322943  132.38516471
111 -14.51325247  132.38515453
111 -14.51326721  132.38519514
111 -14.51328850  132.38518697
111 -14.51345417  132.38512344
111 -14.51349202  132.38510892
111 -14.51347000  132.38504718
111 -14.51347993  132.38504367
111 -14.51359188  132.38535275
111 -14.51358120  132.38535677
111 -14.51354437  132.38537058
111 -14.51337523  132.38543404
113 -14.51333319  132.38544981
110 2 0.00 84.0000 New Taxiway 32
111 -14.51194905  132.38453647
111 -14.51194842  132.38452087
111 -14.51199394  132.38451910
111 -14.51199272  132.38448796
111 -14.51198560  132.38430505
111 -14.51198430  132.38427162
111 -14.51191681  132.38427369
111 -14.51191600  132.38425286
111 -14.51223521  132.38423957
111 -14.51223693  132.38429568
111 -14.51224261  132.38448031
113 -14.51224395  132.38452405
110 2 0.00 84.0000 New Taxiway 32
111 -14.51187553  132.38304629
111 -14.51187499  132.38303068
111 -14.51192051  132.38302918
111 -14.51191224  132.38278164
111 -14.51191155  132.38276082
111 -14.51216333  132.38275108
111 -14.51216985  132.38301953
111 -14.51221081  132.38301809
113 -14.51221101  132.38303414
110 2 0.00 84.0000 New Taxiway 32
111 -14.51055238  132.38189284
111 -14.51056652  132.38188731
111 -14.51058248  132.38193138
111 -14.51061143  132.38192010
111 -14.51078113  132.38185402
111 -14.51082572  132.38183665
111 -14.51091529  132.38207991
111 -14.51086849  132.38209689
111 -14.51069930  132.38216071
111 -14.51066612  132.38217312
111 -14.51068163  132.38221340
113 -14.51067097  132.38221722
110 2 0.00 84.0000 New Taxiway 32
111 -14.51121573  132.38022282
111 -14.51122263  132.38023037
111 -14.51118691  132.38025955
111 -14.51120851  132.38028763
111 -14.51132056  132.38043322
111 -14.51134867  132.38046975
111 -14.51115189  132.38063230
111 -14.51112382  132.38059582
111 -14.51101204  132.38045055
111 -14.51099092  132.38042310
111 -14.51095855  132.38045068
113 -14.51095145  132.38044038
110 2 0.00 84.0000 New Taxiway 32
