I
1050 Generated by WorldEditor 2.2.0r2

1   1171 1 0 NZQN Queenstown
100 45.11 1 0 0.25 1 3 1 05 -45.02012844  168.73491420   63    0 3 1 1 2 23 -45.01644803  168.75835270   54    0 3 1 1 2
100 10.06 1 0 0.25 0 0 0 14 -45.01719417  168.74088376   70    0 1 0 0 0 32 -45.02477015  168.74453116  100    0 1 0 0 0
110 3 0.00 0.0000 New Taxiway 33
111 -45.02406723  168.74120029
111 -45.02425463  168.74129384
111 -45.02435720  168.74134326
111 -45.02432686  168.74147763
111 -45.02450230  168.74155957
111 -45.02454220  168.74139245
111 -45.02454907  168.74139428
111 -45.02455745  168.74135748
111 -45.02460562  168.74138415
111 -45.02456771  168.74153980
111 -45.02471806  168.74161586
111 -45.02447919  168.74260352
111 -45.02426444  168.74249301
111 -45.02396575  168.74234057
113 -45.02385787  168.74228523
110 2 0.00 0.0000 New Taxiway 32
111 -45.02431622  168.74102449
111 -45.02460393  168.74115343
111 -45.02455745  168.74135748
111 -45.02454907  168.74139428
111 -45.02454220  168.74139245
111 -45.02450230  168.74155957
111 -45.02432686  168.74147763
111 -45.02435720  168.74134326
113 -45.02425463  168.74129384
110 2 0.00 0.0000 New Taxiway 29
111 -45.02303794  168.74077904
111 -45.02307366  168.74088170
111 -45.02299076  168.74093973
113 -45.02295451  168.74083524
110 2 0.00 0.0000 New Taxiway 20
111 -45.02278269  168.74128129
111 -45.02281660  168.74129881
111 -45.02276815  168.74148998
111 -45.02280709  168.74150836
111 -45.02279444  168.74155863
111 -45.02268432  168.74150509
111 -45.02269759  168.74145505
113 -45.02273576  168.74147297
110 2 0.00 0.0000 New Taxiway 19
111 -45.02240809  168.74112529
111 -45.02243985  168.74114205
111 -45.02239256  168.74133500
111 -45.02242445  168.74135005
111 -45.02241315  168.74139644
111 -45.02231121  168.74134664
111 -45.02232186  168.74129844
113 -45.02235964  168.74131647
110 2 0.00 0.0000 New Taxiway 18
111 -45.02164619  168.74079873
111 -45.02168225  168.74081732
