I
1050 Generated by WorldEditor 2.1.0r1

1    333 1 0 LIPL Ghedi Airbase
1302 city Ghedi
1302 country Italy
1302 datum_lat 45.432167
1302 datum_lon 10.267667
1302 icao_code LIPL
1302 region_code LI
1302 state Lombardy
1302 transition_alt 6000
100 45.00 1 0 0.25 1 3 1 13  45.44164700  010.25420600  248    0 3 0 0 0 31  45.42268600  010.28112800  248    0 3 2 1 0
110 1 0.00 84.0000 Asphalt N on top of concrete
111  45.43202212  010.28421353
111  45.43206727  010.28421849
111  45.43208326  010.28421545
111  45.43252666  010.28458454
111  45.43254051  010.28470605
111  45.43252187  010.28479036
111  45.43264777  010.28485002
111  45.43266096  010.28480325
111  45.43272171  010.28484730
111  45.43273462  010.28486779
111  45.43276804  010.28492080
111  45.43280026  010.28497192
111  45.43283448  010.28502621
111  45.43286623  010.28507658
111  45.43289983  010.28512988
111  45.43293205  010.28518100
111  45.43296550  010.28523408
111  45.43299707  010.28528416
111  45.43302987  010.28533620
111  45.43306256  010.28538806
111  45.43309606  010.28544120
111  45.43312951  010.28549428
111  45.43316137  010.28554482
111  45.43319388  010.28559640
111  45.43322690  010.28564878
111  45.43325970  010.28570082
111  45.43329286  010.28575344
111  45.43332566  010.28580548
111  45.43337249  010.28587976
111  45.43347103  010.28575316
111  45.43341630  010.28566623
111  45.43340116  010.28564219
111  45.43338617  010.28561838
111  45.43337100  010.28559428
111  45.43335685  010.28557180
111  45.43334091  010.28554650
111  45.43332574  010.28552240
111  45.43331126  010.28549940
111  45.43329627  010.28547559
111  45.43328066  010.28545080
111  45.43326632  010.28542803
111  45.43325133  010.28540422
111  45.43323700  010.28538145
111  45.43322168  010.28535712
111  45.43320720  010.28533412
111  45.43319173  010.28530957
111  45.43317707  010.28528628
111  45.43316146  010.28526149
111  45.43314662  010.28523791
111  45.43313163  010.28521410
111  45.43311602  010.28518931
111  45.43310150  010.28516625
111  45.43308745  010.28514394
111  45.43307214  010.28511961
111  45.43305685  010.28509535
111  45.43304219  010.28507206
111  45.43302673  010.28504750
111  45.43301272  010.28502525
111  45.43299740  010.28500092
111  45.43298259  010.28497740
111  45.43296684  010.28495238
111  45.43295368  010.28493147
111  45.43296434  010.28492008
111  45.43335651  010.28553476
112  45.43335651  010.28553476  45.43337698  010.28556574
111  45.43343070  010.28558397
111  45.43342510  010.28564565
111  45.43344993  010.28565076
111  45.43347243  010.28565538
111  45.43349479  010.28565998
111  45.43351827  010.28566481
