I
1050 Generated by WorldEditor 2.1.0r1

1   2811 1 0 UELL Neryungri Chulman
1302 city Neryungri
1302 country Russia
1302 datum_lat 56.9138889
1302 datum_lon 124.9138889
1302 iata_code NER
1302 icao_code UELL
1302 region_code UE
1302 state Sakha Republic
100 45.00 2 0 0.00 0 2 0 08  56.90811517  124.88629489    0    0 3 7 0 0 26  56.91969435  124.94155200    0    0 3 0 0 0
110 1 0.00 0.0000 New Taxiway 11
111  56.90631793  124.90344718
111  56.90612407  124.90344228
111  56.90488093  124.90431211
111  56.90504536  124.90422777
111  56.90607452  124.90351309
112  56.90607452  124.90351309  56.90614573  124.90347767
111  56.90621213  124.90347633
111  56.90653625  124.90351025
111  56.91105533  124.90348328
112  56.91105533  124.90348328  56.91133570  124.90353561
111  56.91148344  124.90387414
111  56.91171694  124.90453013
111  56.91164518  124.90418716
111  56.91146959  124.90360344
111  56.91139896  124.90347975
111  56.91106115  124.90333791
111  56.91057340  124.90334015
113  56.90643598  124.90335913
110 1 0.00 0.0000 New Taxiway 10
111  56.90569719  124.89930702
111  56.90576602  124.89964924
111  56.90579142  124.89963696
112  56.90579142  124.89963696  56.90591752  124.89994023
111  56.90598539  124.90037991
111  56.90602678  124.90103699
111  56.90597515  124.90125004
111  56.90520055  124.90178813
111  56.90522790  124.90191983
111  56.90480591  124.90220005
111  56.90476184  124.90197128
111  56.90458084  124.90209967
111  56.90460882  124.90224809
111  56.90445164  124.90233859
111  56.90447109  124.90243811
111  56.90345836  124.90314830
111  56.90339761  124.90284706
111  56.90327250  124.90292967
111  56.90337515  124.90359750
111  56.90340216  124.90372804
111  56.90474401  124.90279818
111  56.90472100  124.90268477
111  56.90597368  124.90180459
111  56.90599004  124.90173579
111  56.90622559  124.90074546
111  56.90577949  124.89862593
114  56.90577949  124.89862593  56.90574433  124.89872093
110 1 0.00 0.0000 New Taxiway 9
111  56.90676359  124.89844367
111  56.90665247  124.89846195
111  56.90667011  124.89854715
111  56.90684510  124.89863198
111  56.90706208  124.89965676
111  56.90722181  124.89954046
111  56.90751320  124.90090725
111  56.90756737  124.90092523
111  56.90765285  124.90124836
111  56.90783930  124.90107045
111  56.90723638  124.89803605
111  56.90683771  124.89833473
113  56.90675284  124.89833608
110 4 0.00 0.0000 New Taxiway 8
112  56.90778184  124.88753315  56.90791857  124.88755652
111  56.90778184  124.88753315
111  56.90785951  124.88753205
111  56.90769722  124.88675695
111  56.90746520  124.88694121
112  56.90746520  124.88694121  56.90736493  124.88699407
112  56.90713288  124.88702957  56.90701742  124.88708800
111  56.90713288  124.88702957
111  56.90637187  124.88760736
112  56.90637187  124.88760736  56.90613032  124.88788884
111  56.90606865  124.88844419
111  56.90574721  124.89353185
112  56.90574721  124.89353185  56.90571015  124.89415764
112  56.90577949  124.89862593  56.90594576  124.90014839
111  56.90577949  124.89862593
111  56.90593939  124.89851245
111  56.90598024  124.89870433
111  56.90604444  124.89865751
111  56.90606602  124.89876109
111  56.90632050  124.89858559
111  56.90638129  124.89854140
111  56.90663274  124.89836668
111  56.90665247  124.89846195
111  56.90676359  124.89844367
111  56.90675284  124.89833608
112  56.90675284  124.89833608  56.90670009  124.89831483
111  56.90663597  124.89820227
112  56.90663597  124.89820227  56.90640758  124.89648106
111  56.90638390  124.89493165
111  56.90645246  124.89380712
111  56.90627140  124.89377981
111  56.90613057  124.89418846
112  56.90613057  124.89418846  56.90602423  124.89438879
112  56.90592590  124.89399093  56.90600946  124.89376278
111  56.90592590  124.89399093
