I
1050 Generated by WorldEditor 2.0.0r4

1   1082 0 0 48Y Piney Pinecreek Border
100 22.86 1 0 0.00 0 0 0 15  49.00296497 -095.98534065    0    0 1 0 0 0 33  48.99499925 -095.97885682    0    0 1 0 0 0
110 2 0.00 0.0000 New Taxiway 4
111  48.99953055 -095.97930332
111  48.99953359 -095.97946043
111  48.99942513 -095.97946582
113  48.99942352 -095.97930671
110 1 0.00 0.0000 New Taxiway 3
111  48.99854988 -095.98157440
112  48.99872075 -095.98151109  48.99878850 -095.98138390
111  48.99872075 -095.98151109
111  48.99877726 -095.98135182
111  48.99914629 -095.98031180
112  48.99904732 -095.98010018  48.99893923 -095.98003273
111  48.99904732 -095.98010018
111  48.99871402 -095.98011425
111  48.99869863 -095.97935286
111  48.99942352 -095.97930671
111  48.99942513 -095.97946582
111  48.99953359 -095.97946043
111  48.99953055 -095.97930332
111  48.99960227 -095.97930626
111  48.99960893 -095.97970102
112  48.99960893 -095.97970102  48.99963286 -095.97982306
111  48.99969385 -095.97984464
111  49.00010680 -095.97969265
112  49.00017295 -095.97956452  49.00018061 -095.97948721
111  49.00017295 -095.97956452
111  49.00017157 -095.97939718
111  49.00025655 -095.97939578
111  49.00025348 -095.97928682
111  49.00082943 -095.97925700
111  49.00083908 -095.97980468
111  49.00019214 -095.97982975
112  49.00014466 -095.97984292  49.00011301 -095.97985397
111  49.00014466 -095.97984292
111  48.99939232 -095.98010256
112  48.99939232 -095.98010256  48.99933151 -095.98013012
111  48.99929530 -095.98021376
111  48.99886245 -095.98142600
111  48.99880559 -095.98158523
112  48.99880559 -095.98158523  48.99877990 -095.98175840
113  48.99887519 -095.98184791
110 1 0.00 0.0000 New Taxiway 2
111  49.00270924 -095.98496139
111  49.00289761 -095.98487248
111  49.00307846 -095.98501651
113  49.00301218 -095.98520570
110 1 0.00 0.0000 New Taxiway 1
111  48.99504708 -095.97872045
111  48.99511426 -095.97853551
111  48.99528579 -095.97868203
113  48.99534767 -095.97897131
130 Airport Boundary 1
111  49.00258659 -095.98449932
111  49.00297489 -095.98450732
111  49.00371214 -095.98530317
111  49.00341567 -095.98618301
111  48.99279628 -095.97759317
111  48.99277223 -095.97646692
111  48.99686369 -095.97976914
111  48.99704407 -095.97876111
111  49.00107038 -095.97899387
111  49.00106309 -095.97996411
111  48.99989811 -095.98010574
113  48.99987687 -095.98232027
120 Linear Feature 11
111  48.99877726 -095.98135182 4
115  48.99886245 -095.98142600
120 Linear Feature 10
111  48.99931350 -095.97980525 1
115  48.99931311 -095.97973438
120 Linear Feature 10
111  48.99906591 -095.97981645 1
115  48.99906552 -095.97974558
120 Linear Feature 10
111  48.99918748 -095.97981087 1
115  48.99918709 -095.97974000
120 Linear Feature 10
111  48.99893988 -095.97982207 1
115  48.99893950 -095.97975120
120 Linear Feature 9
111  48.99934720 -095.97973389 1
111  48.99931311 -095.97973438 1
115  48.99927935 -095.97973486
120 Linear Feature 9
111  48.99909961 -095.97974509 1
111  48.99906552 -095.97974558 1
115  48.99903176 -095.97974607
120 Linear Feature 9
111  48.99922118 -095.97973951 1
111  48.99918709 -095.97974000 1
115  48.99915333 -095.97974048
120 Linear Feature 9
111  48.99897359 -095.97975071 1
111  48.99893950 -095.97975120 1
115  48.99890573 -095.97975168
120 Linear Feature 8
111  48.99925268 -095.97987853 1
115  48.99925182 -095.97980918
120 Linear Feature 8
111  48.99900509 -095.97988973 1
115  48.99900423 -095.97982038
120 Linear Feature 8
111  48.99912789 -095.97988340 1
115  48.99912703 -095.97981405
120 Linear Feature 8
111  48.99888030 -095.97989460 1
115  48.99887944 -095.97982525
120 Linear Feature 7
111  48.99928742 -095.97987729 1
111  48.99925268 -095.97987853 1
115  48.99922116 -095.97987966
120 Linear Feature 7
111  48.99903983 -095.97988849 1
111  48.99900509 -095.97988973 1
115  48.99897357 -095.97989086
120 Linear Feature 7
111  48.99916263 -095.97988216 1
111  48.99912789 -095.97988340 1
115  48.99909637 -095.97988452
120 Linear Feature 7
111  48.99891504 -095.97989336 1
111  48.99888030 -095.97989460 1
115  48.99884877 -095.97989572
120 Linear Feature 6
112  48.99874821 -095.98158795  48.99863934 -095.98178189 1
111  48.99849659 -095.98168371 1
115  48.99802385 -095.98130169
120 Linear Feature 5
111  48.99929051 -095.98233296 1
111  48.99879472 -095.98192971
112  48.99879472 -095.98192971  48.99875521 -095.98187926 1
112  48.99874821 -095.98158795  48.99878486 -095.98146176
111  48.99874821 -095.98158795 1
111  48.99926567 -095.98013423 1
112  48.99933637 -095.98004416  48.99938365 -095.98002191
111  48.99933637 -095.98004416 1
115  49.00015102 -095.97976223
14  49.00020584 -095.97931287  40.00 0 New Tower Viewpoint 6
1300  48.99943727 -095.97938152 180.69 hangar props Hangar 01
1301 A none 
1300  48.99931311 -095.97973438  90.73 tie_down props Tie-Down 08
1301 A general_aviation 
1300  48.99925268 -095.97987853 270.80 tie_down props Tie-Down 07
1301 A general_aviation 
1300  48.99918709 -095.97974000  90.43 tie_down props Tie-Down 06
1301 A general_aviation 
1300  48.99912789 -095.97988340 270.80 tie_down props Tie-Down 05
1301 A general_aviation 
1300  48.99906552 -095.97974558  90.31 tie_down props Tie-Down 04
1301 A general_aviation 
1300  48.99900509 -095.97988973 271.08 tie_down props Tie-Down 03
1301 A general_aviation 
1300  48.99893950 -095.97975120  90.87 tie_down props Tie-Down 02
1301 A general_aviation 
1300  48.99888030 -095.97989460 -89.05 tie_down props Tie-Down 01
1301 A general_aviation 
1300  49.00070886 -095.97962397 270.52 tie_down turboprops|props GA 03
1301 B general_aviation 
1300  49.00055628 -095.97962725 270.52 tie_down turboprops|props GA 02
1301 B general_aviation 
1300  49.00040203 -095.97963053 270.52 tie_down turboprops|props GA 01
1301 B general_aviation 
18  48.99971390 -095.97908697 1 New Airport Beacon 5
51 12280 Piney Pinecreek Unicom
99
