A
1000 Generated by Infinite Flight Airport Editing (World Parser)

1      751 1 0 LFKY Belley Peyrieu
100   60.05   3   0 0.00 0 0 0 01   45.69143578  005.69125779   91.14    0.00 0  0 0 0 19   45.69713271  005.69189969   91.14    0.00 0  0 0 0
110   1 0.00   0.00 Apron 1
111  45.69380796  005.68968713 
111  45.69378911  005.68997606 
111  45.69416859  005.69002506 
111  45.69418406  005.68981016 
111  45.69413327  005.68980192 
113  45.69413774  005.68973863 
110   1 0.00   0.00 Apron 2
111  45.69435106  005.68969528 
111  45.69433420  005.68994599 
111  45.69473826  005.68998759 
111  45.69472459  005.69028726 
112  45.69473126  005.69035026  45.69473777  005.69036673 
111  45.69479393  005.69051807 
111  45.69476360  005.69054167 
111  45.69479552  005.69062205 
111  45.69484522  005.69058298 
112  45.69475231  005.69033793  45.69474204  005.69031051 
111  45.69474562  005.69029094 
111  45.69475701  005.69008262 
111  45.69482034  005.69008891 
111  45.69481921  005.69011251 
111  45.69494688  005.69012244 
111  45.69494809  005.69006459 
111  45.69482114  005.69005438 
111  45.69482034  005.69006755 
111  45.69475734  005.69006231 
111  45.69477494  005.68974173 
111  45.69494596  005.68989309 
111  45.69501719  005.68973304 
111  45.69479630  005.68954052 
111  45.69486238  005.68896999 
111  45.69483008  005.68893832 
112  45.69478271  005.68934938  45.69476492  005.68947330 
111  45.69466305  005.68949395 
111  45.69416267  005.68948643 
111  45.69217173  005.68966054 
111  45.69210795  005.68961096 
111  45.69204695  005.68981774 
111  45.69215929  005.68972841 
111  45.69416468  005.68954064 
111  45.69466212  005.68954962 
112  45.69474950  005.68969327  45.69474538  005.68980655 
111  45.69474380  005.68982488 
112  45.69472209  005.68985275  45.69470540  005.68985165 
111  45.69469824  005.68985069 
113  45.69470135  005.68973637 
110   3 0.00   4.50 Taxiway Grass
111  45.69740149  005.69239725 
111  45.69721148  005.69132486 
111  45.69671494  005.69126006 
111  45.69665798  005.69117086 
111  45.69576207  005.69106482 
111  45.69494684  005.69009828 
111  45.69473315  005.69008096 
111  45.69474615  005.68983246 
111  45.69373043  005.68969162 
111  45.69370532  005.69022647 
112  45.69331667  005.69053180  45.69319725  005.69061310 
111  45.69263274  005.69083786 
111  45.69150771  005.69072821 
112  45.69123359  005.69106373  45.69110850  005.69124218 
113  45.69084995  005.69166246 
111  45.69365373  005.69087255 
111  45.69307591  005.69083204 
112  45.69341050  005.69064128  45.69348874  005.69058518 
113  45.69367248  005.69044879 
130 Airport Boundary 6
111  45.69764414  005.69252733 
111  45.69741210  005.69112795 
111  45.69580580  005.69080101 
111  45.69507463  005.69001602 
111  45.69510275  005.68886873 
111  45.69452625  005.68876809 
111  45.69438564  005.68925116 
111  45.69195309  005.68941218 
113  45.69071735  005.69173778 
14   45.69489039  005.68996898   54 0 Belley Peyrieu Tower
15   45.69435485  005.69002152  58.53 GA Ramp 1
15   45.69458650  005.68994680 100.93 GA Ramp 2
15   45.69467969  005.68994172 124.41 GA Ramp 3
15   45.69412175  005.68996618 142.10 GA Ramp 4
19   45.69385625  005.69043172 1 Windsock
54 12350 BELLEY TWR

99
