A
1000 Generated by WorldEditor

1    128 1 0 PABE Bethel
100 45.72 1 0 0.25 0 3 0 01L  60.77174241 -161.84349870    0   34 3 8 0 1 19R  60.78785789 -161.82924040    0    0 3 8 0 1
100 22.86 5 0 0.25 0 2 0 12  60.78130116 -161.84764643    0    0 1 0 0 0 30  60.77812706 -161.83947844    0   57 1 0 0 0
100 22.86 1 0 0.00 0 3 0 01R  60.77098427 -161.83991802    0    0 2 0 0 0 19L  60.78105624 -161.83100444    0    0 2 0 0 0
110 2 0.00 0.0000 New Taxiway 19
111  60.77595291 -161.84620452
111  60.77555837 -161.84655739
111  60.77544719 -161.84603587
113  60.77584172 -161.84568300
110 1 0.00 0.0000 New Taxiway 19
111  60.77504316 -161.84646846
111  60.77500930 -161.84664414
111  60.77493875 -161.84658709
113  60.77497261 -161.84641142
110 2 0.00 0.0000 New Taxiway 18
111  60.79040339 -161.83218131
111  60.79030555 -161.83226798
111  60.79025847 -161.83204483
113  60.79035631 -161.83195815
110 2 0.00 0.0000 New Taxiway 18
111  60.78970995 -161.83254546
111  60.78965087 -161.83226525
111  60.79001701 -161.83194108
113  60.79007609 -161.83222129
110 2 0.00 0.0000 New Taxiway 18
111  60.78849412 -161.83370120
111  60.78841036 -161.83330262
111  60.78893926 -161.83283595
113  60.78902302 -161.83323452
110 2 0.00 0.0000 New Taxiway 18
111  60.78776234 -161.83443997
111  60.78765681 -161.83393891
111  60.78798309 -161.83365036
113  60.78808862 -161.83415142
110 2 0.00 0.0000 New Taxiway 18
111  60.78908716 -161.83316059
111  60.78900298 -161.83276091
111  60.78926325 -161.83253075
113  60.78934743 -161.83293043
110 2 0.00 0.0000 New Taxiway 18
111  60.78814499 -161.83405751
111  60.78810055 -161.83384918
111  60.78835536 -161.83362096
113  60.78839980 -161.83382929
110 2 0.00 0.0000 New Taxiway 18
111  60.78753089 -161.83458817
111  60.78742020 -161.83468631
111  60.78733142 -161.83426594
113  60.78744211 -161.83416780
110 2 0.00 0.0000 New Taxiway 18
111  60.78732006 -161.83488868
111  60.78705526 -161.83512274
111  60.78694224 -161.83458594
113  60.78720704 -161.83435189
110 2 0.00 0.0000 New Taxiway 18
111  60.78694312 -161.83504733
111  60.78677936 -161.83519360
111  60.78670123 -161.83482638
113  60.78686499 -161.83468011
110 2 0.00 0.0000 New Taxiway 18
111  60.78657164 -161.83550166
111  60.78651632 -161.83523584
111  60.78666676 -161.83510441
113  60.78672208 -161.83537023
110 2 0.00 0.0000 New Taxiway 18
111  60.78619969 -161.83566963
111  60.78600709 -161.83583543
111  60.78593396 -161.83547877
113  60.78612656 -161.83531298
110 2 0.00 0.0000 New Taxiway 18
111  60.78585974 -161.83600232
111  60.78561631 -161.83621604
111  60.78553117 -161.83580897
113  60.78577461 -161.83559525
110 2 0.00 0.0000 New Taxiway 18
111  60.78557144 -161.83647124
111  60.78537478 -161.83664753
111  60.78531485 -161.83636690
113  60.78551152 -161.83619061
110 2 0.00 0.0000 New Taxiway 18
111  60.78464402 -161.83783098
111  60.78452490 -161.83793033
111  60.78445570 -161.83758206
113  60.78457482 -161.83748271
110 2 0.00 0.0000 New Taxiway 18
111  60.78461592 -161.83737197
111  60.78447574 -161.83748892
111  60.78444516 -161.83733508
113  60.78458535 -161.83721814
110 2 0.00 0.0000 New Taxiway 18
111  60.78274904 -161.83783004
111  60.78264109 -161.83792288
111  60.78260777 -161.83776024
113  60.78271572 -161.83766740
110 2 0.00 0.0000 New Taxiway 18
111  60.78408566 -161.83913534
111  60.78389086 -161.83930284
111  60.78383074 -161.83900938
113  60.78402553 -161.83884187
110 2 0.00 0.0000 New Taxiway 18
111  60.78246797 -161.84089973
111  60.78202224 -161.84129578
111  60.78192037 -161.84081462
113  60.78236610 -161.84041857
110 2 0.00 0.0000 New Taxiway 18
111  60.78182684 -161.84195530
111  60.78167374 -161.84195162
111  60.78167632 -161.84150249
113  60.78182941 -161.84150617
110 2 0.00 0.0000 New Taxiway 18
111  60.78208735 -161.84238469
111  60.78193099 -161.84263904
111  60.78185517 -161.84244342
113  60.78201153 -161.84218907
110 2 0.00 0.0000 New Taxiway 18
111  60.78273679 -161.84363715
111  60.78250764 -161.84400876
111  60.78229965 -161.84347049
113  60.78252880 -161.84309888
110 2 0.00 0.0000 New Taxiway 18
111  60.78230284 -161.84283953
111  60.78212204 -161.84313274
111  60.78195792 -161.84270803
113  60.78213873 -161.84241481
110 2 0.00 0.0000 New Taxiway 18
111  60.78282902 -161.84408943
111  60.78266409 -161.84435799
111  60.78255882 -161.84408667
113  60.78272376 -161.84381810
110 2 0.00 0.0000 New Taxiway 18
111  60.78313815 -161.84467423
111  60.78291993 -161.84502908
111  60.78277891 -161.84466509
113  60.78299713 -161.84431024
110 2 0.00 0.0000 New Taxiway 18
111  60.78318705 -161.84575131
111  60.78301585 -161.84603151
111  60.78287960 -161.84568210
113  60.78305080 -161.84540191
110 2 0.00 0.0000 New Taxiway 18
111  60.78298826 -161.84649740
111  60.78290853 -161.84662765
111  60.78281216 -161.84638003
113  60.78289189 -161.84624978
110 2 0.00 0.0000 New Taxiway 18
111  60.78316028 -161.84701356
111  60.78304888 -161.84719776
111  60.78297275 -161.84700453
113  60.78308415 -161.84682033
110 2 0.00 0.0000 New Taxiway 18
111  60.78332610 -161.84759067
