I
1050 Generated by WorldEditor 2.2.0r2

1    650 1 0 1LL5 Justison
100 27.43 3 0 0.00 0 0 0 17  39.24576783 -089.55085979    0    0 0 0 0 0 35  39.23984022 -089.55085675    0    0 0 0 0 0
110 3 0.00 0.0000 New Taxiway 5
111  39.23953935 -089.54997676
111  39.23962991 -089.54995305
112  39.23977065 -089.54988669  39.23987956 -089.54986299
111  39.23977065 -089.54988669
112  39.23977065 -089.54988669  39.23986488 -089.54987721
111  39.23993463 -089.54988827
111  39.24027852 -089.54991197
112  39.24063954 -089.54970814  39.24078933 -089.54952801
111  39.24081944 -089.54936367
111  39.24110091 -089.54936209
111  39.24110087 -089.54939554
111  39.24100087 -089.54949079
111  39.24104309 -089.54958499
111  39.24105685 -089.54974132
111  39.24083535 -089.54979346
112  39.24077905 -089.54999413  39.24073206 -089.55006050
111  39.24059915 -089.55006840
111  39.24029321 -089.55009368
111  39.23975351 -089.55007630
111  39.23969967 -089.55008420
113  39.23954057 -089.55008104
110 3 0.00 0.0000 New Taxiway 4
111  39.23969753 -089.55019819
111  39.23975245 -089.55019872
111  39.23978448 -089.55020804
111  39.23978306 -089.55023822
111  39.23980927 -089.55027937
111  39.23976323 -089.55034795
111  39.23977244 -089.55071188
111  39.23984751 -089.55069999
111  39.23984468 -089.55101912
111  39.23966337 -089.55102460
111  39.23954156 -089.55103192
112  39.23951252 -089.55099808  39.23951252 -089.55097340
111  39.23951252 -089.55099808
112  39.23951252 -089.55099808  39.23951252 -089.55098894
111  39.23951040 -089.55028942
112  39.23957359 -089.55019453  39.23965433 -089.55018996
111  39.23957359 -089.55019453
114  39.23957359 -089.55019453  39.23957926 -089.55019361
110 2 0.00 0.0000 New Taxiway 3
111  39.23969753 -089.55019819
111  39.23969999 -089.55008389
111  39.23975327 -089.55008283
113  39.23975245 -089.55019872
110 2 0.00 0.0000 New Taxiway 2
111  39.24100087 -089.54949079
111  39.24110087 -089.54939554
111  39.24109842 -089.54930981
111  39.24121194 -089.54930505
111  39.24125867 -089.54930399
111  39.24125867 -089.54934632
111  39.24137711 -089.54934315
111  39.24137957 -089.54952095
111  39.24119678 -089.54952678
111  39.24119555 -089.54950825
111  39.24112301 -089.54951037
113  39.24104309 -089.54958499
110 3 0.00 0.0000 New Taxiway 1
111  39.24576681 -089.55069977
111  39.24643536 -089.55069798
111  39.24643414 -089.55100454
111  39.24627015 -089.55102667
113  39.24576638 -089.55102351
130 Airport Boundary 6
111  39.24661581 -089.54857248
111  39.24662490 -089.55311606
111  39.23946880 -089.55308098
113  39.23945061 -089.54844379
14  39.24130488 -089.55054192  82.02 0 New Tower Viewpoint 3
1300  39.24625560 -089.55088297 138.67 tie_down props North Apron
1301 A none 
1300  39.23960194 -089.55036566 297.47 tie_down props South Apron
1301 A none 
1300  39.24122115 -089.54943631 178.99 hangar props HANGAR
1301 A none 
99
