I
1050 Generated by WorldEditor 2.1.0r1

1     82 1 0 UOOD Dudinka
1302 city Dudinka
1302 country Russia
1302 datum_lat 69.3833333
1302 datum_lon 86.1700000
1302 local_code UOOD
1302 region_code UO
1302 state Krasnoyarsk Krai
100 28.00 2 0 0.00 0 1 0 01  69.36883944  086.14502418    0    0 2 0 0 0 19  69.37988872  086.16491479    0    0 2 0 0 0
110 2 0.00 32.3800 New Taxiway 40
111  69.38650792  086.17314071
111  69.38674304  086.17359354
111  69.38677535  086.17344253
111  69.38682782  086.17353503
111  69.38695481  086.17296745
113  69.38667952  086.17244630
110 2 0.00 32.3800 New Taxiway 38
111  69.38368287  086.17072371
111  69.38368464  086.17081354
111  69.38379309  086.17092170
111  69.38386763  086.17099602
111  69.38439083  086.17152030
111  69.38449618  086.17162637
111  69.38550688  086.17263864
111  69.38559981  086.17273171
111  69.38592084  086.17305325
111  69.38592978  086.17298077
111  69.38590679  086.17295642
111  69.38592735  086.17279256
111  69.38594295  086.17266823
111  69.38586362  086.17259437
111  69.38590922  086.17223524
111  69.38576996  086.17209575
111  69.38547555  086.17180087
111  69.38531716  086.17164222
111  69.38466665  086.17099066
111  69.38463517  086.17095914
111  69.38436065  086.17068417
111  69.38422114  086.17054444
111  69.38405203  086.17037505
111  69.38379809  086.17012070
111  69.38377562  086.17009819
113  69.38375489  086.17013796
110 2 0.00 32.3800 New Taxiway 37
111  69.38311626  086.16998727
111  69.38327202  086.17013851
111  69.38333226  086.16966292
113  69.38318192  086.16949971
110 2 0.00 32.3800 New Taxiway 36
111  69.37940282  086.16482137
111  69.37944266  086.16489162
111  69.37942322  086.16498614
111  69.37947115  086.16507127
111  69.37946141  086.16511874
111  69.37959852  086.16535317
111  69.37960720  086.16531394
111  69.37965339  086.16539181
111  69.37967155  086.16530636
111  69.37971670  086.16538872
111  69.37974007  086.16529792
111  69.37978564  086.16538908
111  69.37983184  086.16516687
111  69.37987846  086.16525658
111  69.37988976  086.16520463
111  69.37997756  086.16535860
111  69.37998660  086.16531702
111  69.38003385  086.16539988
111  69.38011904  086.16500820
111  69.37998399  086.16477138
111  69.37999361  086.16472715
111  69.37994696  086.16464549
111  69.37995618  086.16460618
111  69.37955271  086.16387848
111  69.37937298  086.16464516
113  69.37942153  086.16473555
110 2 0.00 32.3800 New Taxiway 35
111  69.36878985  086.14576763
111  69.36877525  086.14584395
111  69.36882394  086.14592773
111  69.36881625  086.14597031
