I
1000 Generated by WorldEditor

1    383 0 0 KNZJ [X] El Toro MCAS
100 60.96 1 0 0.25 0 0 0 16R  33.68484980 -117.73000340    0    0 2 0 0 0 34L  33.65742000 -117.73000340    0    0 2 0 0 0
100 60.96 1 0 0.25 0 0 0 16L  33.68486130 -117.72850040    0    0 2 0 0 0 34R  33.65743150 -117.72850040    0    0 2 0 0 0
100 60.96 1 0 0.25 0 0 0 07R  33.66999820 -117.74434653    0    0 2 0 0 0 25L  33.66999820 -117.71797947    0    0 2 0 0 0
100 60.96 1 0 0.25 0 0 0 07L  33.67113490 -117.74434671    0    0 2 0 0 0 25R  33.67113490 -117.71797929    0    0 2 0 0 0
100 76.20 1 0 0.25 0 0 0 03  33.67116426 -117.74377603    0    0 2 0 0 0 21  33.67583594 -117.73632657    0    0 2 0 0 0
110 1 0.25 0.0000 xxx
111  33.66837268 -117.74422612
111  33.66974692 -117.74422612
111  33.66974692 -117.74521488
113  33.66837268 -117.74521488
110 1 0.25 19.0000 xxx
111  33.66823873 -117.73634256
111  33.66857589 -117.73620307
111  33.66862947 -117.73639004
113  33.66829231 -117.73652953
110 1 0.25 19.0000 xxx
111  33.66772383 -117.73456486
111  33.66806099 -117.73442537
111  33.66811457 -117.73461234
113  33.66777741 -117.73475183
110 1 0.25 90.0000 xxx
111  33.66955205 -117.72682076
111  33.66955205 -117.72627364
111  33.66982635 -117.72627364
113  33.66982635 -117.72682076
110 1 0.25 114.0000 xxx
111  33.67235122 -117.71877294
111  33.67212808 -117.71817073
111  33.67242878 -117.71800986
113  33.67265192 -117.71861207
110 1 0.25 14.0000 xxx
111  33.67234440 -117.71862877
111  33.67287670 -117.71846930
111  33.67296960 -117.71891703
113  33.67243730 -117.71907650
110 1 0.25 90.0000 xxx
111  33.66674068 -117.72968533
111  33.66674068 -117.72879547
111  33.66715212 -117.72879547
113  33.66715212 -117.72968533
110 1 0.25 0.0000 xxx
111  33.67139510 -117.71848386
111  33.67249230 -117.71848386
111  33.67249230 -117.71907714
113  33.67139510 -117.71907714
110 1 0.25 30.0000 xxx
111  33.66997811 -117.71903708
111  33.67088079 -117.71841086
111  33.67115509 -117.71898172
113  33.67025241 -117.71960794
110 1 0.25 0.0000 xxx
111  33.66998628 -117.74312130
111  33.67136052 -117.74312130
111  33.67136052 -117.74345090
113  33.66998628 -117.74345090
110 1 0.25 117.0000 xxx
111  33.68048588 -117.72868504
111  33.67978852 -117.72704031
111  33.68052172 -117.72659136
113  33.68121908 -117.72823609
110 1 0.25 90.0000 xxx
111  33.67247098 -117.74110840
111  33.67247098 -117.71895940
111  33.67269042 -117.71895940
113  33.67269042 -117.74110840
110 1 0.25 90.0000 xxx
111  33.67543425 -117.72677164
111  33.67543425 -117.72380516
111  33.67570855 -117.72380516
113  33.67570855 -117.72677164
110 1 0.25 59.0000 xxx
111  33.66793119 -117.74394878
111  33.66973949 -117.74033267
111  33.66997461 -117.74050242
113  33.66816631 -117.74411853
110 1 0.25 180.0000 xxx
111  33.66412698 -117.73172458
111  33.66012222 -117.73172458
111  33.66012222 -117.73139502
113  33.66412698 -117.73139502
110 1 0.25 0.0000 xxx
111  33.66858224 -117.73612060
111  33.67568656 -117.73612060
111  33.67568656 -117.73636780
113  33.66858224 -117.73636780
110 1 0.25 67.0000 xxx
111  33.66682121 -117.72825868
111  33.66977929 -117.71988534
111  33.67003179 -117.72001412
113  33.66707371 -117.72838746
110 1 0.25 140.0000 xxx
111  33.67863215 -117.72704015
111  33.67251753 -117.72087475
111  33.67269385 -117.72062225
113  33.67880847 -117.72678765
110 1 0.25 19.0000 xxx
111  33.66397840 -117.73143882
111  33.66698690 -117.73019416
111  33.66707620 -117.73050578
113  33.66406770 -117.73175044
110 1 0.25 180.0000 xxx
111  33.68426060 -117.72708591
111  33.67265780 -117.72708591
111  33.67265780 -117.72675629
113  33.68426060 -117.72675629
110 1 0.25 130.0000 xxx
111  33.67553734 -117.73631725
111  33.67135867 -117.73033325
111  33.67151626 -117.73017435
113  33.67569493 -117.73615835
110 1 0.25 109.0000 xxx
111  33.66972500 -117.74029169
111  33.66687624 -117.73035081
111  33.66713560 -117.73024351
113  33.66998436 -117.74018439
110 2 0.25 51.0000 xxx
111  33.67669437 -117.72472932
111  33.67733307 -117.72378153
111  33.67765283 -117.72409268
113  33.67701413 -117.72504047
110 2 0.25 109.0000 xxx
111  33.66646785 -117.73935115
111  33.66602134 -117.73779305
111  33.66705875 -117.73736385
113  33.66750526 -117.73892195
110 2 0.25 140.0000 xxx
111  33.67220704 -117.71839015
111  33.67170275 -117.71788168
111  33.67193196 -117.71755345
113  33.67243625 -117.71806192
110 2 0.25 72.0000 xxx
111  33.65965876 -117.72817144
111  33.65990457 -117.72726252
111  33.66016544 -117.72736436
113  33.65991963 -117.72827328
110 2 0.25 153.0000 xxx
111  33.66756494 -117.72367037
111  33.66677553 -117.72318708
111  33.66690006 -117.72289343
113  33.66768947 -117.72337672
110 2 0.25 90.0000 xxx
111  33.66971620 -117.74508587
111  33.66971620 -117.74432453
111  33.67026480 -117.74432453
113  33.67026480 -117.74508587
110 2 0.25 40.0000 xxx
111  33.66805538 -117.73403042
111  33.66868575 -117.73339487
111  33.66895022 -117.73377358
113  33.66831985 -117.73440913
110 2 0.25 51.0000 xxx
111  33.67366315 -117.72165522
111  33.67430185 -117.72070747
111  33.67455765 -117.72095638
113  33.67391895 -117.72190413
110 2 0.25 37.0000 xxx
111  33.68237198 -117.73148006
111  33.68294155 -117.73096428
111  33.68310662 -117.73122754
113  33.68253705 -117.73174332
110 2 0.25 51.0000 xxx
111  33.67404623 -117.72206178
111  33.67468493 -117.72111402
111  33.67498337 -117.72140442
113  33.67434467 -117.72235218
110 2 0.25 75.0000 xxx
111  33.65717343 -117.72794836
111  33.65735802 -117.72712075
111  33.65762297 -117.72720604
113  33.65743838 -117.72803365
110 2 0.25 51.0000 xxx
111  33.67719407 -117.72521762
111  33.67783277 -117.72426983
111  33.67815253 -117.72458098
113  33.67751383 -117.72552877
110 2 0.25 90.0000 xxx
111  33.65705138 -117.72959125
111  33.65705138 -117.72794355
111  33.65746282 -117.72794355
113  33.65746282 -117.72959125
110 2 0.25 0.0000 xxx
111  33.67133275 -117.74435421
111  33.67250125 -117.74435421
111  33.67250125 -117.74517819
113  33.67133275 -117.74517819
110 2 0.25 140.0000 xxx
111  33.67670836 -117.72468881
111  33.67544761 -117.72341759
111  33.67580024 -117.72291259
113  33.67706099 -117.72418381
110 2 0.25 150.0000 xxx
111  33.66856627 -117.74573593
111  33.66744979 -117.74496141
111  33.66794353 -117.74393387
113  33.66906001 -117.74470839
110 2 0.25 78.0000 xxx
111  33.68166443 -117.73334933
111  33.68200661 -117.73141474
111  33.68267737 -117.73158607
113  33.68233519 -117.73352066
110 2 0.25 90.0000 xxx
111  33.68307895 -117.73056419
111  33.68307895 -117.72799301
111  33.68335325 -117.72799301
113  33.68335325 -117.73056419
110 2 0.25 90.0000 xxx
111  33.67086060 -117.74530044
111  33.67086060 -117.74430836
111  33.67140920 -117.74430836
113  33.67140920 -117.74530044
110 2 0.25 90.0000 xxx
111  33.67025395 -117.74448714
111  33.67025395 -117.74382466
111  33.67052825 -117.74382466
113  33.67052825 -117.74448714
110 2 0.25 323.0000 xxx
111  33.68252935 -117.72679858
111  33.68309892 -117.72731436
111  33.68293385 -117.72757762
113  33.68236428 -117.72706184
110 2 0.25 56.0000 xxx
111  33.67226785 -117.74500156
111  33.67256695 -117.74446873
111  33.67279435 -117.74465304
113  33.67249525 -117.74518587
110 2 0.25 90.0000 xxx
111  33.67237878 -117.74465949
111  33.67237878 -117.74218751
111  33.67279022 -117.74218751
113  33.67279022 -117.74465949
110 2 0.25 293.0000 xxx
111  33.68310079 -117.72732405
111  33.68334730 -117.72802195
111  33.68309481 -117.72815075
113  33.68284830 -117.72745285
110 2 0.25 293.0000 xxx
111  33.68480599 -117.72725544
111  33.68505250 -117.72795335
111  33.68480001 -117.72808216
113  33.68455350 -117.72738425
