I
1050 Generated by WorldEditor 2.1.0r1

1   5550 0 0 E91 Chinle Muni
100 18.29 1 0 0.25 0 2 0 18  36.11869857 -109.57401035    0    0 2 0 0 0 36  36.09990049 -109.57696971    0    0 2 0 0 0
110 1 0.00 0.0000 New Taxiway 48
111  36.10927618 -109.57559703
111  36.10927454 -109.57557954
111  36.10961344 -109.57552254
111  36.10961539 -109.57554406
112  36.10961539 -109.57554406  36.10953077 -109.57558483
111  36.10951645 -109.57570317
111  36.10953441 -109.57588616
111  36.10959131 -109.57646569
112  36.10959131 -109.57646569  36.10959541 -109.57647925
111  36.10960444 -109.57648345
111  36.11071653 -109.57629909
111  36.11076699 -109.57681045
111  36.10954074 -109.57700302
111  36.10942624 -109.57590242
111  36.10940811 -109.57572820
114  36.10940811 -109.57572820  36.10937915 -109.57560237
110 1 0.00 0.0000 New Taxiway 47
111  36.11844283 -109.57493569
111  36.11805977 -109.57457253
111  36.11775631 -109.57428483
112  36.11775631 -109.57428483  36.11773760 -109.57427381
111  36.11771916 -109.57426801
111  36.11771690 -109.57424933
111  36.11802664 -109.57420198
111  36.11802849 -109.57421918
112  36.11802849 -109.57421918  36.11795986 -109.57428236
111  36.11801619 -109.57436060
111  36.11812720 -109.57446576
111  36.11845733 -109.57477510
112  36.11845733 -109.57477510  36.11863915 -109.57483222
111  36.11865566 -109.57461477
111  36.11863643 -109.57443842
111  36.11861903 -109.57427880
112  36.11861903 -109.57427880  36.11858905 -109.57416650
111  36.11851119 -109.57414290
111  36.11850946 -109.57412678
111  36.11870645 -109.57409377
111  36.11874091 -109.57441996
113  36.11878946 -109.57487941
110 1 0.00 0.0000 New Taxiway 46
111  36.09991087 -109.57704968
111  36.10012671 -109.57701850
111  36.10012877 -109.57703766
112  36.10012877 -109.57703766  36.10003932 -109.57707398
111  36.10003565 -109.57719532
111  36.10005485 -109.57737786
111  36.10007372 -109.57755731
112  36.10007372 -109.57755731  36.10011120 -109.57768454
112  36.10031395 -109.57761179  36.10038778 -109.57751198
111  36.10031395 -109.57761179
111  36.10053635 -109.57725331
111  36.10064098 -109.57708032
112  36.10064098 -109.57708032  36.10065531 -109.57697830
111  36.10058368 -109.57696544
111  36.10058176 -109.57694508
111  36.10094817 -109.57688618
111  36.10095006 -109.57690836
112  36.10095006 -109.57690836  36.10087907 -109.57694448
111  36.10083508 -109.57699494
111  36.10062218 -109.57733492
111  36.10036438 -109.57774658
112  36.10036438 -109.57774658  36.10033322 -109.57778661
111  36.10029788 -109.57779768
111  36.09999320 -109.57784578
113  36.09994665 -109.57739567
130 Airport Boundary
111  36.12187888 -109.57265515
111  36.12232636 -109.57694152
111  36.09628532 -109.58103260
113  36.09583902 -109.57676049
120 HS-1
111  36.11874091 -109.57441996 4
115  36.11863643 -109.57443842
120 HS-2
111  36.11812720 -109.57446576 4
115  36.11805977 -109.57457253
120 HS-3
111  36.10953441 -109.57588616 4
115  36.10942624 -109.57590242
120 HS-4
111  36.10062218 -109.57733492 4
115  36.10053635 -109.57725331
120 HS-5
111  36.10005485 -109.57737786 4
115  36.09994665 -109.57739567
120 Linear Feature 59
112  36.10946222 -109.57571464  36.10946165 -109.57548826 51
111  36.10961797 -109.57545421 51
115  36.11019042 -109.57536206
120 Linear Feature 58
111  36.11021801 -109.57666056 1
115  36.11026974 -109.57675661
120 Linear Feature 57
111  36.10998562 -109.57673317 1
115  36.11005828 -109.57681250
120 Linear Feature 56
111  36.10995442 -109.57676680 51
115  36.10999549 -109.57681339
120 Linear Feature 54
111  36.10981072 -109.57651700 1
111  36.10977521 -109.57652218 1
115  36.10973970 -109.57652736
120 Linear Feature 54
111  36.10993200 -109.57649666 1
111  36.10989649 -109.57650184 1
115  36.10986098 -109.57650702
120 Linear Feature 54
111  36.11005551 -109.57647738 1
111  36.11002000 -109.57648256 1
115  36.10998449 -109.57648773
120 Linear Feature 54
111  36.11017647 -109.57645772 1
111  36.11014096 -109.57646290 1
115  36.11010545 -109.57646808
120 Linear Feature 54
111  36.11029878 -109.57643977 51
111  36.11026327 -109.57644494 51
115  36.11022776 -109.57645012
120 Linear Feature 54
111  36.11042182 -109.57642126 51
111  36.11038631 -109.57642644 51
115  36.11035080 -109.57643162
120 Linear Feature 54
111  36.11066724 -109.57638269 51
111  36.11063173 -109.57638787 51
115  36.11059622 -109.57639304
120 Linear Feature 54
111  36.11054353 -109.57640093 51
111  36.11050801 -109.57640611 51
115  36.11047250 -109.57641129
120 Linear Feature 55
111  36.10977521 -109.57652218 1
115  36.10976942 -109.57646294
120 Linear Feature 55
111  36.10989649 -109.57650184 1
115  36.10989069 -109.57644260
120 Linear Feature 55
111  36.11002000 -109.57648256 1
115  36.11001420 -109.57642332
120 Linear Feature 55
111  36.11014096 -109.57646290 1
115  36.11013516 -109.57640366
120 Linear Feature 55
111  36.11026327 -109.57644494 51
115  36.11025748 -109.57638571
120 Linear Feature 55
111  36.11038631 -109.57642644 51
115  36.11038051 -109.57636720
120 Linear Feature 55
111  36.11063173 -109.57638787 51
115  36.11062593 -109.57632863
120 Linear Feature 55
111  36.11050801 -109.57640611 51
115  36.11050222 -109.57634687
120 Linear Feature 51
111  36.10868843 -109.57559890 51
111  36.10928210 -109.57550719
112  36.10928210 -109.57550719  36.10943748 -109.57553755 51
111  36.10946222 -109.57571464 51
111  36.10955268 -109.57657725
112  36.10955268 -109.57657725  36.10958061 -109.57673366 51
111  36.10968966 -109.57672441 51
115  36.11071737 -109.57655634
120 Linear Feature 50
111  36.09996808 -109.57706204 51
111  36.10002448 -109.57761378
112  36.10002448 -109.57761378  36.10005959 -109.57775736 51
111  36.10018492 -109.57774526 51
111  36.10025168 -109.57773514
112  36.10025168 -109.57773514  36.10031577 -109.57771480 51
111  36.10035206 -109.57765960 51
111  36.10081352 -109.57692511
112  36.10081352 -109.57692511  36.10087676 -109.57683617 51
111  36.10096608 -109.57681932 51
115  36.10153290 -109.57672850
120 Linear Feature 49
111  36.11712253 -109.57426999 51
111  36.11768422 -109.57418229
112  36.11768422 -109.57418229  36.11772596 -109.57418107 51
111  36.11776419 -109.57420935 51
111  36.11841099 -109.57482068
112  36.11841099 -109.57482068  36.11853448 -109.57491382 51
112  36.11870479 -109.57458988  36.11869580 -109.57436716
111  36.11870479 -109.57458988 51
111  36.11866948 -109.57426789
112  36.11866948 -109.57426789  36.11865575 -109.57418174 51
115  36.11860237 -109.57412854
21  36.10233431 -109.57691825 2 7.2500 3.00 PAPI-2L-36
14  36.10937520 -109.57697022  15.00 0 Tower
1300  36.11052416 -109.57672881 134.87 tie_down turboprops|props Tie-Down 1
1301 A general_aviation 
1300  36.11027681 -109.57678210 114.35 tie_down turboprops|props Tie-Down 2
1301 A general_aviation 
1300  36.10999714 -109.57682826 136.96 tie_down turboprops|props Tie-Down 3
1301 A general_aviation 
1300  36.11063173 -109.57638787 -83.09 tie_down props Tie-Down 4
1301 A general_aviation 
1300  36.11050801 -109.57640611 -83.09 tie_down props Tie-Down 5
1301 A general_aviation 
1300  36.11038631 -109.57642644 -83.09 tie_down props Tie-Down 6
1301 A general_aviation 
1300  36.11026327 -109.57644494 -83.09 tie_down props Tie-Down 7
1301 A general_aviation 
1300  36.11014096 -109.57646290 -83.09 tie_down props Tie-Down 8
1301 A general_aviation 
1300  36.11002000 -109.57648256 -83.09 tie_down props Tie-Down 9
1301 A general_aviation 
1300  36.10989649 -109.57650184 -83.09 tie_down props Tie-Down 10
1301 A general_aviation 
1300  36.10977521 -109.57652218 -83.09 tie_down props Tie-Down 11
1301 A general_aviation 
18  36.10944079 -109.57727284 1 BCN
19  36.10922281 -109.57673096 1 WS-LIT
51 12290 CTAF
99
