I
1050 Generated by WorldEditor 2.2.0r2

1     13 1 0 KFXE Fort Lauderdale Executive
100 30.48 1 0 0.00 0 3 0 9  26.19758242 -080.18086695    0   60 3 8 0 1 27  26.19937150 -080.16265746    0   60 3 0 0 1
100 30.48 1 0 0.00 0 2 0 13  26.19895292 -080.17385914    0   45 2 0 0 1 31  26.19205639 -080.16434909    0   45 2 0 0 1
110 2 0.00 0.0000 New Taxiway 12
111  26.20157420 -080.15964963
111  26.20157929 -080.15937146
111  26.20188461 -080.15937478
111  26.20188461 -080.15938854
111  26.20205665 -080.15939613
111  26.20205685 -080.15934731
111  26.20244767 -080.15934531
111  26.20244468 -080.15957741
111  26.20244388 -080.15963197
111  26.20204824 -080.15963109
111  26.20204577 -080.15971548
111  26.20186870 -080.15971008
111  26.20187014 -080.15966436
113  26.20160508 -080.15964959
110 2 0.00 0.0000 New Taxiway 11
111  26.20252586 -080.15814412
111  26.20255696 -080.15814441
111  26.20272942 -080.15814602
111  26.20269175 -080.15940716
111  26.20251204 -080.15939389
111  26.20251751 -080.15916219
111  26.20244454 -080.15915917
111  26.20246498 -080.15857683
113  26.20252230 -080.15857615
110 2 0.00 0.0000 New Taxiway 10
111  26.20212015 -080.15831011
111  26.20212041 -080.15828770
111  26.20212390 -080.15796519
111  26.20212431 -080.15792736
111  26.20256315 -080.15794084
111  26.20255696 -080.15814441
111  26.20252586 -080.15814412
111  26.20237971 -080.15814737
113  26.20237357 -080.15831644
110 2 0.00 0.0000 New Taxiway 9
111  26.20164577 -080.15793158
111  26.20203576 -080.15792885
111  26.20203699 -080.15796439
111  26.20212390 -080.15796519
111  26.20212041 -080.15828770
111  26.20164079 -080.15825999
113  26.20164545 -080.15795254
110 2 0.00 0.0000 New Taxiway 7
111  26.20163112 -080.15860942
111  26.20205080 -080.15861992
111  26.20203731 -080.15905048
113  26.20162279 -080.15903613
110 2 0.00 0.0000 New Taxiway 14
111  26.20217647 -080.16469684
111  26.20253770 -080.16475360
111  26.20250497 -080.16506921
111  26.20215295 -080.16502426
113  26.20217464 -080.16472229
110 2 0.00 0.0000 New Taxiway 13
111  26.20210900 -080.16508572
111  26.20214813 -080.16508998
111  26.20246159 -080.16512413
111  26.20242127 -080.16559040
113  26.20207415 -080.16554928
110 2 0.25 0.0000 New Taxiway 2
