I
1050 Generated by WorldEditor 2.1.0r1

1   1243 1 0 KCHD Chandler Muni
100 22.86 1 0 0.25 0 2 0 4R  33.26572125 -111.81416955    0   27 2 0 0 1 22L  33.27439701 -111.80202146    0   27 2 0 0 1
100 22.86 1 0 0.25 0 2 0 4L  33.26411049 -111.81995889    0    0 1 0 0 0 22R  33.27195199 -111.80898202    0    0 1 0 0 0
110 2 0.00 0.0000 New Taxiway 172
111  33.27215098 -111.81150623
111  33.27214791 -111.81151136
111  33.27211670 -111.81148702
111  33.27207784 -111.81149618
111  33.27207646 -111.81148893
113  33.27211762 -111.81147977
110 2 0.00 0.0000 New Taxiway 171
111  33.27212152 -111.81152267
111  33.27210108 -111.81155745
111  33.27207049 -111.81153284
113  33.27209148 -111.81149773
110 2 0.00 0.0000 New Taxiway 158
111  33.27249014 -111.81300509
111  33.27249249 -111.81300841
111  33.27248377 -111.81301786
111  33.27247389 -111.81300427
111  33.27248212 -111.81299600
111  33.27248662 -111.81299633
111  33.27253902 -111.81294351
113  33.27254498 -111.81295185
110 2 0.00 0.0000 New Taxiway 58
111  33.27302458 -111.81254178
111  33.27303738 -111.81254162
111  33.27303735 -111.81256715
111  33.27328130 -111.81257166
111  33.27327573 -111.81306630
111  33.27303534 -111.81306180
111  33.27303519 -111.81307610
113  33.27301903 -111.81307613
110 1 0.00 0.0000 New Taxiway 57
111  33.27403392 -111.80793697
111  33.27432232 -111.80794204
111  33.27431630 -111.80864449
111  33.27483771 -111.80865385
111  33.27481262 -111.81111340
111  33.27400091 -111.81110072
111  33.27400183 -111.81101333
113  33.27403390 -111.80794118
110 2 0.00 0.0000 New Taxiway 56
111  33.27297792 -111.81186524
111  33.27290558 -111.81186431
111  33.27276180 -111.81186245
111  33.27254457 -111.81185965
111  33.27254502 -111.81177902
111  33.27252717 -111.81177874
111  33.27252717 -111.81177433
111  33.27252715 -111.81174277
111  33.27253952 -111.81174289
111  33.27253940 -111.81168850
111  33.27255211 -111.81168858
111  33.27261025 -111.81168892
111  33.27261142 -111.81145722
111  33.27261264 -111.81128602
111  33.27289390 -111.81129036
111  33.27289339 -111.81143931
111  33.27298336 -111.81144266
111  33.27298012 -111.81163834
111  33.27289105 -111.81163728
111  33.27289070 -111.81171538
111  33.27297926 -111.81171530
111  33.27297878 -111.81176869
113  33.27297864 -111.81178494
110 2 0.00 0.0000 New Taxiway 55
111  33.27232875 -111.81126468
111  33.27231392 -111.81125888
111  33.27220473 -111.81125500
111  33.27218716 -111.81125438
111  33.27218735 -111.81121378
111  33.27220022 -111.81121422
111  33.27230967 -111.81121796
111  33.27232336 -111.81121105
113  33.27232904 -111.81121114
110 2 0.00 0.0000 New Taxiway 54
111  33.27237806 -111.81143407
111  33.27231564 -111.81143469
111  33.27231564 -111.81128999
113  33.27237936 -111.81129085
110 2 0.00 0.0000 New Taxiway 53
111  33.27402661 -111.80793682
111  33.27403392 -111.80793697
111  33.27403390 -111.80794118
111  33.27400183 -111.81101333
111  33.27400091 -111.81110072
111  33.27481262 -111.81111340
111  33.27481262 -111.81112072
111  33.27345767 -111.81109956
111  33.27345764 -111.81110993
111  33.27345198 -111.81110982
111  33.27345216 -111.81109352
111  33.27399179 -111.81110050
111  33.27399275 -111.81101320
113  33.27402657 -111.80794107
110 2 0.00 0.0000 New Taxiway 51
111  33.27219847 -111.81259377
111  33.27215091 -111.81259420
111  33.27215220 -111.81249651
111  33.27215366 -111.81238632
113  33.27220008 -111.81238717
110 2 0.00 0.0000 New Taxiway 50
111  33.27310704 -111.81341452
111  33.27303775 -111.81341417
111  33.27303833 -111.81331377
113  33.27310732 -111.81331377
110 2 0.00 0.0000 New Taxiway 49
111  33.27321237 -111.81401363
111  33.27299109 -111.81400502
111  33.27295731 -111.81400766
111  33.27295947 -111.81389907
111  33.27296004 -111.81387054
111  33.27296060 -111.81384231
111  33.27296326 -111.81370830
111  33.27299843 -111.81370875
111  33.27299890 -111.81368023
111  33.27296395 -111.81367963
111  33.27296409 -111.81367017
111  33.27299880 -111.81367101
111  33.27299937 -111.81363168
111  33.27305240 -111.81363134
111  33.27305266 -111.81358968
111  33.27307645 -111.81359006
111  33.27307629 -111.81363061
111  33.27311674 -111.81363094
111  33.27321939 -111.81363735
111  33.27321893 -111.81371379
111  33.27317048 -111.81371359
111  33.27317000 -111.81374318
113  33.27321873 -111.81374583
110 2 0.00 0.0000 New Taxiway 48
111  33.27272569 -111.81453398
111  33.27274004 -111.81453405
111  33.27274000 -111.81448340
111  33.27276654 -111.81448387
111  33.27276618 -111.81453460
111  33.27286799 -111.81453526
111  33.27286514 -111.81532312
113  33.27272167 -111.81532254
110 2 0.00 0.0000 New Taxiway 47
111  33.27262283 -111.81531999
111  33.27261890 -111.81532004
111  33.27261481 -111.81532009
111  33.27261696 -111.81448424
113  33.27262701 -111.81448445
110 2 0.00 0.0000 New Taxiway 46
111  33.27250743 -111.81531991
111  33.27236380 -111.81532325
111  33.27236841 -111.81453321
111  33.27238235 -111.81453262
111  33.27238220 -111.81448270
111  33.27240916 -111.81448248
111  33.27240921 -111.81453287
113  33.27250876 -111.81453346
110 2 0.00 0.0000 New Taxiway 45
111  33.27219283 -111.81534249
111  33.27204923 -111.81534257
111  33.27205453 -111.81451606
113  33.27219603 -111.81451544
110 2 0.00 0.0000 New Taxiway 43
111  33.27184195 -111.81531438
111  33.27172918 -111.81531644
111  33.27173363 -111.81453060
113  33.27184392 -111.81453182
110 2 0.00 0.0000 Drain
111  33.27228473 -111.81533215
111  33.27228113 -111.81533256
111  33.27227691 -111.81533303
111  33.27228051 -111.81447562
113  33.27228959 -111.81447548
110 2 0.00 0.0000 Drain
111  33.27199073 -111.81531566
111  33.27198583 -111.81531561
111  33.27198147 -111.81531558
111  33.27198531 -111.81458824
111  33.27187788 -111.81453317
111  33.27186780 -111.81453323
111  33.27186785 -111.81452324
111  33.27188158 -111.81452300
113  33.27199412 -111.81458176
110 2 0.00 0.0000 New Taxiway 35
111  33.26861737 -111.81791120
111  33.26869674 -111.81780035
111  33.26888641 -111.81799268
111  33.26880724 -111.81810434
111  33.26880249 -111.81809956
111  33.26879822 -111.81809522
113  33.26862992 -111.81792397
110 2 0.00 0.0000 New Taxiway 32
112  33.26996382 -111.81534395  33.26985700 -111.81560377
111  33.26996382 -111.81534395
111  33.26995078 -111.81540669
111  33.26992858 -111.81540351
111  33.26994540 -111.81533183
112  33.27027108 -111.81512881  33.27051400 -111.81517733
111  33.27027108 -111.81512881
111  33.27040010 -111.81517944
111  33.27048187 -111.81506422
111  33.27048442 -111.81506662
111  33.27049867 -111.81507997
111  33.27040616 -111.81521167
111  33.27039639 -111.81520678
113  33.27028182 -111.81515959
110 2 0.00 0.0000 New Taxiway 30
111  33.26902709 -111.81684237
111  33.26893058 -111.81674488
111  33.26949742 -111.81595013
111  33.26959431 -111.81604940
111  33.26929594 -111.81646652
111  33.26928135 -111.81648692
113  33.26926558 -111.81650897
110 2 0.00 0.0000 New Taxiway 30
111  33.26838874 -111.81774427
111  33.26829222 -111.81764678
111  33.26885906 -111.81685203
113  33.26895595 -111.81695130
110 2 0.00 0.0000 Drains
111  33.26875045 -111.81762069
111  33.26874465 -111.81761428
111  33.26950406 -111.81655322
111  33.26977776 -111.81618673
111  33.26978666 -111.81617719
111  33.26997822 -111.81581992
111  33.26987975 -111.81574657
111  33.26994422 -111.81562797
111  33.26995069 -111.81563317
111  33.26989016 -111.81574417
111  33.26998279 -111.81581140
111  33.27003097 -111.81572154
111  33.27001594 -111.81571110
111  33.27003027 -111.81568321
111  33.27005056 -111.81569873
111  33.26978323 -111.81619809
111  33.26975991 -111.81624575
112  33.26975249 -111.81623312  33.26974319 -111.81623299
111  33.26975249 -111.81623312
113  33.26952581 -111.81653737
110 2 0.00 0.0000 New Taxiway 26
111  33.26803649 -111.81868223
111  33.26818702 -111.81847072
111  33.26819151 -111.81847522
111  33.26839059 -111.81867459
111  33.26839423 -111.81867823
111  33.26824154 -111.81888833
111  33.26823872 -111.81888549
113  33.26804169 -111.81868746
110 2 0.00 0.0000 New Taxiway 25
111  33.26926716 -111.81571528
111  33.26934460 -111.81579378
111  33.26876787 -111.81660172
113  33.26869008 -111.81652281
110 2 0.00 0.0000 New Taxiway 25
111  33.26903695 -111.81547566
111  33.26911439 -111.81555417
111  33.26853766 -111.81636211
113  33.26845987 -111.81628320
110 2 0.00 0.0000 New Taxiway 25
111  33.26880674 -111.81524052
111  33.26888419 -111.81531902
