I
1050 Generated by WorldEditor 2.3.0r2

1   1530 0 0 CAR5 Arthur (Arthur South)
100 22.86 3 0 0.00 0 0 0 03  43.78119099 -080.43550346    0    0 0 0 0 0 21  43.78437911 -080.43174776    0    0 0 0 0 0
110 3 0.00 0.0000 New Taxiway 118
111  43.78262120 -080.43399593
111  43.78254304 -080.43420278
111  43.78188038 -080.43501634
112  43.78188038 -080.43501634  43.78181350 -080.43496667
112  43.78175164 -080.43521524  43.78180689 -080.43535352
111  43.78175164 -080.43521524
111  43.78134282 -080.43570702
112  43.78123328 -080.43566635  43.78119394 -080.43562211
111  43.78123328 -080.43566635
111  43.78112839 -080.43549155
112  43.78115475 -080.43542862  43.78113949 -080.43537737
113  43.78115475 -080.43542862
110 3 0.00 0.0000 New Taxiway 117
111  43.78122196 -080.43528805
112  43.78116300 -080.43520974  43.78113271 -080.43520818
111  43.78116300 -080.43520974
112  43.78116300 -080.43520974  43.78122470 -080.43521207
111  43.78126800 -080.43516275
111  43.78200122 -080.43431584
111  43.78239604 -080.43379466
113  43.78250037 -080.43378223
110 3 0.00 0.0000 New Taxiway 116
111  43.78298094 -080.43323606
112  43.78297416 -080.43313940  43.78296036 -080.43311055
111  43.78297416 -080.43313940
111  43.78292392 -080.43306161
112  43.78292392 -080.43306161  43.78291077 -080.43304314
111  43.78288555 -080.43302898
111  43.78296565 -080.43297024
111  43.78297575 -080.43300101
111  43.78302555 -080.43296931
111  43.78311074 -080.43288739
111  43.78374989 -080.43215280
112  43.78374989 -080.43215280  43.78383134 -080.43216119
111  43.78394084 -080.43209776
111  43.78430940 -080.43166442
112  43.78430940 -080.43166442  43.78443502 -080.43151942
112  43.78448710 -080.43206159  43.78435450 -080.43232259
111  43.78448710 -080.43206159
111  43.78429671 -080.43229445
111  43.78400593 -080.43257639
111  43.78393149 -080.43259438
111  43.78392177 -080.43262444
113  43.78380532 -080.43260113
130 Airport Boundary 119
111  43.78173170 -080.43558578
111  43.78147644 -080.43570269
111  43.78127144 -080.43580569
111  43.78097470 -080.43524815
111  43.78413173 -080.43152291
111  43.78447904 -080.43140597
111  43.78461651 -080.43155965
111  43.78465510 -080.43211421
113  43.78437051 -080.43271220
1300  43.78429589 -080.43212943 181.61 tie_down props Apron 3
1301 A general_aviation 
1300  43.78422126 -080.43221669 181.61 tie_down props Apron 2
1301 A none 
1300  43.78414566 -080.43230530 181.61 tie_down props Apron 1
1301 A none 
99
