I
1050 Generated by WorldEditor 2.2.0r2

1    438 1 0 PAFA Fairbanks Intl
100 23.00 5 0 0.00 0 0 0 02  64.81604171 -147.84660197    0    0 0 0 0 0 20  64.82230322 -147.83506840    0    0 0 0 0 0
100 30.00 1 0 0.00 0 2 0 02R  64.80018532 -147.87573374    0    0 2 0 0 0 20L  64.81423138 -147.84990772    0    0 2 0 0 1
100 46.00 1 0 0.00 1 3 1 02L  64.80257846 -147.88599315  229  115 3 2 1 0 20R  64.82806517 -147.83909542  229  114 3 8 0 0
110 5 0.00 0.0000 New Taxiway 82
111  64.81873037 -147.84209094
111  64.81626305 -147.84662110
111  64.81623759 -147.84654105
113  64.81869626 -147.84199257
110 5 0.00 0.0000 New Taxiway 81
111  64.81870671 -147.84140723
111  64.81863739 -147.84119838
111  64.82090638 -147.83701427
111  64.82095394 -147.83713377
111  64.82200134 -147.83520603
113  64.82202270 -147.83528597
110 5 0.00 0.0000 New Taxiway 80
111  64.82227138 -147.83554240
111  64.81885697 -147.84183332
111  64.81883131 -147.84175487
113  64.82224773 -147.83547158
110 5 0.00 0.0000 New Taxiway 79
111  64.81565666 -147.84483797
111  64.81570360 -147.84475449
111  64.81605621 -147.84574499
112  64.81605621 -147.84574499  64.81609608 -147.84581859
111  64.81614149 -147.84577582
111  64.81851244 -147.84145492
111  64.81857227 -147.84163913
113  64.81611488 -147.84616730
110 2 0.00 0.0000 New Taxiway 78
111  64.80540528 -147.85769773
111  64.80554733 -147.85741939
111  64.80562801 -147.85766464
113  64.80548374 -147.85794780
110 2 0.00 0.0000 New Taxiway 77
111  64.80561860 -147.85871272
111  64.80572861 -147.85854532
111  64.80583681 -147.85888644
111  64.80574683 -147.85907172
113  64.80572102 -147.85900237
110 2 0.00 0.0000 New Taxiway 74
111  64.80680119 -147.85623807
111  64.80660040 -147.85563712
111  64.80677444 -147.85528847
113  64.80697903 -147.85590279
110 1 0.00 0.0000 New Taxiway 74
111  64.80659313 -147.85679264
111  64.80630630 -147.85592850
111  64.80683646 -147.85495478
113  64.80712708 -147.85583229
110 2 0.00 0.0000 New Taxiway 74
111  64.80544214 -147.86101709
111  64.80530737 -147.86061354
111  64.80543740 -147.86036829
113  64.80557597 -147.86078522
110 2 0.00 0.0000 New Taxiway 75
111  64.80507484 -147.86001380
111  64.80497803 -147.85973957
111  64.80539184 -147.85898154
113  64.80548675 -147.85926469
110 5 0.00 0.0000 New Taxiway 73
111  64.80468521 -147.85945731
111  64.80472152 -147.85940561
111  64.80474430 -147.85917598
112  64.80474430 -147.85917598  64.80482833 -147.85902244
111  64.80482268 -147.85886536
111  64.80485439 -147.85875683
111  64.80485439 -147.85869441
111  64.80490280 -147.85856286
112  64.80490280 -147.85856286  64.80498354 -147.85870479
111  64.80516001 -147.85831985
112  64.80516001 -147.85831985  64.80521493 -147.85817792
111  64.80520747 -147.85802120
111  64.80530237 -147.85830595
111  64.80482687 -147.85939001
112  64.80481358 -147.85960181  64.80483161 -147.85964863
111  64.80486104 -147.85957729
111  64.80540582 -147.85861636
111  64.80546562 -147.85880141
111  64.80543335 -147.85890620
111  64.80554819 -147.85924954
111  64.80557287 -147.85938777
112  64.80557223 -147.85953975  64.80558331 -147.85956948
111  64.80561865 -147.85955106
111  64.80565011 -147.85967680
111  64.80618972 -147.86133883
111  64.80571348 -147.86221983
112  64.80560041 -147.86219160  64.80555725 -147.86211712
113  64.80560041 -147.86219160
110 2 0.00 0.0000 New Taxiway 72
111  64.80624809 -147.85919769
111  64.80616362 -147.85892790
111  64.80627087 -147.85874508
113  64.80636009 -147.85900817
110 2 0.00 0.0000 New Taxiway 71
111  64.80639805 -147.85981752
111  64.80628321 -147.85947193
111  64.80641988 -147.85919100
113  64.80654422 -147.85955665
110 2 0.00 0.0000 New Taxiway 70
111  64.80710537 -147.85922192
111  64.80704078 -147.85901289
111  64.80705330 -147.85898966
111  64.80672243 -147.85797083
111  64.80682591 -147.85777729
111  64.80716535 -147.85877444
111  64.80718051 -147.85873418
113  64.80725169 -147.85894476
110 5 0.00 0.0000 New Taxiway 69
111  64.80840980 -147.85409127
111  64.80899225 -147.85593890
111  64.80854396 -147.85670629
112  64.80854396 -147.85670629  64.80838679 -147.85698242
111  64.80823919 -147.85668381
113  64.80772339 -147.85549875
110 2 0.00 0.0000 New Taxiway 67
111  64.80777003 -147.85406059
111  64.80770990 -147.85390005
111  64.80799964 -147.85332853
111  64.80797914 -147.85328036
111  64.80802288 -147.85317762
111  64.80823335 -147.85375877
111  64.80802014 -147.85419866
113  64.80788620 -147.85382620
110 2 0.00 0.0000 New Taxiway 66
111  64.80844634 -147.85246417
111  64.80832830 -147.85214663
111  64.80841269 -147.85197253
113  64.80853449 -147.85229213
110 2 0.00 0.0000 New Taxiway 65
111  64.80857920 -147.85289201
111  64.80844251 -147.85253225
111  64.80845857 -147.85249722
111  64.80857008 -147.85228841
111  64.80860884 -147.85240362
111  64.80870691 -147.85221409
111  64.80868555 -147.85216392
111  64.80872966 -147.85207816
113  64.80883828 -147.85238336
110 2 0.00 0.0000 New Taxiway 64
111  64.80985212 -147.85086093
111  64.80974647 -147.85054151
111  64.80979203 -147.85043180
111  64.80963941 -147.84999832
111  64.80975915 -147.84977317
111  64.80979218 -147.84988813
111  64.80980502 -147.84985939
113  64.81003499 -147.85052469
110 2 0.00 0.0000 New Taxiway 63
111  64.80943225 -147.85156087
111  64.80948603 -147.85146982
111  64.80951450 -147.85154972
111  64.80955405 -147.85146982
111  64.80947179 -147.85118923
111  64.80955089 -147.85102942
111  64.80953665 -147.85098854
111  64.80959992 -147.85086032
111  64.80947179 -147.85046267
111  64.80950185 -147.85040506
111  64.80954145 -147.85033923
111  64.80976414 -147.85102126
111  64.80979423 -147.85112989
111  64.80954396 -147.85157085
111  64.80952833 -147.85159719
111  64.80955222 -147.85166925
111  64.80952497 -147.85172516
113  64.80950580 -147.85175970
110 5 0.00 0.0000 New Taxiway 62
111  64.80882136 -147.85126708
111  64.80941322 -147.85011960
111  64.80950185 -147.85040506
111  64.80947179 -147.85046267
111  64.80959992 -147.85086032
111  64.80953665 -147.85098854
