A
1000 Generated by Infinite Flight Airport Editing (World Parser)

1     1742 1 0 LKPI Pribyslav
100  149.96   3   0 0.00 0 0 0 08   49.57998670  015.75758925    0.00    0.00 1  0 0 0 26   49.58128052  015.76795159    0.00    0.00 1  0 0 0
110   3 0.00  79.10 STRIP
111  49.58081463  015.75699334 
111  49.57907728  015.75751483 
111  49.58041819  015.76855603 
113  49.58220218  015.76803454 
130 Airport Boundary 13
112  49.57703897  015.75564629  49.57706592  015.75570862 
111  49.57803606  015.77249755 
111  49.58480008  015.77079373 
113  49.58284633  015.75379701 
14   49.58281507  015.76421595   82 0 TW
15   49.58245340  015.76414263 165.81 Stojanka
19   49.58278076  015.76457175 0 WS
54 12360 INFO

99
