A
1000 Generated by InfiniteFlight-AirportParser

1      420 0 0 EGMF Farthing Corner
100   20.12   3   0 0.00 0 0 0 5    51.33130051  000.59780549    0.00    0.00 0  0 0 0 23   51.33318843  000.60205646    0.00    0.00 0  0 0 0
110   3 0.00   0.00 Grass South
111  51.33126423  000.59770051 
112  51.33117068  000.59781243  51.33111734  000.59787423 
112  51.33117837  000.59803957  51.33121215  000.59812946 
112  51.33220127  000.60028627  51.33238797  000.60074133 
112  51.33310759  000.60235037  51.33318939  000.60251049 
112  51.33327941  000.60230933  51.33327763  000.60225034 
111  51.33326059  000.60197324 
111  51.33311525  000.60213441 
111  51.33122862  000.59789057 
113  51.33130051  000.59780549 
110   1 0.00   0.00 Road
111  51.33351516  000.59815585 
111  51.33352532  000.59903593 
111  51.33352697  000.59915560 
112  51.33354403  000.60009625  51.33354537  000.60029464 
112  51.33371877  000.60034424  51.33380962  000.60036323 
111  51.33371877  000.60034424 
112  51.33371877  000.60034424  51.33376420  000.60035374 
112  51.33485569  000.60053650  51.33539521  000.60060315 
112  51.33581597  000.60056052  51.33582580  000.60056126 
111  51.33583519  000.60056367 
111  51.33579681  000.60049506 
112  51.33578722  000.60051177  51.33577832  000.60051103 
112  51.33490526  000.60048844  51.33440081  000.60042200 
112  51.33380174  000.60029528  51.33372692  000.60028473 
111  51.33380174  000.60029528 
112  51.33380174  000.60029528  51.33365211  000.60027417 
112  51.33357543  000.60001204  51.33357142  000.59982842 
111  51.33356213  000.59918175 
111  51.33355964  000.59905613 
112  51.33355009  000.59838342  51.33354898  000.59827877 
112  51.33360630  000.59814428  51.33360520  000.59806754 
111  51.33360629  000.59798526 
113  51.33351656  000.59798508 
110   3 0.00   0.00 Grass North
111  51.33356213  000.59918175 
112  51.33505267  000.60024087  51.33524077  000.60037088 
112  51.33550659  000.60047079  51.33564473  000.60051722 
112  51.33574957  000.60047709  51.33575985  000.60042369 
112  51.33567620  000.60026305  51.33561742  000.60014929 
112  51.33552151  000.60014680  51.33545391  000.60015609 
112  51.33515243  000.60017320  51.33502164  000.60009426 
113  51.33355964  000.59905613 
110   3 0.00   0.00 Grass Mid
111  51.33137501  000.59772413 
111  51.33326059  000.60197324 
112  51.33324481  000.60157001  51.33323752  000.60149710 
112  51.33316305  000.60129078  51.33311933  000.60120060 
112  51.33158389  000.59801380  51.33156203  000.59797159 
112  51.33157961  000.59792001  51.33160026  000.59793344 
111  51.33157961  000.59792001 
112  51.33157961  000.59792001  51.33158993  000.59792672 
112  51.33255927  000.59855712  51.33305663  000.59885109 
111  51.33352697  000.59915560 
111  51.33352532  000.59903593 
111  51.33309088  000.59875988 
111  51.33326768  000.59808359 
111  51.33351516  000.59815585 
111  51.33351656  000.59798508 
111  51.33351543  000.59767413 
111  51.33362128  000.59766956 
112  51.33361834  000.59736704  51.33361834  000.59732989 
112  51.33356879  000.59731887  51.33353646  000.59731887 
111  51.33336598  000.59734220 
111  51.33337630  000.59770782 
111  51.33328405  000.59786590 
111  51.33272041  000.59767199 
111  51.33259764  000.59778659 
112  51.33189170  000.59746112  51.33175268  000.59740238 
112  51.33153774  000.59743412  51.33145254  000.59750889 
111  51.33126423  000.59770051 
113  51.33130051  000.59780549 
112  51.33162596  000.59757328  51.33165441  000.59754098 
111  51.33162596  000.59757328 
112  51.33162596  000.59757328  51.33167640  000.59752655 
112  51.33183578  000.59756204  51.33191709  000.59758630 
111  51.33183578  000.59756204 
112  51.33183578  000.59756204  51.33187401  000.59758311 
111  51.33259171  000.59791353 
111  51.33321561  000.59805363 
111  51.33304491  000.59872781 
112  51.33191186  000.59804299  51.33175716  000.59794748 
114  51.33159643  000.59779304  51.33149651  000.59770897 
130 Airport Boundary 103
111  51.33330661  000.60268815 
111  51.33331428  000.60214639 
111  51.33325312  000.60143884 
111  51.33310893  000.60110073 
111  51.33283399  000.60047603 
111  51.33281859  000.60035762 
111  51.33289018  000.60026632 
111  51.33325639  000.60027607 
111  51.33455950  000.60052143 
111  51.33522308  000.60058315 
111  51.33587865  000.60060635 
111  51.33575985  000.60042370 
111  51.33569642  000.60028472 
111  51.33561419  000.60010690 
111  51.33551321  000.59982897 
111  51.33544648  000.59947066 
111  51.33543397  000.59906548 
111  51.33543784  000.59855007 
111  51.33543127  000.59807247 
111  51.33538220  000.59772913 
111  51.33531609  000.59742769 
111  51.33521258  000.59713845 
111  51.33357206  000.59668414 
111  51.33348327  000.59676602 
111  51.33348539  000.59728247 
111  51.33334065  000.59730077 
111  51.33335472  000.59769466 
111  51.33326435  000.59784377 
111  51.33271539  000.59764123 
111  51.33259750  000.59776326 
111  51.33137740  000.59717756 
111  51.33128650  000.59707016 
111  51.33115583  000.59719545 
111  51.33104788  000.59752658 
111  51.33082630  000.59947753 
111  51.33088880  000.59965652 
111  51.33136036  000.60004134 
111  51.33206485  000.60071253 
111  51.33279776  000.60195651 
113  51.33326958  000.60279296 
14   51.33361551  000.59799018   35 0 ATC Tower
15   51.33343127  000.59780700 131.81 Grass Parking
19   51.33250235  000.59904790 0 WS

