I
1050 Generated by WorldEditor 2.2.0r2

1    500 0 0 1LL2 Spring Brook
100 7.62 1 0 0.25 0 0 0 18  41.30484156 -088.63328311    0    0 0 0 0 0 36  41.29716448 -088.63315435    0    0 0 0 0 0
110 1 0.00 0.0000 New Taxiway 38
111  41.29742628 -088.63319754
111  41.29732093 -088.63324831
111  41.29725736 -088.63327490
112  41.29716231 -088.63324589  41.29713870 -088.63319834
111  41.29715080 -088.63314758
112  41.29717502 -088.63308875  41.29719440 -088.63306941
111  41.29724283 -088.63308230
113  41.29731306 -088.63311131
110 1 0.00 0.0000 New Taxiway 37
111  41.30483615 -088.63323893
111  41.30484960 -088.63324229
112  41.30487625 -088.63338949  41.30483993 -088.63347948
111  41.30474617 -088.63343650
111  41.30462971 -088.63336374
112  41.30459355 -088.63334751  41.30457539 -088.63334617
112  41.30453595 -088.63333744  41.30452889 -088.63332736
111  41.30453595 -088.63333744
112  41.30453595 -088.63333744  41.30453141 -088.63333072
113  41.30451872 -088.63331337
110 1 0.00 0.0000 New Taxiway 41
112  41.29761868 -088.63306779  41.29762271 -088.63304228
111  41.29763432 -088.63282940
111  41.29764289 -088.63254601
111  41.29764088 -088.63225120
111  41.29779664 -088.63225160
111  41.29779361 -088.63244984
111  41.29779058 -088.63252076
111  41.29778937 -088.63268757
111  41.29769234 -088.63268032
112  41.29767619 -088.63305839  41.29767417 -088.63309197
111  41.29772614 -088.63312421
113  41.29757327 -088.63312286
110 2 0.00 0.0000 New Taxiway 40
111  41.29778937 -088.63268757
111  41.29779058 -088.63252076
111  41.29789169 -088.63252398
113  41.29788927 -088.63268918
110 2 0.00 0.0000 New Taxiway 39
111  41.29779361 -088.63244984
111  41.29779664 -088.63225160
111  41.29791954 -088.63225321
113  41.29791772 -088.63245065
130 Airport Boundary 42
111  41.29824315 -088.63191827
111  41.29823538 -088.63267353
111  41.29833643 -088.63293218
111  41.30494367 -088.63305625
111  41.30528631 -088.63343152
111  41.30474219 -088.63392817
111  41.29707563 -088.63366587
111  41.29699466 -088.63307911
113  41.29725107 -088.63192955
14  41.30094997 -088.63357616  82.02 0 New Tower Viewpoint 18
1300  41.29779890 -088.63235259 179.28 hangar props HANGAR 02
1301 A none 
1300  41.29779367 -088.63259859 179.28 hangar props HANGAR 01
1301 A none 
99
