I
1050 Generated by WorldEditor 2.2.0r2

1    117 1 0 KVCB Nut Tree
100 23.00 2 0 0.00 1 2 0 02  38.37287131 -121.96577306    0   61 2 0 0 0 20  38.38360444 -121.95666727    0    0 2 0 0 0
102 H3  38.37545066 -121.96134916  34.20 11.00 11.00 15 0 0 0.00 0
102 H2  38.37528841 -121.96178903 213.65 12.80 13.00 15 0 0 0.00 0
102 H1  38.37554421 -121.96153113  32.81 10.70 10.70 15 0 0 0.00 0
110 2 0.00 0.0000 New Taxiway 2
111  38.38378493 -121.95966645
111  38.38377304 -121.95964531
111  38.38369292 -121.95947998
111  38.38369431 -121.95946071
111  38.38401342 -121.95919459
111  38.38403440 -121.95920007
111  38.38411883 -121.95936815
111  38.38423552 -121.95927485
111  38.38415223 -121.95910337
111  38.38415686 -121.95907650
111  38.38454473 -121.95876238
111  38.38455979 -121.95876513
111  38.38464703 -121.95893607
111  38.38470797 -121.95888852
113  38.38471794 -121.95891213
110 2 0.00 0.0000 New Taxiway 5
111  38.37436263 -121.95970441
111  38.37412517 -121.95924252
111  38.37435706 -121.95905065
113  38.37458537 -121.95950937
110 2 0.00 0.0000 New Taxiway 4
111  38.37465778 -121.96028094
111  38.37452934 -121.96002980
111  38.37477601 -121.95982578
111  38.37490599 -121.96007865
113  38.37487259 -121.96010626
110 2 0.00 0.0000 New Taxiway 33
111  38.37601808 -121.95606724
111  38.37528303 -121.95669227
111  38.37519971 -121.95653391
113  38.37593283 -121.95590914
110 2 0.00 0.0000 New Taxiway 9
111  38.37661240 -121.95728004
111  38.37591071 -121.95787839
111  38.37576846 -121.95760526
113  38.37647884 -121.95699849
110 2 0.00 0.0000 New Taxiway 8
111  38.37617800 -121.95641934
111  38.37546022 -121.95702966
111  38.37538274 -121.95687353
113  38.37609598 -121.95626880
110 2 0.00 0.0000 New Taxiway 6
111  38.37544515 -121.95601796
111  38.37508969 -121.95632593
111  38.37496900 -121.95608229
113  38.37532411 -121.95578738
110 2 0.00 0.0000 New Taxiway 5
111  38.37518168 -121.95798235
111  38.37517568 -121.95797104
